0.9726855614196764		SimpleArgument(Foam Warehouse NW,List([0, 17)))	Relation(has,List([18, 21)))	SimpleArgument(one of the Northwest's largest selection of foam in stock,List([22, 79)))	Foam Warehouse NW has one of the Northwest's largest selection of foam in stock!
0.292827695956731	Context(We have,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of firmnesses providing to,List([3, 7), [8, 10), [11, 20)))	SimpleArgument(wholesale customers,List([91, 110)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.3880890333449538		SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of firmnesses while,List([3, 7), [8, 71), [72, 77)))	TemporalArgument(providing to wholesale customers,List([78, 110)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.5042397497049353		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(an extensive selection of foams with a wide range of firmnesses,List([8, 71)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.292827695956731	Context(We have,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of densities providing to,List([3, 7), [8, 10), [11, 20)))	SimpleArgument(retail customers,List([90, 106)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.3880890333449538		SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of densities while,List([3, 7), [8, 70), [71, 76)))	TemporalArgument(providing to retail customers,List([77, 106)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.292827695956731	Context(We have,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of densities providing to,List([3, 7), [8, 10), [11, 20)))	SimpleArgument(wholesale customers,List([90, 109)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.3880890333449538		SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of densities while,List([3, 7), [8, 70), [71, 76)))	TemporalArgument(providing to wholesale customers,List([77, 109)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.5042397497049353		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(an extensive selection of foams with a wide range of densities,List([8, 70)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.292827695956731	Context(We have,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of grades providing to,List([3, 7), [8, 10), [11, 20)))	SimpleArgument(retail customers,List([87, 103)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.3880890333449538		SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of grades while,List([3, 7), [8, 67), [68, 73)))	TemporalArgument(providing to retail customers,List([74, 103)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.292827695956731	Context(We have,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of grades providing to,List([3, 7), [8, 10), [11, 20)))	SimpleArgument(wholesale customers,List([87, 106)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.3880890333449538		SimpleArgument(We,List([0, 2)))	Relation(have an extensive selection of foams with a wide range of grades while,List([3, 7), [8, 67), [68, 73)))	TemporalArgument(providing to wholesale customers,List([74, 106)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.5042397497049353		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(an extensive selection of foams with a wide range of grades,List([8, 67)))	We have an extensive selection of foams with a wide range of grades, densities, and firmnesses while providing to wholesale and retail customers.
0.6931324293149682		SimpleArgument(our team of foam experts,List([26, 50)))	Relation(can create many types of custom products At,List([0, 54), [55, 82), [83, 91)))	SpatialArgument(our Clackamas location,List([3, 25)))	At our Clackamas location our team of foam experts can create many types of custom products.
0.7020398081927577		SimpleArgument(our team of foam experts,List([26, 50)))	Relation(can create,List([51, 61)))	SimpleArgument(many types of custom products,List([62, 91)))	At our Clackamas location our team of foam experts can create many types of custom products.
0.22506131975927415		SimpleArgument(We,List([0, 2)))	Relation(can do everything from,List([3, 9), [10, 20), [21, 25)))	SimpleArgument(shredding,List([26, 35)))	We can do everything from cutting, gluing and shredding, to slitting and fiber wrapping.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(can do everything from,List([3, 9), [10, 20), [21, 25)))	SimpleArgument(shredding , to slitting wrapping,List([26, 58)))	We can do everything from cutting, gluing and shredding, to slitting and fiber wrapping.
0.3497525988439521		SimpleArgument(We,List([0, 2)))	Relation(can do everything to,List([3, 9), [10, 20), [35, 37)))	SimpleArgument(fiber wrapping,List([38, 52)))	We can do everything from cutting, gluing and shredding, to slitting and fiber wrapping.
0.3497525988439521		SimpleArgument(We,List([0, 2)))	Relation(can do everything to,List([3, 9), [10, 20), [35, 37)))	SimpleArgument(slitting wrapping,List([38, 55)))	We can do everything from cutting, gluing and shredding, to slitting and fiber wrapping.
0.22506131975927415		SimpleArgument(We,List([0, 2)))	Relation(can do everything from,List([3, 9), [10, 20), [21, 25)))	SimpleArgument(gluing,List([26, 32)))	We can do everything from cutting, gluing and shredding, to slitting and fiber wrapping.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(can do everything from,List([3, 9), [10, 20), [21, 25)))	SimpleArgument(cutting , to fiber wrapping,List([26, 53)))	We can do everything from cutting, gluing and shredding, to slitting and fiber wrapping.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(can do everything from,List([3, 9), [10, 20), [21, 25)))	SimpleArgument(cutting , to slitting wrapping,List([26, 56)))	We can do everything from cutting, gluing and shredding, to slitting and fiber wrapping.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(can do,List([3, 9)))	SimpleArgument(everything,List([10, 20)))	We can do everything from cutting, gluing and shredding, to slitting and fiber wrapping.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(craft,List([3, 8)))	SimpleArgument(products,List([9, 17)))	We craft products for upholstery, camping, RV, boats, seat cushions, and bedding.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(craft,List([3, 8)))	SimpleArgument(products for seat cushions,List([9, 35)))	We craft products for upholstery, camping, RV, boats, seat cushions, and bedding.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(craft,List([3, 8)))	SimpleArgument(products for boats,List([9, 27)))	We craft products for upholstery, camping, RV, boats, seat cushions, and bedding.
0.5680679595514976		SimpleArgument(We,List([0, 2)))	Relation(craft,List([3, 8)))	SimpleArgument(products for RV,List([9, 24)))	We craft products for upholstery, camping, RV, boats, seat cushions, and bedding.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(craft,List([3, 8)))	SimpleArgument(products for camping,List([9, 29)))	We craft products for upholstery, camping, RV, boats, seat cushions, and bedding.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(craft,List([3, 8)))	SimpleArgument(products for upholstery,List([9, 32)))	We craft products for upholstery, camping, RV, boats, seat cushions, and bedding.
0.41051436014453063		SimpleArgument(we,List([63, 65)))	Relation(to create products from,List([80, 89), [90, 98), [99, 103)))	SimpleArgument(memory convoluted ( egg crate ) foams,List([104, 141)))	Because of our nearly 20 years in the custom mattress business we're also able to create products from memory foam and convoluted (egg crate) foams.
0.5691839633287576		SimpleArgument(we,List([63, 65)))	Relation('re also,List([66, 74)))	SimpleArgument(able to create products from memory convoluted ( egg crate ) foams,List([75, 141)))	Because of our nearly 20 years in the custom mattress business we're also able to create products from memory foam and convoluted (egg crate) foams.
0.41051436014453063		SimpleArgument(we,List([63, 65)))	Relation(to create products from,List([80, 89), [90, 98), [99, 103)))	SimpleArgument(memory foam foams,List([104, 121)))	Because of our nearly 20 years in the custom mattress business we're also able to create products from memory foam and convoluted (egg crate) foams.
0.41051436014453063		SimpleArgument(we,List([63, 65)))	Relation(to create,List([80, 89)))	SimpleArgument(products,List([90, 98)))	Because of our nearly 20 years in the custom mattress business we're also able to create products from memory foam and convoluted (egg crate) foams.
0.45170382506656653		SimpleArgument(we,List([63, 65)))	Relation('re also,List([66, 74)))	SimpleArgument(able to create products from memory foam foams,List([75, 121)))	Because of our nearly 20 years in the custom mattress business we're also able to create products from memory foam and convoluted (egg crate) foams.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(a large selection of fine materials,List([8, 43)))	We have a large selection of fine materials to create your custom products.
0.9329286852051247		SimpleArgument(Foam Warehouse NW,List([63, 80)))	Relation(is dedicated to,List([81, 93), [94, 96)))	SimpleArgument(quality,List([97, 104)))	Like our parent company, North America Mattress Corporation, Foam Warehouse NW is dedicated to integrity and quality.
0.5		SimpleArgument(North America Mattress Corporation,List([26, 60)))	Relation([is] parent company [of],List([9, 23)))	SimpleArgument(ours,List([5, 8)))	Like our parent company, North America Mattress Corporation, Foam Warehouse NW is dedicated to integrity and quality.
0.9329286852051247		SimpleArgument(Foam Warehouse NW,List([63, 80)))	Relation(is dedicated to,List([81, 93), [94, 96)))	SimpleArgument(integrity,List([97, 106)))	Like our parent company, North America Mattress Corporation, Foam Warehouse NW is dedicated to integrity and quality.
0.9101291295329121		SimpleArgument(the products,List([69, 81)))	Relation(want,List([86, 90)))	SimpleArgument(you,List([82, 85)))	We have a long history of responding to customers' needs by creating the products you want.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(a long history of responding to customers' needs by creating the products,List([8, 81)))	We have a long history of responding to customers' needs by creating the products you want.
0.9250606141558615		SimpleArgument(high quality products,List([79, 100)))	Relation(made,List([101, 105)))	SpatialArgument(right here in America,List([106, 127)))	Great care is taken at every step of the process, providing our customers with high quality products made right here in America.
0.9030401971054747		SimpleArgument(Great care,List([0, 10)))	Relation(is taken at,List([11, 19), [20, 22)))	SimpleArgument(every step of the process,List([23, 48)))	Great care is taken at every step of the process, providing our customers with high quality products made right here in America.
0.1948871917044894		SimpleArgument(We,List([0, 2)))	Relation(can ship worldwide,List([3, 21)))		We can ship worldwide and deliver locally.
