0.7390000224113464		SimpleArgument(Davidson,List([0, 0)))	Relation(has Richardson Stadium of,List([0, 0)))	SimpleArgument(6000 - seat multi - purpose stadium,List(null))	Richardson Stadium is a 6,000-seat multi-purpose stadium in Davidson, North Carolina.
0.3853208301752743		SimpleArgument(Henry Smith Richardson,List([103, 125)))	Relation([is] brother [of],List([95, 102)))	SimpleArgument(him,List([91, 94)))	The facility opened in 1923 after being donated to the college by Lunsford Richardson, Jr., Davidson class of 1914, and his brother Henry Smith Richardson, Davidson class of 1906, in memory of their father, Lunsford Richardson, Sr., Davidson class of 1875.
0.864304137860816		SimpleArgument(The facility,List([0, 12)))	Relation(opened after,List([13, 19), [28, 33)))	TemporalArgument(being donated to the college by Lunsford Richardson , Jr his brother Henry Smith Richardson , Davidson class of 1906 , in memory of their father,List([34, 178)))	The facility opened in 1923 after being donated to the college by Lunsford Richardson, Jr., Davidson class of 1914, and his brother Henry Smith Richardson, Davidson class of 1906, in memory of their father, Lunsford Richardson, Sr., Davidson class of 1875.
0.3853208301752743		SimpleArgument(Lunsford Richardson,List([123, 142)))	Relation([is] father [of],List([114, 120)))	SimpleArgument(theirs,List([108, 113)))	The facility opened in 1923 after being donated to the college by Lunsford Richardson, Jr., Davidson class of 1914, and his brother Henry Smith Richardson, Davidson class of 1906, in memory of their father, Lunsford Richardson, Sr., Davidson class of 1875.
0.7674772520552345		SimpleArgument(The facility,List([0, 12)))	Relation(opened in,List([13, 19), [95, 97)))	SpatialArgument(memory of their father,List([98, 120)))	The facility opened in 1923 after being donated to the college by Lunsford Richardson, Jr., Davidson class of 1914, and his brother Henry Smith Richardson, Davidson class of 1906, in memory of their father, Lunsford Richardson, Sr., Davidson class of 1875.
0.9214722411807292		SimpleArgument(The facility,List([0, 12)))	Relation(opened after,List([13, 19), [28, 33)))	TemporalArgument(being donated to the college by Lunsford Richardson , Jr,List([34, 90)))	The facility opened in 1923 after being donated to the college by Lunsford Richardson, Jr., Davidson class of 1914, and his brother Henry Smith Richardson, Davidson class of 1906, in memory of their father, Lunsford Richardson, Sr., Davidson class of 1875.
0.7665350501724939		SimpleArgument(The facility,List([0, 12)))	Relation(opened in,List([13, 19), [20, 22)))	TemporalArgument(1923,List([23, 27)))	The facility opened in 1923 after being donated to the college by Lunsford Richardson, Jr., Davidson class of 1914, and his brother Henry Smith Richardson, Davidson class of 1906, in memory of their father, Lunsford Richardson, Sr., Davidson class of 1875.
0.5682555286682759		SimpleArgument(the latter,List([26, 36)))	Relation(providing,List([37, 46)))	SimpleArgument(upgraded amenities including visitor 's locker room,List([47, 98)))	It was later renovated in 1998 and again in 2005 with the latter providing upgraded amenities including expanded seating, a new press box, weight room, and visitor's locker room.
0.4631132767248821		SimpleArgument(It,List([0, 2)))	Relation(was in 2005 with,List([3, 6), [13, 20), [21, 25)))	SimpleArgument(the latter providing upgraded amenities including visitor 's locker room,List([26, 98)))	It was later renovated in 1998 and again in 2005 with the latter providing upgraded amenities including expanded seating, a new press box, weight room, and visitor's locker room.
0.3497525988439521		SimpleArgument(It,List([0, 2)))	Relation(was in 2005 with,List([3, 6), [13, 20), [21, 25)))	SimpleArgument(the latter providing upgraded amenities including weight room,List([26, 87)))	It was later renovated in 1998 and again in 2005 with the latter providing upgraded amenities including expanded seating, a new press box, weight room, and visitor's locker room.
0.4631132767248821		SimpleArgument(It,List([0, 2)))	Relation(was in 2005 with,List([3, 6), [13, 20), [21, 25)))	SimpleArgument(the latter providing upgraded amenities including a new press box,List([26, 91)))	It was later renovated in 1998 and again in 2005 with the latter providing upgraded amenities including expanded seating, a new press box, weight room, and visitor's locker room.
0.5682555286682759		SimpleArgument(the latter,List([26, 36)))	Relation(providing,List([37, 46)))	SimpleArgument(upgraded amenities,List([47, 65)))	It was later renovated in 1998 and again in 2005 with the latter providing upgraded amenities including expanded seating, a new press box, weight room, and visitor's locker room.
0.3497525988439521		SimpleArgument(It,List([0, 2)))	Relation(was in 2005 with,List([3, 6), [13, 20), [21, 25)))	SimpleArgument(the latter providing upgraded amenities including expanded seating,List([26, 92)))	It was later renovated in 1998 and again in 2005 with the latter providing upgraded amenities including expanded seating, a new press box, weight room, and visitor's locker room.
0.15939332484157967		SimpleArgument(It,List([0, 2)))	Relation(was in,List([3, 6), [13, 15)))	SimpleArgument(2005,List([16, 20)))	It was later renovated in 1998 and again in 2005 with the latter providing upgraded amenities including expanded seating, a new press box, weight room, and visitor's locker room.
0.22015391053105568		SimpleArgument(It,List([0, 2)))	Relation(was in 2005,List([3, 6), [13, 20)))	TemporalArgument(again,List([7, 12)))	It was later renovated in 1998 and again in 2005 with the latter providing upgraded amenities including expanded seating, a new press box, weight room, and visitor's locker room.
0.22015391053105568		SimpleArgument(It,List([0, 2)))	Relation(was renovated,List([3, 6), [13, 22)))	TemporalArgument(later,List([7, 12)))	It was later renovated in 1998 and again in 2005 with the latter providing upgraded amenities including expanded seating, a new press box, weight room, and visitor's locker room.
0.15939332484157967		SimpleArgument(It,List([0, 2)))	Relation(was renovated in,List([3, 6), [13, 22), [23, 25)))	TemporalArgument(1998,List([26, 30)))	It was later renovated in 1998 and again in 2005 with the latter providing upgraded amenities including expanded seating, a new press box, weight room, and visitor's locker room.
0.8385183355178861	Context(Occasionally the stadium will host Charlotte Eagles Lamar Hunt U.S. Open Cup matches,List([0, 84)))	SimpleArgument(the stadium,List([13, 24)))	Relation(will host Charlotte Eagles Lamar Hunt U.S. Open Cup,List([25, 34), [35, 76)))	TemporalArgument(Occasionally,List([0, 12)))	Occasionally the stadium will host Charlotte Eagles Lamar Hunt U.S. Open Cup matches when their stadium is not big enough for demand.
0.8997345737322758	Context(Occasionally the stadium will host Charlotte Eagles Lamar Hunt U.S. Open Cup matches,List([0, 84)))	SimpleArgument(the stadium,List([13, 24)))	Relation(will host,List([25, 34)))	SimpleArgument(Charlotte Eagles Lamar Hunt U.S. Open Cup,List([35, 76)))	Occasionally the stadium will host Charlotte Eagles Lamar Hunt U.S. Open Cup matches when their stadium is not big enough for demand.
0.8812894066945907		SimpleArgument(Occasionally the stadium will host Charlotte Eagles Lamar Hunt U.S. Open Cup,List([0, 76)))	Relation(matches,List([77, 84)))	TemporalArgument(when their stadium is not big enough for demand,List([85, 132)))	Occasionally the stadium will host Charlotte Eagles Lamar Hunt U.S. Open Cup matches when their stadium is not big enough for demand.
0.6381012045821894		SimpleArgument(their stadium,List([90, 103)))	Relation(is not,List([104, 110)))	SimpleArgument(big enough for demand,List([111, 132)))	Occasionally the stadium will host Charlotte Eagles Lamar Hunt U.S. Open Cup matches when their stadium is not big enough for demand.
