0.8016573080327372		SimpleArgument(Smiles,List([31, 37)))	Relation(Established in,List([38, 49), [50, 52)))	TemporalArgument(1999,List([53, 57)))	Braces, Orthodontic Treatment, Smiles Established in 1999.
0.9250606141558615		SimpleArgument(a new office,List([10, 22)))	Relation(was built near,List([23, 32), [33, 37)))	SpatialArgument(the intersection of Central Avenue,List([38, 72)))	In 2005, a new office was built near the intersection of Central Avenue and 16th St., and that is the current office location.
0.17289583564934322		SimpleArgument(that,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(the current office location,List([8, 35)))	In 2005, a new office was built near the intersection of Central Avenue and 16th St., and that is the current office location.
0.8847999636040884		SimpleArgument(Dr. Tod Curtis,List([0, 14)))	Relation(is a native of,List([15, 29)))	SimpleArgument(Bedford,List([30, 37)))	Dr. Tod Curtis is a native of Bedford, Indiana.
0.38089450366724514		SimpleArgument(Indiana,List([39, 46)))	Relation([is] a native of,List([18, 29)))	SimpleArgument(Bedford,List([30, 37)))	Dr. Tod Curtis is a native of Bedford, Indiana.
0.9569065201547587		SimpleArgument(Dr. Tod Curtis,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(a native of Bedford,List([18, 37)))	Dr. Tod Curtis is a native of Bedford, Indiana.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(graduated in,List([3, 12), [13, 15)))	TemporalArgument(1990,List([16, 20)))	He attended Bedford-North Lawrence High School and graduated in 1990.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(attended,List([3, 11)))	SimpleArgument(Bedford - North Lawrence High School,List([12, 48)))	He attended Bedford-North Lawrence High School and graduated in 1990.
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(obtained a B.S. from,List([3, 11), [12, 18), [30, 34)))	SimpleArgument(Indiana University,List([35, 53)))	He obtained a B.S. in Biology from Indiana University in 1993, and a D.D.S. from Indiana University School of Dentistry in 1997.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(obtained,List([3, 11)))	SimpleArgument(a B.S.,List([12, 18)))	He obtained a B.S. in Biology from Indiana University in 1993, and a D.D.S. from Indiana University School of Dentistry in 1997.
0.23131915735944072		SimpleArgument(He,List([0, 2)))	Relation(started his private practice of orthodontics in Bedford at,List([3, 10), [11, 58), [59, 61)))	TemporalArgument(that time,List([62, 71)))	He completed a Master's degree in Orthodontics at the University of Iowa College of Dentistry in 1999, and started his private practice of orthodontics in Bedford at that time.
0.3498441627223176		SimpleArgument(He,List([0, 2)))	Relation(started,List([3, 10)))	SimpleArgument(his private practice of orthodontics in Bedford,List([11, 58)))	He completed a Master's degree in Orthodontics at the University of Iowa College of Dentistry in 1999, and started his private practice of orthodontics in Bedford at that time.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(completed a Master 's degree in,List([3, 12), [13, 31), [32, 34)))	SpatialArgument(Orthodontics at the University of Iowa College of Dentistry in 1999,List([35, 102)))	He completed a Master's degree in Orthodontics at the University of Iowa College of Dentistry in 1999, and started his private practice of orthodontics in Bedford at that time.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(completed,List([3, 12)))	SimpleArgument(a Master 's degree,List([13, 31)))	He completed a Master's degree in Orthodontics at the University of Iowa College of Dentistry in 1999, and started his private practice of orthodontics in Bedford at that time.
0.5222094630377523		SimpleArgument(He,List([0, 2)))	Relation(has,List([3, 6)))	SimpleArgument(two children,List([7, 19)))	He is married to Cindy (Brown) Curtis, and has two children, Austin and Ashleigh.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(married to Cindy ( Brown ) Curtis,List([6, 39)))	He is married to Cindy (Brown) Curtis, and has two children, Austin and Ashleigh.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(enjoys,List([3, 9)))	SimpleArgument(community activities,List([10, 30)))	He enjoys games, sports, and community activities.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(enjoys,List([3, 9)))	SimpleArgument(sports,List([10, 16)))	He enjoys games, sports, and community activities.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(enjoys,List([3, 9)))	SimpleArgument(games,List([10, 15)))	He enjoys games, sports, and community activities.
