0.9572029669433457		SimpleArgument(Robert A. "Rob" Swofford,List([0, 24)))	Relation(grew up in,List([25, 32), [33, 35)))	SpatialArgument(Nassau Bay,List([36, 46)))	Robert A. "Rob" Swofford grew up in Nassau Bay, Texas.
0.9192653036176239		SimpleArgument(Rob,List([9, 12)))	Relation(was named,List([13, 22)))	SimpleArgument(one of Houston's Top Lawyers in the area of Criminal Defense,List([23, 83)))	In 2006, Rob was named one of Houston's Top Lawyers in the area of Criminal Defense.
0.8512584132433437	Context(Rob has personally tried,List([0, 24)))	SimpleArgument(Rob,List([0, 3)))	Relation(has personally tried cases to verdict at all levels of Federal courts as having,List([4, 24), [25, 33)))	SimpleArgument(years of second chair experience under the direct supervision of Cogdell,List([94, 166)))	Rob has personally tried cases to verdict at all levels of State and Federal courts, as well as having years of second chair experience under the direct supervision of Cogdell.
0.8195727266148489		SimpleArgument(Rob,List([0, 3)))	Relation(has personally tried,List([4, 24)))	SimpleArgument(cases to verdict at all levels of Federal courts,List([25, 73)))	Rob has personally tried cases to verdict at all levels of State and Federal courts, as well as having years of second chair experience under the direct supervision of Cogdell.
0.8512584132433437	Context(Rob has personally tried,List([0, 24)))	SimpleArgument(Rob,List([0, 3)))	Relation(has personally tried cases to verdict at all levels of State courts as having,List([4, 24), [25, 33)))	SimpleArgument(years of second chair experience under the direct supervision of Cogdell,List([92, 164)))	Rob has personally tried cases to verdict at all levels of State and Federal courts, as well as having years of second chair experience under the direct supervision of Cogdell.
0.8195727266148489		SimpleArgument(Rob,List([0, 3)))	Relation(has personally tried,List([4, 24)))	SimpleArgument(cases to verdict at all levels of State courts,List([25, 71)))	Rob has personally tried cases to verdict at all levels of State and Federal courts, as well as having years of second chair experience under the direct supervision of Cogdell.
0.876543225140763		SimpleArgument(Rob,List([53, 56)))	Relation(has appeared in,List([57, 69), [70, 72)))	SpatialArgument(numerous local publications including Texas Monthly,List([73, 124)))	Through his representation of high profile clients and cases, Rob has appeared in numerous national and local publications including People Magazine and Texas Monthly.
0.876543225140763		SimpleArgument(Rob,List([53, 56)))	Relation(has appeared in,List([57, 69), [70, 72)))	SpatialArgument(numerous local publications including People Magazine,List([73, 126)))	Through his representation of high profile clients and cases, Rob has appeared in numerous national and local publications including People Magazine and Texas Monthly.
0.876543225140763		SimpleArgument(Rob,List([53, 56)))	Relation(has appeared in,List([57, 69), [70, 72)))	SpatialArgument(numerous national publications including Texas Monthly,List([73, 127)))	Through his representation of high profile clients and cases, Rob has appeared in numerous national and local publications including People Magazine and Texas Monthly.
0.876543225140763		SimpleArgument(Rob,List([53, 56)))	Relation(has appeared in,List([57, 69), [70, 72)))	SpatialArgument(numerous national publications including People Magazine,List([73, 129)))	Through his representation of high profile clients and cases, Rob has appeared in numerous national and local publications including People Magazine and Texas Monthly.
0.876543225140763		SimpleArgument(Rob,List([0, 3)))	Relation(has also appeared on,List([4, 21), [22, 24)))	SpatialArgument(several national broadcasts including " Good Morning America,List([25, 85)))	Rob has also appeared on several national broadcasts including "Dateline NBC," "20/20" and "Good Morning America."
0.876543225140763		SimpleArgument(Rob,List([0, 3)))	Relation(has also appeared on,List([4, 21), [22, 24)))	SpatialArgument(several national broadcasts including " Dateline NBC,List([25, 77)))	Rob has also appeared on several national broadcasts including "Dateline NBC," "20/20" and "Good Morning America."
0.876543225140763		SimpleArgument(Rob,List([0, 3)))	Relation(is licensed to,List([4, 15), [16, 18)))	SimpleArgument(practice in The State of Texas,List([19, 49)))	Rob is licensed to practice in The State of Texas, in the Federal District Courts for the Southern and Eastern Districts of Texas and the United States Fifth Circuit Court of Appeals.
0.9192653036176239		SimpleArgument(Rob,List([0, 3)))	Relation(is licensed to,List([4, 15), [16, 18)))	SimpleArgument(practice in The State of Texas , in the Federal District Courts for the Eastern Districts of Texas,List([19, 117)))	Rob is licensed to practice in The State of Texas, in the Federal District Courts for the Southern and Eastern Districts of Texas and the United States Fifth Circuit Court of Appeals.
0.7966855725619307		SimpleArgument(Rob,List([0, 3)))	Relation(to practice in,List([16, 27), [52, 54)))	SpatialArgument(the Federal District Courts,List([55, 82)))	Rob is licensed to practice in The State of Texas, in the Federal District Courts for the Southern and Eastern Districts of Texas and the United States Fifth Circuit Court of Appeals.
0.8571777395282005		SimpleArgument(Rob,List([0, 3)))	Relation(to practice in,List([16, 27), [28, 30)))	SpatialArgument(The State of Texas,List([31, 49)))	Rob is licensed to practice in The State of Texas, in the Federal District Courts for the Southern and Eastern Districts of Texas and the United States Fifth Circuit Court of Appeals.
0.9192653036176239		SimpleArgument(Rob,List([0, 3)))	Relation(is licensed to,List([4, 15), [16, 18)))	SimpleArgument(practice in The State of Texas , in the Federal District Courts for the Southern,List([19, 99)))	Rob is licensed to practice in The State of Texas, in the Federal District Courts for the Southern and Eastern Districts of Texas and the United States Fifth Circuit Court of Appeals.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has also represented clients in,List([3, 23), [24, 31), [32, 34)))	SpatialArgument(Hawaii,List([35, 41)))	He has also represented clients in South Carolina, Illinois, Mississippi, Alabama and Hawaii.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has also represented clients in,List([3, 23), [24, 31), [32, 34)))	SpatialArgument(Alabama,List([35, 42)))	He has also represented clients in South Carolina, Illinois, Mississippi, Alabama and Hawaii.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has also represented,List([3, 23)))	SimpleArgument(clients in Mississippi,List([24, 46)))	He has also represented clients in South Carolina, Illinois, Mississippi, Alabama and Hawaii.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has also represented clients in,List([3, 23), [24, 31), [32, 34)))	SpatialArgument(Illinois,List([35, 43)))	He has also represented clients in South Carolina, Illinois, Mississippi, Alabama and Hawaii.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(has also represented,List([3, 23)))	SimpleArgument(clients,List([24, 31)))	He has also represented clients in South Carolina, Illinois, Mississippi, Alabama and Hawaii.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has also represented,List([3, 23)))	SimpleArgument(clients in South Carolina,List([24, 49)))	He has also represented clients in South Carolina, Illinois, Mississippi, Alabama and Hawaii.
0.8578787223192438	Context(Adams working most notably,List([56, 95)))	SimpleArgument(Adams,List([56, 61)))	Relation(working most notably assisting in,List([62, 69), [83, 95), [98, 107), [108, 110)))	SimpleArgument(national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants,List([111, 211)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8956113154445509		SimpleArgument(Adams,List([56, 61)))	Relation(working most notably in,List([62, 69), [70, 87), [88, 95)))	SpatialArgument(insurance,List([73, 82)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832	Context(Rob spent,List([20, 29)))	SimpleArgument(Rob,List([20, 23)))	Relation(spent several years working for,List([24, 29), [30, 37), [38, 43)))	SimpleArgument(Adams working in insurance most notably,List([56, 95)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832		SimpleArgument(Rob,List([20, 23)))	Relation(spent several years,List([24, 29), [30, 43)))	SimpleArgument(working for Adams working in insurance most notably,List([44, 95)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.862602635206539	Context(Adams working,List([56, 69)))	SimpleArgument(Adams,List([56, 61)))	Relation(working assisting in,List([62, 69), [93, 102), [103, 105)))	SimpleArgument(national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants,List([106, 206)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.9017692064117712		SimpleArgument(Adams,List([56, 61)))	Relation(working in,List([62, 69), [70, 72)))	SpatialArgument(insurance defense,List([73, 90)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832	Context(Rob spent,List([20, 29)))	SimpleArgument(Rob,List([20, 23)))	Relation(spent several years working for,List([24, 29), [30, 37), [38, 43)))	SimpleArgument(Adams working in insurance defense,List([56, 90)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832		SimpleArgument(Rob,List([20, 23)))	Relation(spent several years,List([24, 29), [30, 43)))	SimpleArgument(working for Adams working in insurance defense,List([44, 90)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.7564830223093779	Context(Herz working most notably,List([56, 94)))	SimpleArgument(Herz,List([56, 60)))	Relation(working most notably assisting in,List([61, 68), [82, 94), [97, 106), [107, 109)))	SimpleArgument(national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants,List([110, 210)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.81534117063062		SimpleArgument(Herz,List([56, 60)))	Relation(working most notably in,List([61, 68), [69, 86), [87, 94)))	SpatialArgument(insurance,List([72, 81)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832	Context(Rob spent,List([20, 29)))	SimpleArgument(Rob,List([20, 23)))	Relation(spent several years working for,List([24, 29), [30, 37), [38, 43)))	SimpleArgument(Herz working in insurance most notably,List([56, 94)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832		SimpleArgument(Rob,List([20, 23)))	Relation(spent several years,List([24, 29), [30, 43)))	SimpleArgument(working for Herz working in insurance most notably,List([44, 94)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.7636486598345316	Context(Herz working,List([56, 68)))	SimpleArgument(Herz,List([56, 60)))	Relation(working assisting in,List([61, 68), [92, 101), [102, 104)))	SimpleArgument(national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants,List([105, 205)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8253106085824989		SimpleArgument(Herz,List([56, 60)))	Relation(working in,List([61, 68), [69, 71)))	SpatialArgument(insurance defense,List([72, 89)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832	Context(Rob spent,List([20, 29)))	SimpleArgument(Rob,List([20, 23)))	Relation(spent several years working for,List([24, 29), [30, 37), [38, 43)))	SimpleArgument(Herz working in insurance defense,List([56, 89)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832		SimpleArgument(Rob,List([20, 23)))	Relation(spent several years,List([24, 29), [30, 43)))	SimpleArgument(working for Herz working in insurance defense,List([44, 89)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8578787223192438	Context(Greer working most notably,List([56, 95)))	SimpleArgument(Greer,List([56, 61)))	Relation(working most notably assisting in,List([62, 69), [83, 95), [98, 107), [108, 110)))	SimpleArgument(national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants,List([111, 211)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8956113154445509		SimpleArgument(Greer,List([56, 61)))	Relation(working most notably in,List([62, 69), [70, 87), [88, 95)))	SpatialArgument(insurance,List([73, 82)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832	Context(Rob spent,List([20, 29)))	SimpleArgument(Rob,List([20, 23)))	Relation(spent several years working for,List([24, 29), [30, 37), [38, 43)))	SimpleArgument(Greer working in insurance most notably,List([56, 95)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832		SimpleArgument(Rob,List([20, 23)))	Relation(spent several years,List([24, 29), [30, 43)))	SimpleArgument(working for Greer working in insurance most notably,List([44, 95)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.862602635206539	Context(Greer working,List([56, 69)))	SimpleArgument(Greer,List([56, 61)))	Relation(working assisting in,List([62, 69), [93, 102), [103, 105)))	SimpleArgument(national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants,List([106, 206)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.9017692064117712		SimpleArgument(Greer,List([56, 61)))	Relation(working in,List([62, 69), [70, 72)))	SpatialArgument(insurance defense,List([73, 90)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832	Context(Rob spent,List([20, 29)))	SimpleArgument(Rob,List([20, 23)))	Relation(spent several years working for,List([24, 29), [30, 37), [38, 43)))	SimpleArgument(Greer working in insurance defense,List([56, 90)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.7834954148344825		SimpleArgument(Rob,List([20, 23)))	Relation(spent several years During,List([0, 6), [24, 37), [38, 43)))	TemporalArgument(his career,List([7, 17)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8453428833817832		SimpleArgument(Rob,List([20, 23)))	Relation(spent several years,List([24, 29), [30, 43)))	SimpleArgument(working for Greer working in insurance defense,List([44, 90)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8576784836790008		SimpleArgument(Rob,List([20, 23)))	Relation(spent,List([24, 29)))	SimpleArgument(several years,List([30, 43)))	During his career, Rob spent several years working for Greer, Herz and Adams working in insurance defense and most notably, assisting in national litigation for DirectTV in its pursuit of piracy claims against more than 15,000 defendants.
0.8225553370134596		SimpleArgument(Rob,List([53, 56)))	Relation(served as general counsel throughout,List([57, 63), [64, 82), [113, 123)))	TemporalArgument(the United States and overseas,List([124, 154)))	Before forming Collins, O'Neal & Swofford in 2009, Rob served as Vice President and general counsel to a Houston engineering and consulting firm that serviced clients throughout the United States and overseas.
0.9124405450386827		SimpleArgument(Rob,List([53, 56)))	Relation(served as general counsel Before,List([0, 6), [57, 74), [75, 82)))	TemporalArgument(forming Collins , O'Neal & Swofford in 2009,List([7, 50)))	Before forming Collins, O'Neal & Swofford in 2009, Rob served as Vice President and general counsel to a Houston engineering and consulting firm that serviced clients throughout the United States and overseas.
0.8550806581371961		SimpleArgument(Rob,List([53, 56)))	Relation(served as,List([57, 63), [64, 66)))	SimpleArgument(general counsel,List([67, 82)))	Before forming Collins, O'Neal & Swofford in 2009, Rob served as Vice President and general counsel to a Houston engineering and consulting firm that serviced clients throughout the United States and overseas.
0.9124405450386827		SimpleArgument(Rob,List([53, 56)))	Relation(served as Vice President Before,List([0, 6), [57, 71), [72, 81)))	TemporalArgument(forming Collins , O'Neal & Swofford in 2009,List([7, 50)))	Before forming Collins, O'Neal & Swofford in 2009, Rob served as Vice President and general counsel to a Houston engineering and consulting firm that serviced clients throughout the United States and overseas.
0.876543225140763		SimpleArgument(Rob,List([53, 56)))	Relation(served as,List([57, 63), [64, 66)))	SimpleArgument(Vice President,List([67, 81)))	Before forming Collins, O'Neal & Swofford in 2009, Rob served as Vice President and general counsel to a Houston engineering and consulting firm that serviced clients throughout the United States and overseas.
0.15303969041570317		SimpleArgument(Most,List([0, 4)))	Relation(struck out,List([5, 15)))		Most recently, Rob left Collins, O'neal & Swofford and struck out on his own by forming the Swofford Law Firm.
0.7559082184995922		SimpleArgument(Rob,List([16, 19)))	Relation(left Collins , O'neal & Swofford,List([20, 24), [25, 52)))	TemporalArgument(Most recently,List([0, 13)))	Most recently, Rob left Collins, O'neal & Swofford and struck out on his own by forming the Swofford Law Firm.
0.9040259452709256		SimpleArgument(Rob,List([16, 19)))	Relation(left,List([20, 24)))	SimpleArgument(Collins , O'neal & Swofford,List([25, 52)))	Most recently, Rob left Collins, O'neal & Swofford and struck out on his own by forming the Swofford Law Firm.
