0.9314904193639496		SimpleArgument(a mobile veterinary practice,List([7, 35)))	Relation(serving,List([36, 43)))	SimpleArgument(South Walton county,List([44, 63)))	We are a mobile veterinary practice serving South Walton county, FL.
0.3723576963542719		SimpleArgument(it,List([19, 21)))	Relation(is,List([22, 24)))	SimpleArgument(less stressful to them,List([25, 47)))	By coming to pet or horse's own environment, it is less stressful to them and their owner.
0.869502729345119		SimpleArgument(Dr. Collier,List([16, 27)))	Relation(to better address more completely,List([28, 45), [58, 73)))	SimpleArgument(their needs,List([46, 57)))	It also enables Dr. Collier to better assess the pet and address their needs more completely.
0.30899953469486874		SimpleArgument(It,List([0, 2)))	Relation(also enables Dr. Collier to,List([3, 15), [16, 27), [28, 30)))	SimpleArgument(better address their needs more completely,List([31, 73)))	It also enables Dr. Collier to better assess the pet and address their needs more completely.
0.9266232318014763		SimpleArgument(Dr. Collier,List([16, 27)))	Relation(to better assess,List([28, 44)))	SimpleArgument(the pet,List([45, 52)))	It also enables Dr. Collier to better assess the pet and address their needs more completely.
0.45170382506656653		SimpleArgument(It,List([0, 2)))	Relation(also enables Dr. Collier to,List([3, 15), [16, 27), [28, 30)))	SimpleArgument(better assess the pet,List([31, 52)))	It also enables Dr. Collier to better assess the pet and address their needs more completely.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(also enables,List([3, 15)))	SimpleArgument(Dr. Collier,List([16, 27)))	It also enables Dr. Collier to better assess the pet and address their needs more completely.
0.7440220930148851		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(has worked as a veterinarian since,List([12, 22), [35, 52), [53, 58)))	TemporalArgument(2001,List([59, 63)))	Dr. Collier has worked in the area as a veterinarian since 2001.
0.8918329165024274		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(has worked as,List([12, 22), [35, 37)))	SimpleArgument(a veterinarian,List([38, 52)))	Dr. Collier has worked in the area as a veterinarian since 2001.
0.9246715697529401		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(has worked as a veterinarian in,List([12, 22), [23, 39), [40, 52)))	SpatialArgument(the area,List([26, 34)))	Dr. Collier has worked in the area as a veterinarian since 2001.
0.3048426724432105		SimpleArgument(She,List([0, 3)))	Relation(owned Companion Animal Hospital of Destin,List([18, 23), [24, 59)))	TemporalArgument(most recently,List([4, 17)))	She most recently owned Companion Animal Hospital of Destin.
0.45592395356914683		SimpleArgument(She,List([0, 3)))	Relation(owned,List([18, 23)))	SimpleArgument(Companion Animal Hospital of Destin,List([24, 59)))	She most recently owned Companion Animal Hospital of Destin.
0.39746064682094406		SimpleArgument(she,List([49, 52)))	Relation(elected to,List([53, 60), [61, 63)))	SimpleArgument(become a mobile practitioner,List([64, 92)))	Desiring to be able to offer her patients and clients more, she elected to become a mobile practitioner.
0.41051436014453063		SimpleArgument(she,List([49, 52)))	Relation(to become,List([61, 70)))	SimpleArgument(a mobile practitioner,List([71, 92)))	Desiring to be able to offer her patients and clients more, she elected to become a mobile practitioner.
0.2109075005034139	Context(This allows,List([0, 11)))	SimpleArgument(This,List([0, 4)))	Relation(allows to establish,List([5, 11), [12, 24)))	SimpleArgument(a deeper relationship with her clients,List([25, 63)))	This allows her to give more individualized time to each pet and to establish a deeper relationship with her clients.
0.2109075005034139		SimpleArgument(This,List([0, 4)))	Relation(allows to,List([5, 11), [12, 14)))	SimpleArgument(establish a deeper relationship with her clients,List([15, 63)))	This allows her to give more individualized time to each pet and to establish a deeper relationship with her clients.
0.39746064682094406	Context(This allows,List([0, 11)))	SimpleArgument(her,List([12, 15)))	Relation(to give more individualized time to,List([16, 23), [24, 48), [49, 51)))	SimpleArgument(each pet,List([52, 60)))	This allows her to give more individualized time to each pet and to establish a deeper relationship with her clients.
0.39746064682094406	Context(This allows,List([0, 11)))	SimpleArgument(her,List([12, 15)))	Relation(to give,List([16, 23)))	SimpleArgument(more individualized time,List([24, 48)))	This allows her to give more individualized time to each pet and to establish a deeper relationship with her clients.
0.2109075005034139		SimpleArgument(This,List([0, 4)))	Relation(allows,List([5, 11)))	SimpleArgument(her to give more individualized time to each pet,List([12, 60)))	This allows her to give more individualized time to each pet and to establish a deeper relationship with her clients.
0.9166165405193513		SimpleArgument(Dr. Collier,List([14, 25)))	Relation(felt like,List([26, 30), [31, 35)))	SimpleArgument(there was more she could be doing to help pets ,,List([36, 84)))	In addition, Dr. Collier felt like there was more she could be doing to help pets, especially when Western medicine failed or worse, was harmful.
0.3048426724432105		SimpleArgument(She,List([0, 3)))	Relation(offers integrative , holistic veterinary care,List([8, 14), [15, 53)))	TemporalArgument(now,List([4, 7)))	She undertook intensive training in traditional Chinese medicine and now offers integrative, holistic veterinary care.
0.41051436014453063		SimpleArgument(She,List([0, 3)))	Relation(offers,List([8, 14)))	SimpleArgument(integrative , holistic veterinary care,List([15, 53)))	She undertook intensive training in traditional Chinese medicine and now offers integrative, holistic veterinary care.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(undertook,List([4, 13)))	SimpleArgument(intensive training in traditional Chinese medicine,List([14, 64)))	She undertook intensive training in traditional Chinese medicine and now offers integrative, holistic veterinary care.
0.7440220930148851		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(earned her veterinary medical degree in,List([12, 18), [19, 48), [80, 82)))	TemporalArgument(1998,List([83, 87)))	Dr. Collier earned her veterinary medical degree from the University of Georgia in 1998.
0.9382554258342916		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(earned her veterinary medical degree from,List([12, 18), [19, 48), [49, 53)))	SimpleArgument(the University of Georgia,List([54, 79)))	Dr. Collier earned her veterinary medical degree from the University of Georgia in 1998.
0.8726869446304376		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(earned,List([12, 18)))	SimpleArgument(her veterinary medical degree,List([19, 48)))	Dr. Collier earned her veterinary medical degree from the University of Georgia in 1998.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(has lived along,List([4, 13), [14, 19)))	SpatialArgument(the Emerald Coast,List([20, 37)))	She has lived along the Emerald Coast, off and on since the early 1980's.
0.4907332801074571		SimpleArgument(She,List([0, 3)))	Relation(has lived off along,List([4, 13), [14, 19), [40, 43)))	SpatialArgument(the Emerald Coast,List([20, 37)))	She has lived along the Emerald Coast, off and on since the early 1980's.
0.3497525988439521		SimpleArgument(She,List([0, 3)))	Relation(has lived off since,List([4, 13), [40, 43), [44, 49)))	TemporalArgument(the early 1980's,List([50, 66)))	She has lived along the Emerald Coast, off and on since the early 1980's.
0.5222094630377523		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(a cat,List([7, 12)))	She is married to Robert Collier and is 'owned' by a Yorki-Poo, (2) Yorkies, (2) Shih-Tzu's and a cat.
0.9959999918937683		SimpleArgument(She,List([0, 0)))	Relation(has married of,List([0, 0)))	SimpleArgument(2,List(null))	She is married to Robert Collier and is 'owned' by a Yorki-Poo, (2) Yorkies, (2) Shih-Tzu's and a cat.
0.27813615858960106		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(married ( 2,List([7, 18)))	She is married to Robert Collier and is 'owned' by a Yorki-Poo, (2) Yorkies, (2) Shih-Tzu's and a cat.
0.3929209860966329		SimpleArgument(She,List([0, 3)))	Relation(is owned by,List([4, 6), [9, 14), [17, 19)))	SimpleArgument(a Yorki - Poo,List([20, 33)))	She is married to Robert Collier and is 'owned' by a Yorki-Poo, (2) Yorkies, (2) Shih-Tzu's and a cat.
0.5680679595514976		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(married to Robert Collier,List([7, 32)))	She is married to Robert Collier and is 'owned' by a Yorki-Poo, (2) Yorkies, (2) Shih-Tzu's and a cat.
0.17816844605352172		SimpleArgument(All,List([1, 4)))	Relation(are,List([5, 8)))	SimpleArgument(rescues,List([9, 16)))	(All are rescues--job hazard!).
0.30899953469486874		SimpleArgument(she,List([51, 54)))	Relation(also trail,List([55, 65)))	SimpleArgument(rides in her spare time,List([66, 89)))	She also has a pasture-ornament Quarter Horse whom she also trail rides in her spare time.
0.4918061908623011		SimpleArgument(She,List([0, 3)))	Relation(has,List([9, 12)))	SimpleArgument(a pasture-ornament Quarter Horse whom she also trail rides in her spare time,List([13, 89)))	She also has a pasture-ornament Quarter Horse whom she also trail rides in her spare time.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(loves,List([4, 9)))	SimpleArgument(the beach,List([10, 19)))	She is an avid reader and loves the beach.
0.5222094630377523		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(an avid reader,List([7, 21)))	She is an avid reader and loves the beach.
0.8847999636040884		SimpleArgument(She,List([0, 3)))	Relation(is a member of,List([4, 18)))	SimpleArgument(Destin United Methodist Church,List([19, 49)))	She is a member of Destin United Methodist Church.
0.5680679595514976		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(a member of Destin United Methodist Church,List([7, 49)))	She is a member of Destin United Methodist Church.
