0.5680679595514976		SimpleArgument(I,List({26}))	Relation('m,List([27, 29)))	SimpleArgument(a Software Engineer at Blackboard Inc,List([30, 67)))	Software Engineering Guru I'm a Software Engineer at Blackboard Inc.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(am well versed in,List([2, 16), [17, 19)))	SpatialArgument(Agile development methodologies,List([20, 51)))	I am well versed in Agile development methodologies and Continuous Integration practices.
0.6138676038426771		SimpleArgument(I,List({0}))	Relation(have also been,List([2, 16)))	SimpleArgument(able to work across all systems developed for ParentLink including message delivery,List([17, 100)))	I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.9180804252893389		SimpleArgument(all systems,List([37, 48)))	Relation(developed for,List([49, 58), [59, 62)))	SimpleArgument(ParentLink,List([63, 73)))	I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.6138676038426771		SimpleArgument(I,List({0}))	Relation(have also been,List([2, 16)))	SimpleArgument(able to work across all systems developed for ParentLink including UI design,List([17, 93)))	I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.9180804252893389		SimpleArgument(all systems,List([37, 48)))	Relation(developed for,List([49, 58), [59, 62)))	SimpleArgument(ParentLink including web services,List([63, 96)))	I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.7323734373534755		SimpleArgument(all systems,List([37, 48)))	Relation(developed,List([49, 58)))		I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have also been,List([2, 16)))	SimpleArgument(able to work across all systems,List([17, 48)))	I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.9180804252893389		SimpleArgument(all features,List([37, 49)))	Relation(developed for,List([50, 59), [60, 63)))	SimpleArgument(ParentLink including message delivery,List([64, 101)))	I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.9180804252893389		SimpleArgument(all features,List([37, 49)))	Relation(developed for,List([50, 59), [60, 63)))	SimpleArgument(ParentLink including UI design,List([64, 94)))	I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.9180804252893389		SimpleArgument(all features,List([37, 49)))	Relation(developed for,List([50, 59), [60, 63)))	SimpleArgument(ParentLink including web services,List([64, 97)))	I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.7323734373534755		SimpleArgument(all features,List([37, 49)))	Relation(developed,List([50, 59)))		I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.16986108911692605		SimpleArgument(I,List({0}))	Relation(to work,List([22, 29)))		I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have also been,List([2, 16)))	SimpleArgument(able to work across all features,List([17, 49)))	I have also been able to work across all features and systems developed for ParentLink including data integration, web services, UI design, and message delivery.
0.5926659981335703		SimpleArgument(I,List({13}))	Relation(pushed for a redesign of the message delivery engine responsible for community outreach features of ParentLink At,List([0, 2), [15, 114), [115, 125)))	SpatialArgument(Parlant,List([3, 10)))	At Parlant, I pushed for a redesign of the message delivery engine responsible for the parental involvement and community outreach features of ParentLink.
0.6138676038426771		SimpleArgument(I,List({13}))	Relation(pushed for,List([15, 21), [22, 25)))	SimpleArgument(a redesign of the message delivery engine responsible for community outreach features of ParentLink,List([26, 125)))	At Parlant, I pushed for a redesign of the message delivery engine responsible for the parental involvement and community outreach features of ParentLink.
0.5926659981335703		SimpleArgument(I,List({13}))	Relation(pushed for a redesign of the message delivery engine responsible for the parental involvement At,List([0, 2), [15, 96), [97, 108)))	SpatialArgument(Parlant,List([3, 10)))	At Parlant, I pushed for a redesign of the message delivery engine responsible for the parental involvement and community outreach features of ParentLink.
0.5691839633287576		SimpleArgument(I,List({13}))	Relation(pushed for,List([15, 21), [22, 25)))	SimpleArgument(a redesign of the message delivery engine responsible for the parental involvement,List([26, 108)))	At Parlant, I pushed for a redesign of the message delivery engine responsible for the parental involvement and community outreach features of ParentLink.
0.9372494423173455		SimpleArgument(a message,List([7, 16)))	Relation(queuing,List([17, 24)))	SimpleArgument(capable of handling millions of notifications per hour across various delivery methods such as SMS,List([25, 123)))	As project lead, I helped design, create, and deploy a message queuing and delivery engine capable of handling millions of notifications per hour across various delivery methods such as voice, email and SMS.
0.9372494423173455		SimpleArgument(a message,List([7, 16)))	Relation(queuing,List([17, 24)))	SimpleArgument(capable of handling millions of notifications per hour across various delivery methods such as email,List([25, 125)))	As project lead, I helped design, create, and deploy a message queuing and delivery engine capable of handling millions of notifications per hour across various delivery methods such as voice, email and SMS.
0.9372494423173455		SimpleArgument(a message,List([7, 16)))	Relation(queuing,List([17, 24)))	SimpleArgument(capable of handling millions of notifications per hour across various delivery methods such as voice,List([25, 125)))	As project lead, I helped design, create, and deploy a message queuing and delivery engine capable of handling millions of notifications per hour across various delivery methods such as voice, email and SMS.
0.45170382506656653		SimpleArgument(I,List({18}))	Relation(helped,List([20, 26)))	SimpleArgument(design,List([27, 33)))	As project lead, I helped design, create, and deploy a message queuing and delivery engine capable of handling millions of notifications per hour across various delivery methods such as voice, email and SMS.
0.5520449397565844	Context(they decided,List([53, 65)))	SimpleArgument(they,List([53, 57)))	Relation(decided to replace their legacy engine with,List([58, 65), [66, 76), [77, 96), [97, 101)))	SimpleArgument(the engine,List([102, 112)))	When Blackboard acquired Parlant technology in 2014, they decided to replace their legacy engine with the engine we had created.
0.40081383130177484	Context(they decided,List([53, 65)))	SimpleArgument(they,List([53, 57)))	Relation(decided to replace,List([58, 65), [66, 76)))	SimpleArgument(their legacy engine,List([77, 96)))	When Blackboard acquired Parlant technology in 2014, they decided to replace their legacy engine with the engine we had created.
0.6882589514021641		SimpleArgument(they,List([53, 57)))	Relation(decided to replace their legacy engine with the engine,List([58, 65), [66, 112)))	TemporalArgument(When Blackboard acquired Parlant technology in 2014,List([0, 51)))	When Blackboard acquired Parlant technology in 2014, they decided to replace their legacy engine with the engine we had created.
0.40081383130177484		SimpleArgument(they,List([53, 57)))	Relation(decided to,List([58, 65), [66, 68)))	SimpleArgument(replace their legacy engine with the engine,List([69, 112)))	When Blackboard acquired Parlant technology in 2014, they decided to replace their legacy engine with the engine we had created.
0.8841701665203853		SimpleArgument(the engine,List([102, 112)))	Relation(had created,List([116, 127)))	SimpleArgument(we,List([113, 115)))	When Blackboard acquired Parlant technology in 2014, they decided to replace their legacy engine with the engine we had created.
0.8016573080327372		SimpleArgument(Blackboard,List([5, 15)))	Relation(acquired Parlant technology in,List([16, 24), [25, 43), [44, 46)))	TemporalArgument(2014,List([47, 51)))	When Blackboard acquired Parlant technology in 2014, they decided to replace their legacy engine with the engine we had created.
0.9324144673478683		SimpleArgument(Blackboard,List([5, 15)))	Relation(acquired,List([16, 24)))	SimpleArgument(Parlant technology,List([25, 43)))	When Blackboard acquired Parlant technology in 2014, they decided to replace their legacy engine with the engine we had created.
0.8628231472335713		SimpleArgument(high trust / high accountability environments,List([12, 57)))	Relation(value autonomy in,List([63, 68), [69, 77), [78, 80)))	SimpleArgument(their management,List([81, 97)))	I thrive in high trust/high accountability environments that value innovation, risk, and autonomy in their employees and management.
0.8628231472335713		SimpleArgument(high trust / high accountability environments,List([12, 57)))	Relation(value autonomy in,List([63, 68), [69, 77), [78, 80)))	SimpleArgument(their employees,List([81, 96)))	I thrive in high trust/high accountability environments that value innovation, risk, and autonomy in their employees and management.
0.9205578370056476		SimpleArgument(high trust / high accountability environments,List([12, 57)))	Relation(value,List([63, 68)))	SimpleArgument(autonomy,List([69, 77)))	I thrive in high trust/high accountability environments that value innovation, risk, and autonomy in their employees and management.
0.9205578370056476		SimpleArgument(high trust / high accountability environments,List([12, 57)))	Relation(value,List([63, 68)))	SimpleArgument(risk,List([69, 73)))	I thrive in high trust/high accountability environments that value innovation, risk, and autonomy in their employees and management.
0.9205578370056476		SimpleArgument(high trust / high accountability environments,List([12, 57)))	Relation(value,List([63, 68)))	SimpleArgument(innovation,List([69, 79)))	I thrive in high trust/high accountability environments that value innovation, risk, and autonomy in their employees and management.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(thrive in,List([2, 8), [9, 11)))	SpatialArgument(high trust / high accountability environments,List([12, 57)))	I thrive in high trust/high accountability environments that value innovation, risk, and autonomy in their employees and management.
0.896604430840561		SimpleArgument(dynamic development teams,List([30, 55)))	Relation(to produce,List([70, 80)))	SimpleArgument(amazing results,List([81, 96)))	In my experience that creates dynamic development teams that are able to produce amazing results.
0.896604430840561		SimpleArgument(dynamic development teams,List([30, 55)))	Relation(are,List([61, 64)))	SimpleArgument(able to produce amazing results,List([65, 96)))	In my experience that creates dynamic development teams that are able to produce amazing results.
