0.9186941924198344		SimpleArgument(an actuarial recruitment agency,List([25, 56)))	Relation(run by,List([57, 60), [61, 63)))	SimpleArgument(qualified actuaries,List([64, 83)))	Acumen Resources Ltd. is an actuarial recruitment agency run by qualified actuaries, the only such company in Ireland.
0.45170382506656653		SimpleArgument(he,List([35, 37)))	Relation(worked in,List([38, 44), [45, 47)))	SpatialArgument(both direct - writing,List([48, 69)))	Prior to founding Acumen Resources he worked in both direct-writing and consulting actuarial environments over an extensive career.
0.8847999636040884		SimpleArgument(Jenny,List([0, 5)))	Relation(is a Fellow of,List([6, 20)))	SimpleArgument(the Institute & Faculty,List([21, 44)))	Jenny is a Fellow of the Institute & Faculty of Actuaries in the UK.
0.9670538616899376		SimpleArgument(Jenny,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(a Fellow of the Institute & Faculty of Actuaries in the UK,List([9, 67)))	Jenny is a Fellow of the Institute & Faculty of Actuaries in the UK.
0.3723576963542719		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(a current member of their committee for recent qualifiers,List([7, 64)))	She was a member of the recent Strategy Group for the Society of Actuaries in Ireland and is a current member of their committee for recent qualifiers.
0.8847999636040884		SimpleArgument(She,List([0, 3)))	Relation(was a member of,List([4, 19)))	SimpleArgument(the recent Strategy Group,List([20, 45)))	She was a member of the recent Strategy Group for the Society of Actuaries in Ireland and is a current member of their committee for recent qualifiers.
0.6783685094789625		SimpleArgument(She,List([0, 3)))	Relation(was,List([4, 7)))	SimpleArgument(a member of the recent Strategy Group for the Society of Actuaries in Ireland,List([8, 85)))	She was a member of the recent Strategy Group for the Society of Actuaries in Ireland and is a current member of their committee for recent qualifiers.
0.9535742383652521		SimpleArgument(Jenny,List([36, 41)))	Relation(worked,List([42, 48)))	TemporalArgument(Prior to joining Acumen Resources,List([0, 33)))	Prior to joining Acumen Resources, Jenny worked in an actuarial capacity in a leading Life Insurance company, in a Business Planning and Reporting role.
0.9324144673478683		SimpleArgument(Jenny,List([36, 41)))	Relation(worked in,List([42, 48), [49, 51)))	SpatialArgument(an actuarial capacity in a leading Life Insurance company,List([52, 109)))	Prior to joining Acumen Resources, Jenny worked in an actuarial capacity in a leading Life Insurance company, in a Business Planning and Reporting role.
0.9111779447320654		SimpleArgument(other actuarial professionals,List([73, 102)))	Relation(regarding,List([103, 112)))	SimpleArgument(jobs,List([113, 117)))	We run the Linkedin Actuarial Community where you can connect and network with other actuarial professionals regarding news, discussions and jobs.
0.5750411108691293		SimpleArgument(you,List([40, 43)))	Relation(network with,List([60, 67), [68, 72)))	SimpleArgument(other actuarial professionals regarding discussions,List([73, 124)))	We run the Linkedin Actuarial Community where you can connect and network with other actuarial professionals regarding news, discussions and jobs.
0.2735786399569868	Context(We run,List([0, 6)))	SimpleArgument(you,List([40, 43)))	Relation(can connect,List([44, 55)))		We run the Linkedin Actuarial Community where you can connect and network with other actuarial professionals regarding news, discussions and jobs.
0.5750411108691293		SimpleArgument(you,List([40, 43)))	Relation(network with,List([60, 67), [68, 72)))	SimpleArgument(other actuarial professionals,List([73, 102)))	We run the Linkedin Actuarial Community where you can connect and network with other actuarial professionals regarding news, discussions and jobs.
0.9111779447320654		SimpleArgument(other actuarial professionals,List([63, 92)))	Relation(regarding,List([93, 102)))	SimpleArgument(news,List([103, 107)))	We run the Linkedin Actuarial Community where you can connect and network with other actuarial professionals regarding news, discussions and jobs.
0.5680679595514976		SimpleArgument(We,List([0, 2)))	Relation(run,List([3, 6)))	SimpleArgument(the Linkedin Actuarial Community,List([7, 39)))	We run the Linkedin Actuarial Community where you can connect and network with other actuarial professionals regarding news, discussions and jobs.
0.2743125465364158		SimpleArgument(We,List([0, 2)))	Relation(have,List([8, 12)))	SimpleArgument(regional sub-groups to streamline your notifications,List([13, 65)))	We also have regional sub-groups to streamline your notifications:
