0.18947780198484504	Context(I started,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(started spending aboard,List([2, 9), [10, 18), [24, 30)))	TemporalArgument(when I was in high school,List([31, 56)))	I started spending time aboard when I was in high school.
0.45592395356914683		SimpleArgument(I,List({110}))	Relation(to study fine art in,List([130, 138), [139, 147), [148, 150)))	SpatialArgument(the Art Student League,List([151, 173)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.41051436014453063		SimpleArgument(I,List({110}))	Relation(to study,List([130, 138)))	SimpleArgument(fine art,List([139, 147)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.40710919743170804		SimpleArgument(I,List({72}))	Relation(studied mixed media,List([74, 81), [82, 93)))	SimpleArgument(photography,List([96, 107)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.45170382506656653		SimpleArgument(I,List({72}))	Relation(studied,List([74, 81)))	SimpleArgument(mixed media,List([82, 93)))	My first experience in this sense have been six months in England where I studied mixed media, photography and psychology.After my high school graduation in Math and Science achieved in Italy, I moved to New York to study fine art in the Art Student League.
0.3018651855507195		SimpleArgument(I,List({6}))	Relation(applied for a class in watercolour painting,List([8, 15), [16, 51)))	SpatialArgument(There,List([0, 5)))	There I applied for a class in watercolour painting, one in clay sculpting and one in charcoal drawing.
0.45170382506656653		SimpleArgument(I,List({6}))	Relation(applied for,List([8, 15), [16, 19)))	SimpleArgument(a class in watercolour painting,List([20, 51)))	There I applied for a class in watercolour painting, one in clay sculpting and one in charcoal drawing.
0.4328394458044063	Context(I kept,List([30, 36)))	SimpleArgument(I,List({72}))	Relation(started,List([74, 81)))	SimpleArgument(a University Bachelor degree in digital culture,List([82, 129)))	In this four month in the USA I kept improving my english.Back in Italy I started a University Bachelor degree in Communication and digital culture.
0.4328394458044063	Context(I kept,List([30, 36)))	SimpleArgument(I,List({72}))	Relation(started a University Bachelor degree in,List([74, 81), [82, 110), [111, 113)))	SpatialArgument(Communication,List([114, 127)))	In this four month in the USA I kept improving my english.Back in Italy I started a University Bachelor degree in Communication and digital culture.
0.4328394458044063	Context(I kept,List([30, 36)))	SimpleArgument(I,List({72}))	Relation(started,List([74, 81)))	SimpleArgument(a University Bachelor degree,List([82, 110)))	In this four month in the USA I kept improving my english.Back in Italy I started a University Bachelor degree in Communication and digital culture.
0.4328394458044063	Context(I kept,List([30, 36)))	SimpleArgument(I,List({30}))	Relation(kept improving my english.Back in,List([32, 36), [37, 46), [47, 62), [63, 65)))	SimpleArgument(Italy,List([66, 71)))	In this four month in the USA I kept improving my english.Back in Italy I started a University Bachelor degree in Communication and digital culture.
0.2560951955542683	Context(I kept,List([30, 36)))	SimpleArgument(I,List({30}))	Relation(kept improving,List([32, 36), [37, 46)))	SimpleArgument(my english.Back,List([47, 62)))	In this four month in the USA I kept improving my english.Back in Italy I started a University Bachelor degree in Communication and digital culture.
0.5283282283527726		SimpleArgument(I,List({30}))	Relation(kept improving my english.Back in Italy In,List([0, 2), [32, 65), [66, 71)))	TemporalArgument(this four month in the USA,List([3, 29)))	In this four month in the USA I kept improving my english.Back in Italy I started a University Bachelor degree in Communication and digital culture.
0.35466356474056393		SimpleArgument(I,List({30}))	Relation(kept,List([32, 36)))	SimpleArgument(improving my english.Back in Italy,List([37, 71)))	In this four month in the USA I kept improving my english.Back in Italy I started a University Bachelor degree in Communication and digital culture.
0.37811014801594944	Context(Arte e,List([340, 346)))	SimpleArgument(I,List({179}))	Relation(applied for an Erasmus mobility program in Braga On,List([151, 153), [181, 223), [224, 229)))	TemporalArgument(my last year of Bachelor,List([154, 178)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.4328394458044063	Context(Arte e,List([340, 346)))	SimpleArgument(I,List({179}))	Relation(applied for,List([181, 188), [189, 192)))	SimpleArgument(an Erasmus mobility program in Braga,List([193, 229)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.37811014801594944	Context(Arte e,List([314, 320)))	SimpleArgument(I,List({153}))	Relation(applied for an Erasmus mobility program in Braga On,List([125, 127), [155, 197), [198, 203)))	TemporalArgument(my last year of Bachelor,List([128, 152)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.4328394458044063	Context(Arte e,List([314, 320)))	SimpleArgument(I,List({153}))	Relation(applied for,List([155, 162), [163, 166)))	SimpleArgument(an Erasmus mobility program in Braga,List([167, 203)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.37811014801594944	Context(Arte e,List([317, 323)))	SimpleArgument(I,List({156}))	Relation(applied for an Erasmus mobility program in Braga On,List([128, 130), [158, 200), [201, 206)))	TemporalArgument(my last year of Bachelor,List([131, 155)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.4328394458044063	Context(Arte e,List([317, 323)))	SimpleArgument(I,List({156}))	Relation(applied for,List([158, 165), [166, 169)))	SimpleArgument(an Erasmus mobility program in Braga,List([170, 206)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.9337334399293727		SimpleArgument(Arte,List([317, 321)))	Relation(e,List({322}))	SimpleArgument(the Maestrado,List([324, 337)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.37811014801594944		SimpleArgument(I,List({156}))	Relation(applied for an Erasmus mobility program in Braga On,List([128, 130), [158, 200), [201, 206)))	TemporalArgument(my last year of Bachelor,List([131, 155)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.4328394458044063		SimpleArgument(I,List({156}))	Relation(applied for,List([158, 165), [166, 169)))	SimpleArgument(an Erasmus mobility program in Braga,List([170, 206)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.9085499454025062		SimpleArgument(Arte,List([317, 321)))	Relation(e,List({322}))	SimpleArgument(Cultura em Ciências da Comunicação,List([324, 358)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.5961061943937731		SimpleArgument(I,List({226}))	Relation(attended courses,List([228, 236), [237, 244)))	SpatialArgument(an Erasmus mobility program in Braga,List([170, 206)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.45170382506656653		SimpleArgument(I,List({226}))	Relation(attended,List([228, 236)))	SimpleArgument(courses,List([237, 244)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.3929209860966329		SimpleArgument(I,List({74}))	Relation(demonstrated as,List([76, 88), [101, 103)))	SimpleArgument(" Portici smartcity,List([104, 123)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.45170382506656653		SimpleArgument(I,List({74}))	Relation(demonstrated in,List([76, 88), [89, 91)))	SpatialArgument(projects,List([92, 100)))	During my university career I developed groups coordination skills, that I demonstrated in projects as "Portici smartcity", "app UniverCity" and "Chiaiano social research on hidden waste".On my last year of Bachelor I applied for an Erasmus mobility program in Braga (Portugal) where I attended courses from the Sociology graduate department, the Maestrado em Comunicação, Arte e Cultura and the Maestrado em Ciências da Comunicação.
0.44251022175651566	Context(This courses helped,List([0, 19)))	SimpleArgument(me,List([20, 22)))	Relation(improving,List([23, 32)))	SimpleArgument(technical ability as SPSS,List([33, 58)))	This courses helped me improving technical ability as Photoshop, Flash and SPSS as much as useful theoretical knowledge.
0.8296667128132261		SimpleArgument(This courses,List([0, 12)))	Relation(helped,List([13, 19)))	SimpleArgument(me improving technical ability as SPSS,List([20, 58)))	This courses helped me improving technical ability as Photoshop, Flash and SPSS as much as useful theoretical knowledge.
0.44251022175651566	Context(This courses helped,List([0, 19)))	SimpleArgument(me,List([20, 22)))	Relation(improving,List([23, 32)))	SimpleArgument(technical ability as Flash,List([33, 59)))	This courses helped me improving technical ability as Photoshop, Flash and SPSS as much as useful theoretical knowledge.
0.8296667128132261		SimpleArgument(This courses,List([0, 12)))	Relation(helped,List([13, 19)))	SimpleArgument(me improving technical ability as Flash,List([20, 59)))	This courses helped me improving technical ability as Photoshop, Flash and SPSS as much as useful theoretical knowledge.
0.44251022175651566	Context(This courses helped,List([0, 19)))	SimpleArgument(me,List([20, 22)))	Relation(improving,List([23, 32)))	SimpleArgument(technical ability as Photoshop,List([33, 63)))	This courses helped me improving technical ability as Photoshop, Flash and SPSS as much as useful theoretical knowledge.
0.8296667128132261		SimpleArgument(This courses,List([0, 12)))	Relation(helped,List([13, 19)))	SimpleArgument(me improving technical ability as Photoshop,List([20, 63)))	This courses helped me improving technical ability as Photoshop, Flash and SPSS as much as useful theoretical knowledge.
0.3880890333449538	Context(I also got,List([52, 62)))	SimpleArgument(I,List({52}))	Relation(also got to learn,List([54, 62), [63, 71)))	SimpleArgument(the basics of Spanish,List([72, 93)))	In this nine months thanks to courses and everyday interactions I also got to learn the basics of Portuguese and Spanish
0.3880890333449538	Context(I also got,List([52, 62)))	SimpleArgument(I,List({52}))	Relation(also got to learn,List([54, 62), [63, 71)))	SimpleArgument(the basics of Portuguese,List([72, 96)))	In this nine months thanks to courses and everyday interactions I also got to learn the basics of Portuguese and Spanish
0.3880890333449538	Context(I also got,List([38, 48)))	SimpleArgument(I,List({38}))	Relation(also got to learn,List([40, 48), [49, 57)))	SimpleArgument(the basics of Spanish,List([58, 79)))	In this nine months thanks to courses and everyday interactions I also got to learn the basics of Portuguese and Spanish
0.3880890333449538		SimpleArgument(I,List({38}))	Relation(also got to,List([40, 48), [49, 51)))	SimpleArgument(learn the basics of Spanish,List([52, 79)))	In this nine months thanks to courses and everyday interactions I also got to learn the basics of Portuguese and Spanish
0.3880890333449538	Context(I also got,List([38, 48)))	SimpleArgument(I,List({38}))	Relation(also got to learn,List([40, 48), [49, 57)))	SimpleArgument(the basics of Portuguese,List([58, 82)))	In this nine months thanks to courses and everyday interactions I also got to learn the basics of Portuguese and Spanish
0.3880890333449538		SimpleArgument(I,List({38}))	Relation(also got to,List([40, 48), [49, 51)))	SimpleArgument(learn the basics of Portuguese,List([52, 82)))	In this nine months thanks to courses and everyday interactions I also got to learn the basics of Portuguese and Spanish
