0.38089450366724514		SimpleArgument(Development,List([65, 76)))	Relation([is] Professional [of],List([52, 64)))	SimpleArgument(Impact Community Engagement,List([22, 50)))	Academics  Research & Impact  Community Engagement  Professional Development  About  Giving
0.9297785003482005		SimpleArgument(Johnson,List([0, 7)))	Relation(has,List([8, 11)))	SimpleArgument(their impact on academic achievement of students of particularly African - American,List([12, 95)))	Johnson has ongoing research interests in school and classroom effects and their impact on academic achievement of students of color, particularly African-American and Hispanic, and the relationship of those effects to academic sense of futility or feelings of hopelessness and academic achievement.
0.8919658476537646		SimpleArgument(Johnson,List([0, 7)))	Relation(has,List([8, 11)))	SimpleArgument(their impact on academic achievement of students of color,List([12, 69)))	Johnson has ongoing research interests in school and classroom effects and their impact on academic achievement of students of color, particularly African-American and Hispanic, and the relationship of those effects to academic sense of futility or feelings of hopelessness and academic achievement.
0.9383119524695255		SimpleArgument(Johnson,List([0, 7)))	Relation(has,List([8, 11)))	SimpleArgument(ongoing research interests in classroom effects,List([12, 59)))	Johnson has ongoing research interests in school and classroom effects and their impact on academic achievement of students of color, particularly African-American and Hispanic, and the relationship of those effects to academic sense of futility or feelings of hopelessness and academic achievement.
0.9383119524695255		SimpleArgument(Johnson,List([0, 7)))	Relation(has,List([8, 11)))	SimpleArgument(ongoing research interests in school effects,List([12, 56)))	Johnson has ongoing research interests in school and classroom effects and their impact on academic achievement of students of color, particularly African-American and Hispanic, and the relationship of those effects to academic sense of futility or feelings of hopelessness and academic achievement.
0.7050355028445897		SimpleArgument(Her research,List([0, 12)))	Relation(includes,List([18, 26)))	SimpleArgument(the effects of parent involvement in African - Hispanic children 's education,List([27, 104)))	Her research also includes the effects of parent involvement in African-American and Hispanic children's education.
0.7050355028445897		SimpleArgument(Her research,List([0, 12)))	Relation(includes,List([18, 26)))	SimpleArgument(the effects of parent involvement in African - American children 's education,List([27, 104)))	Her research also includes the effects of parent involvement in African-American and Hispanic children's education.
0.3498441627223176		SimpleArgument(She,List([0, 3)))	Relation(received her M.S. in,List([4, 12), [13, 21), [22, 24)))	SpatialArgument(her Ph.D. in urban education from University of Wisconsin-Milwaukee,List([25, 92)))	She received her M.S. in curriculum and instruction and her Ph.D. in urban education from University of Wisconsin-Milwaukee.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(received her M.S. in,List([4, 12), [13, 21), [22, 24)))	SpatialArgument(instruction,List([25, 36)))	She received her M.S. in curriculum and instruction and her Ph.D. in urban education from University of Wisconsin-Milwaukee.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(received her M.S. in,List([4, 12), [13, 21), [22, 24)))	SpatialArgument(curriculum,List([25, 35)))	She received her M.S. in curriculum and instruction and her Ph.D. in urban education from University of Wisconsin-Milwaukee.
0.30899953469486874		SimpleArgument(She,List([0, 3)))	Relation(received,List([4, 12)))	SimpleArgument(her M.S.,List([13, 21)))	She received her M.S. in curriculum and instruction and her Ph.D. in urban education from University of Wisconsin-Milwaukee.
0.9990000128746033		SimpleArgument(Academics Research & Impact Community Engagement Professional Development,List([0, 0)))	Relation(Giving,List([0, 0)))	SimpleArgument(2016 university,List(null))	Academics Research & Impact Community Engagement Professional Development About Giving ©2016 University of Wisconsin-Milwaukee
0.38089450366724514		SimpleArgument(Development,List([62, 73)))	Relation([is] Professional [of],List([49, 61)))	SimpleArgument(Impact Community Engagement,List([21, 48)))	Academics Research & Impact Community Engagement Professional Development About Giving ©2016 University of Wisconsin-Milwaukee
0.933175493637304		SimpleArgument(Academics Research & Impact Community Engagement Professional Development,List([0, 73)))	Relation(About Giving,List([74, 86)))	SimpleArgument(©2016 University of Wisconsin-Milwaukee,List([87, 126)))	Academics Research & Impact Community Engagement Professional Development About Giving ©2016 University of Wisconsin-Milwaukee
