0.9604413350949441		SimpleArgument(a 501(c)(3) nonprofit organization,List([16, 50)))	Relation(headquartered in,List([51, 64), [65, 67)))	SpatialArgument(Montclair,List([68, 77)))	Seed Artists is a 501(c)(3) nonprofit organization headquartered in Montclair, New Jersey.
0.9095898951092806		SimpleArgument(Mr. akLaff,List([25, 35)))	Relation(produced musical performances in community gardens In,List([0, 2), [36, 78), [79, 86)))	TemporalArgument(its first few years,List([3, 22)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9266232318014763		SimpleArgument(Mr. akLaff,List([25, 35)))	Relation(produced,List([36, 44)))	SimpleArgument(musical performances in community gardens,List([45, 86)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9095898951092806		SimpleArgument(Mr. akLaff,List([25, 35)))	Relation(produced musical performances in hospices In,List([0, 2), [36, 68), [69, 77)))	TemporalArgument(its first few years,List([3, 22)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9266232318014763		SimpleArgument(Mr. akLaff,List([25, 35)))	Relation(produced,List([36, 44)))	SimpleArgument(musical performances in hospices,List([45, 77)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9095898951092806		SimpleArgument(Mr. akLaff,List([25, 35)))	Relation(produced musical performances in nursing homes In,List([0, 2), [36, 76), [77, 82)))	TemporalArgument(its first few years,List([3, 22)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9266232318014763		SimpleArgument(Mr. akLaff,List([25, 35)))	Relation(produced,List([36, 44)))	SimpleArgument(musical performances in nursing homes,List([45, 82)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9180804252893389		SimpleArgument(musical performances,List([45, 65)))	Relation(sponsored a workshop at,List([66, 75), [76, 86), [87, 89)))	SpatialArgument(a women 's shelter in Brooklyn,List([90, 120)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9030401971054747		SimpleArgument(musical performances,List([45, 65)))	Relation(sponsored,List([66, 75)))	SimpleArgument(a workshop,List([76, 86)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9095898951092806		SimpleArgument(Mr. akLaff,List([25, 35)))	Relation(produced musical performances sponsored a workshop at a women 's shelter in Brooklyn In,List([0, 2), [36, 111), [112, 120)))	TemporalArgument(its first few years,List([3, 22)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9605824069728295		SimpleArgument(Mr. akLaff,List([25, 35)))	Relation(produced,List([36, 44)))	SimpleArgument(musical performances sponsored a workshop at a women 's shelter in Brooklyn,List([45, 120)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9030401971054747		SimpleArgument(musical performances,List([45, 65)))	Relation(directed its performance at,List([66, 74), [75, 90), [91, 93)))	SimpleArgument(a retirement home,List([94, 111)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.8348583869532935		SimpleArgument(musical performances,List([45, 65)))	Relation(directed,List([66, 74)))	SimpleArgument(its performance,List([75, 90)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.9095898951092806		SimpleArgument(Mr. akLaff,List([25, 35)))	Relation(produced musical performances directed its performance at a retirement home In,List([0, 2), [36, 106), [107, 111)))	TemporalArgument(its first few years,List([3, 22)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.8726869446304376		SimpleArgument(Mr. akLaff,List([25, 35)))	Relation(produced,List([36, 44)))	SimpleArgument(musical performances directed its performance at a retirement home,List([45, 111)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.8245836932748777		SimpleArgument(Mr.,List([25, 28)))	Relation(mentored a high - school chorus In,List([0, 2), [29, 53), [54, 60)))	TemporalArgument(its first few years,List([3, 22)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.8550806581371961		SimpleArgument(Mr.,List([25, 28)))	Relation(mentored,List([29, 37)))	SimpleArgument(a high - school chorus,List([38, 60)))	In its first few years, Mr. akLaff produced musical performances in nursing homes, hospices and community gardens; mentored middle-school music students; mentored a high-school chorus and directed its performance at a retirement home; and sponsored a workshop at a women's shelter in Brooklyn.
0.5222094630377523		SimpleArgument(It,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a true grassroots,List([7, 24)))	It was a true grassroots, DIY project.
0.3853208301752743		SimpleArgument(Seed co-founder Luz Marina Bueno,List([50, 82)))	Relation([is] wife [of],List([44, 48)))	SimpleArgument(him,List([40, 43)))	Pheeroan-Reggie1In 2010, Mr. akLaff and his wife, Seed co-founder Luz Marina Bueno, moved to Montclair.
0.7646825273976782		SimpleArgument(Mr. akLaff and his wife,List([25, 48)))	Relation(moved to,List([84, 89), [90, 92)))	SimpleArgument(Montclair,List([93, 102)))	Pheeroan-Reggie1In 2010, Mr. akLaff and his wife, Seed co-founder Luz Marina Bueno, moved to Montclair.
0.9439070193972718		SimpleArgument(Seed,List([102, 106)))	Relation(was initially dormant Between,List([0, 7), [107, 120), [121, 128)))	TemporalArgument(the acclimation,List([8, 23)))	Between the acclimation, his touring and recording, and a weekly teaching gig at Wesleyan University, Seed was initially dormant.
0.8428211120858269		SimpleArgument(Seed,List([102, 106)))	Relation(was,List([107, 110)))	SimpleArgument(initially dormant,List([111, 128)))	Between the acclimation, his touring and recording, and a weekly teaching gig at Wesleyan University, Seed was initially dormant.
0.9606193513644111		SimpleArgument(Montclair,List([4, 13)))	Relation(is,List([14, 16)))	SimpleArgument(home to a uniquely large number of the finest creative musicians,List([17, 81)))	But Montclair is a cultural hub and home to a uniquely large number of the finest creative musicians.
0.9606193513644111		SimpleArgument(Montclair,List([4, 13)))	Relation(is,List([14, 16)))	SimpleArgument(a cultural hub to a uniquely large number of the finest creative musicians,List([17, 91)))	But Montclair is a cultural hub and home to a uniquely large number of the finest creative musicians.
0.32503649947040364	Context(A plans,List([0, 18)))	SimpleArgument(A,List({0}))	Relation(plans to revitalize,List([13, 18), [19, 32)))	SimpleArgument(Seed,List([33, 37)))	A chance meeting at a yard sale with Board member Chris Napierala led to conversations about these issues, and eventually plans to revitalize Seed.
0.20128208432637118		SimpleArgument(A,List({0}))	Relation(plans to revitalize Seed,List([13, 18), [19, 37)))	TemporalArgument(eventually,List([2, 12)))	A chance meeting at a yard sale with Board member Chris Napierala led to conversations about these issues, and eventually plans to revitalize Seed.
0.32503649947040364		SimpleArgument(A,List({0}))	Relation(plans to,List([13, 18), [19, 21)))	SimpleArgument(revitalize Seed,List([22, 37)))	A chance meeting at a yard sale with Board member Chris Napierala led to conversations about these issues, and eventually plans to revitalize Seed.
0.9707521769981683		SimpleArgument(A chance meeting at a yard sale with Board member Chris Napierala,List([0, 65)))	Relation(led to,List([66, 69), [70, 72)))	SimpleArgument(conversations about these issues,List([73, 105)))	A chance meeting at a yard sale with Board member Chris Napierala led to conversations about these issues, and eventually plans to revitalize Seed.
0.9267899601589662		SimpleArgument(like-minded community members,List([92, 121)))	Relation(reformed,List([127, 135)))	SimpleArgument(the Board,List([136, 145)))	flier-kampo_aThe 50th anniversary of the death of Eric Dolphy became a rallying point among like-minded community members, who reformed the Board.
0.9678801306991207		SimpleArgument(flier-kampo_aThe 50th anniversary of the death of Eric Dolphy,List([0, 61)))	Relation(became,List([62, 68)))	SimpleArgument(a rallying point among like-minded community members,List([69, 121)))	flier-kampo_aThe 50th anniversary of the death of Eric Dolphy became a rallying point among like-minded community members, who reformed the Board.
0.9197759696552441		SimpleArgument(Seed,List([34, 38)))	Relation(is planting,List([39, 50)))	SimpleArgument(new roots,List([51, 60)))	With a major Dolphy celebration and the launch of the Freedom of Sound series as its coming-out party, Seed is planting new roots.
0.5668014134554162		SimpleArgument(This,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(the first step , a significant one , towards a major contribution to a more engaged community,List([8, 101)))	This is the first step, a significant one, towards a major contribution to the arts, arts education, and a more engaged community.
0.5668014134554162		SimpleArgument(This,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(the first step , a significant one , towards a major contribution to arts education,List([8, 91)))	This is the first step, a significant one, towards a major contribution to the arts, arts education, and a more engaged community.
0.5668014134554162		SimpleArgument(This,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(the first step , a significant one , towards a major contribution to the arts,List([8, 85)))	This is the first step, a significant one, towards a major contribution to the arts, arts education, and a more engaged community.
