0.9314904193639496		SimpleArgument(a portrait photography business,List([25, 56)))	Relation(based in,List([57, 62), [63, 65)))	SpatialArgument(Binghamton New York,List([66, 85)))	Rene Diaz photography is a wedding and portrait photography business based in Binghamton New York.
0.2560951955542683		SimpleArgument(I,List({51}))	Relation(decided to,List([53, 60), [61, 63)))	SimpleArgument(move my love for photography to another level,List([64, 109)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.2560951955542683	Context(I decided,List([51, 60)))	SimpleArgument(I,List({51}))	Relation(decided to start,List([53, 60), [61, 69)))	SimpleArgument(my business,List([70, 81)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.2560951955542683		SimpleArgument(I,List({51}))	Relation(decided to,List([53, 60), [61, 63)))	SimpleArgument(start my business,List([64, 81)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.22506131975927415		SimpleArgument(We,List([0, 2)))	Relation(moved to Chenango Bridge New York in,List([3, 8), [9, 36), [37, 39)))	TemporalArgument(1997,List([40, 44)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(moved to,List([3, 8), [9, 11)))	SimpleArgument(Chenango Bridge New York,List([12, 36)))	We moved to Chenango Bridge New York in 1997 where I decided to start my business and move my love for photography to another level.
0.27151678565896326		SimpleArgument(I,List({0}))	Relation(are,List([2, 5)))	SimpleArgument(passionate about our love,List([11, 36)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.20279309649292268		SimpleArgument(I,List({0}))	Relation(to capture,List([49, 59)))	SimpleArgument(those memorable moments that make every wedding so unique,List([60, 117)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.27151678565896326		SimpleArgument(I,List({0}))	Relation(are,List([2, 5)))	SimpleArgument(passionate about our photography work,List([11, 48)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.4437344651280961		SimpleArgument(My wife,List([0, 7)))	Relation(are,List([8, 11)))	SimpleArgument(passionate about our love,List([17, 42)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.896604430840561		SimpleArgument(those memorable moments,List([66, 89)))	Relation(make,List([95, 99)))	SimpleArgument(every wedding so unique,List([100, 123)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.35251400184099996		SimpleArgument(My wife,List([0, 7)))	Relation(to capture,List([55, 65)))	SimpleArgument(those memorable moments that make every wedding so unique,List([66, 123)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
0.4437344651280961		SimpleArgument(My wife,List([0, 7)))	Relation(are,List([8, 11)))	SimpleArgument(passionate about our photography work,List([17, 54)))	My wife and I are both passionate about our photography work and love to capture those memorable moments that make every wedding so unique.
