0.5		SimpleArgument(New Levels ( RNL ),List([6, 24)))	Relation([is] a company [of],List([41, 48)))	SimpleArgument(consultancy,List([29, 40)))	Reach New Levels (RNL), a training and consultancy company, is based in Johannesburg, South Africa.
0.9183570633264637		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , PAs Managers , in the East,List([0, 79)))	Relation(to enhance,List([80, 90)))	SimpleArgument(their careers,List([91, 104)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9495310605407338		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , PAs Managers , in Africa,List([0, 77)))	Relation(to enhance their careers by,List([78, 88), [89, 102), [103, 105)))	SimpleArgument(doing continuous striving,List([106, 131)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9495310605407338		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , PAs Managers , in Africa,List([0, 77)))	Relation(to enhance their careers by,List([78, 88), [89, 102), [103, 105)))	SimpleArgument(doing continuous learning,List([106, 131)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9108126755952736		SimpleArgument(Switchboard , Receptionists , Clerks , Secretaries , PAs Managers , in Africa,List([0, 77)))	Relation(to enhance,List([78, 88)))	SimpleArgument(their careers,List([89, 102)))	Switchboard, Receptionists, Clerks, Secretaries, PAs and Office Managers, in Africa and the East to enhance their careers by doing continuous learning and striving to be professional.
0.9105129651916236		SimpleArgument(Reach,List([0, 5)))	Relation(is managed by,List([6, 16), [17, 19)))	SimpleArgument(Dawn Williams,List([20, 33)))	Reach New Levels is a sole proprietorship and is managed by Dawn Williams.
0.9485955390117107		SimpleArgument(Reach New Levels,List([0, 16)))	Relation(is,List([17, 19)))	SimpleArgument(a sole proprietorship,List([20, 41)))	Reach New Levels is a sole proprietorship and is managed by Dawn Williams.
0.9256263201643982		SimpleArgument(the experience behind the name,List([35, 65)))	Relation(is from,List([66, 68), [69, 73)))	SimpleArgument(many years of training in the administrative industry,List([74, 127)))	Although RNL is a new initiative, the experience behind the name is from many years of working and training in the secretarial and administrative industry and liaising with the top Administrative Professionals in South Africa.
0.9256263201643982		SimpleArgument(the experience behind the name,List([35, 65)))	Relation(is from,List([66, 68), [69, 73)))	SimpleArgument(many years of training in the secretarial industry,List([74, 124)))	Although RNL is a new initiative, the experience behind the name is from many years of working and training in the secretarial and administrative industry and liaising with the top Administrative Professionals in South Africa.
0.960026968542485		SimpleArgument(the experience behind the name,List([35, 65)))	Relation(is from,List([66, 68), [69, 73)))	SimpleArgument(many years of liaising with the top Administrative Professionals in South Africa,List([74, 154)))	Although RNL is a new initiative, the experience behind the name is from many years of working and training in the secretarial and administrative industry and liaising with the top Administrative Professionals in South Africa.
0.9256263201643982		SimpleArgument(the experience behind the name,List([35, 65)))	Relation(is from,List([66, 68), [69, 73)))	SimpleArgument(many years of working,List([74, 95)))	Although RNL is a new initiative, the experience behind the name is from many years of working and training in the secretarial and administrative industry and liaising with the top Administrative Professionals in South Africa.
0.8867237254315935		SimpleArgument(RNL,List([9, 12)))	Relation(is,List([13, 15)))	SimpleArgument(a new initiative,List([16, 32)))	Although RNL is a new initiative, the experience behind the name is from many years of working and training in the secretarial and administrative industry and liaising with the top Administrative Professionals in South Africa.
0.7478385192013411	Context(RNL would like,List([0, 14)))	SimpleArgument(RNL,List([0, 3)))	Relation(would like to work in,List([4, 14), [15, 22), [60, 62)))	SpatialArgument(Companies,List([63, 72)))	RNL would like to take this experience and work with those Administrative Assistants in Companies who are aspiring to be professional.
0.6662879057763168	Context(RNL would like,List([0, 14)))	SimpleArgument(RNL,List([0, 3)))	Relation(would like to work with,List([4, 14), [15, 22), [23, 27)))	SimpleArgument(those Administrative Assistants,List([28, 59)))	RNL would like to take this experience and work with those Administrative Assistants in Companies who are aspiring to be professional.
0.6662879057763168		SimpleArgument(RNL,List([0, 3)))	Relation(would like to,List([4, 14), [15, 17)))	SimpleArgument(work with those Administrative Assistants in Companies,List([18, 72)))	RNL would like to take this experience and work with those Administrative Assistants in Companies who are aspiring to be professional.
0.715890048016155		SimpleArgument(Companies,List([63, 72)))	Relation(to be,List([90, 95)))	SimpleArgument(professional,List([96, 108)))	RNL would like to take this experience and work with those Administrative Assistants in Companies who are aspiring to be professional.
0.8195727266148489	Context(RNL would like,List([0, 14)))	SimpleArgument(RNL,List([0, 3)))	Relation(would like to take,List([4, 14), [15, 22)))	SimpleArgument(this experience,List([23, 38)))	RNL would like to take this experience and work with those Administrative Assistants in Companies who are aspiring to be professional.
0.8195727266148489		SimpleArgument(RNL,List([0, 3)))	Relation(would like to,List([4, 14), [15, 17)))	SimpleArgument(take this experience,List([18, 38)))	RNL would like to take this experience and work with those Administrative Assistants in Companies who are aspiring to be professional.
0.7340134500409752		SimpleArgument(RNL,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(flexible,List([7, 15)))	RNL is flexible and will travel to your company to do in-house training customised to your needs, saving you travel and accommodation costs for your delegates.
0.7323734373534755		SimpleArgument(the need,List([39, 47)))	Relation(arises,List([48, 54)))		Training can also be done online where the need arises.
0.8757405380863358		SimpleArgument(Training,List([0, 8)))	Relation(can also be done,List([9, 25)))	SpatialArgument(where the need arises,List([33, 54)))	Training can also be done online where the need arises.
0.7487987465728897		SimpleArgument(Training,List([0, 8)))	Relation(can also be done,List([9, 25)))	SpatialArgument(online,List([26, 32)))	Training can also be done online where the need arises.
0.8942434158739456		SimpleArgument(delegates,List([29, 38)))	Relation(to complete an assignment in,List([39, 50), [51, 64), [65, 67)))	SimpleArgument(order,List([68, 73)))	All online training requires delegates to complete an assignment in order to get a certificate of competence.
0.8942434158739456		SimpleArgument(delegates,List([29, 38)))	Relation(to complete,List([39, 50)))	SimpleArgument(an assignment,List([51, 64)))	All online training requires delegates to complete an assignment in order to get a certificate of competence.
0.9111779447320654		SimpleArgument(All online training,List([0, 19)))	Relation(requires delegates to,List([20, 28), [29, 38), [39, 41)))	SimpleArgument(complete an assignment in order,List([42, 73)))	All online training requires delegates to complete an assignment in order to get a certificate of competence.
0.9111779447320654		SimpleArgument(All online training,List([0, 19)))	Relation(requires,List([20, 28)))	SimpleArgument(delegates,List([29, 38)))	All online training requires delegates to complete an assignment in order to get a certificate of competence.
