0.9314904193639496		SimpleArgument(a broadcast media company,List([27, 52)))	Relation(based in,List([53, 58), [59, 61)))	SpatialArgument(Dallas,List([62, 68)))	Hoak Media Corporation was a broadcast media company based in Dallas, Texas.
0.41051436014453063		SimpleArgument(it,List([44, 46)))	Relation(owned,List([55, 60)))	SimpleArgument(stations in the markets,List([61, 84)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.7302627555570304		SimpleArgument(WMBB,List([2, 6)))	Relation(could not be sold to Gray as,List([15, 32), [33, 40), [41, 43)))	TemporalArgument(it already owned stations in the markets,List([44, 84)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.8571777395282005		SimpleArgument(WMBB,List([2, 6)))	Relation(could not be sold to,List([15, 32), [33, 35)))	SimpleArgument(Gray,List([36, 40)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.6341926298761225		SimpleArgument(KFQX,List([2, 6)))	Relation(affected,List([7, 15)))		On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.9449641892922798		SimpleArgument(Gray Television,List([24, 39)))	Relation(announced that it would purchase Parker Broadcasting , excluding its satellites On,List([0, 2), [40, 108), [109, 119)))	TemporalArgument(November 20,List([3, 14)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.8639439745606696		SimpleArgument(Gray Television,List([24, 39)))	Relation(announced that,List([40, 49), [50, 54)))	SimpleArgument(it would purchase Parker Broadcasting , excluding its satellites,List([55, 119)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.4328394458044063	Context(Gray Television announced,List([24, 49)))	SimpleArgument(it,List([55, 57)))	Relation(would purchase,List([58, 72)))	SimpleArgument(Parker Broadcasting,List([73, 92)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.9579464550706097		SimpleArgument(Gray Television,List([24, 39)))	Relation(announced that it would purchase Parker Broadcasting , excluding KREX On,List([0, 2), [40, 104), [105, 109)))	TemporalArgument(November 20,List([3, 14)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.8639439745606696		SimpleArgument(Gray Television,List([24, 39)))	Relation(announced that,List([40, 49), [50, 54)))	SimpleArgument(it would purchase Parker Broadcasting , excluding KREX,List([55, 109)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.9449641892922798		SimpleArgument(Gray Television,List([24, 39)))	Relation(announced that it would purchase Hoak Media , excluding its satellites On,List([0, 2), [40, 99), [100, 110)))	TemporalArgument(November 20,List([3, 14)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.8639439745606696		SimpleArgument(Gray Television,List([24, 39)))	Relation(announced that,List([40, 49), [50, 54)))	SimpleArgument(it would purchase Hoak Media , excluding its satellites,List([55, 110)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.4328394458044063	Context(Gray Television announced,List([24, 49)))	SimpleArgument(it,List([55, 57)))	Relation(would purchase,List([58, 72)))	SimpleArgument(Hoak Media,List([73, 83)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.9579464550706097		SimpleArgument(Gray Television,List([24, 39)))	Relation(announced that it would purchase Hoak Media , excluding KREX On,List([0, 2), [40, 95), [96, 100)))	TemporalArgument(November 20,List([3, 14)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.8639439745606696		SimpleArgument(Gray Television,List([24, 39)))	Relation(announced that,List([40, 49), [50, 54)))	SimpleArgument(it would purchase Hoak Media , excluding KREX,List([55, 100)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.6582659227599074		SimpleArgument(they,List([0, 4)))	Relation(would have been operated by,List([5, 29), [30, 32)))	SimpleArgument(Gray,List([33, 37)))	Some of Hoak's stations were originally going to be sold to Excalibur Broadcasting and they would have been operated by Gray under local marketing agreements.
0.9449486126097173		SimpleArgument(Some of Hoak 's stations,List([0, 24)))	Relation(to be sold to,List([47, 57), [58, 60)))	SimpleArgument(Excalibur Broadcasting,List([61, 83)))	Some of Hoak's stations were originally going to be sold to Excalibur Broadcasting and they would have been operated by Gray under local marketing agreements.
0.876543225140763		SimpleArgument(KFQX,List([96, 100)))	Relation(would be sold to,List([101, 114), [115, 117)))	SimpleArgument(Mission Broadcasting,List([118, 138)))	On December 19, it was announced that KREX and WMBB would be sold to Nexstar Broadcasting Group, while KFQX would be sold to Mission Broadcasting.
0.9180804252893389		SimpleArgument(The sale,List([0, 8)))	Relation(was completed on,List([9, 22), [23, 25)))	TemporalArgument(June 13, 2014,List([26, 39)))	The sale was completed on June 13, 2014.
0.9111779447320654		SimpleArgument(some stations unable,List([80, 100)))	Relation(to receive,List([101, 111)))	SimpleArgument(regulatory approval,List([112, 131)))	However, some stations were forced to go off the air and their programming was moved to a multicast stream on adjacent channels, due to some stations unable to receive regulatory approval, after FCC recent ruling on joint sales agreements.
0.5351405518802811		SimpleArgument(their programming,List([0, 17)))	Relation(was moved to a multicast stream on adjacent channels due,List([18, 27), [28, 70), [73, 76)))	SimpleArgument(to some stations unable to receive regulatory approval,List([77, 131)))	However, some stations were forced to go off the air and their programming was moved to a multicast stream on adjacent channels, due to some stations unable to receive regulatory approval, after FCC recent ruling on joint sales agreements.
0.6381012045821894		SimpleArgument(their programming,List([0, 17)))	Relation(was moved to,List([18, 27), [28, 30)))	SimpleArgument(a multicast stream on adjacent channels,List([31, 70)))	However, some stations were forced to go off the air and their programming was moved to a multicast stream on adjacent channels, due to some stations unable to receive regulatory approval, after FCC recent ruling on joint sales agreements.
0.8872966301155124		SimpleArgument(some stations,List([10, 23)))	Relation(to go off,List([36, 41), [42, 45)))	SimpleArgument(the air,List([46, 53)))	However, some stations were forced to go off the air and their programming was moved to a multicast stream on adjacent channels, due to some stations unable to receive regulatory approval, after FCC recent ruling on joint sales agreements.
0.9030401971054747		SimpleArgument(some stations,List([10, 23)))	Relation(were forced to,List([24, 35), [36, 38)))	SimpleArgument(go off the air,List([39, 53)))	However, some stations were forced to go off the air and their programming was moved to a multicast stream on adjacent channels, due to some stations unable to receive regulatory approval, after FCC recent ruling on joint sales agreements.
0.778530352305969		SimpleArgument(Those silent stations,List([0, 21)))	Relation(were sold off to minority interests,List([22, 26), [33, 41), [42, 63)))	TemporalArgument(later,List([27, 32)))	Those silent stations were later sold off to minority interests.
0.8700911866393585		SimpleArgument(Those silent stations,List([0, 21)))	Relation(were sold off to,List([22, 26), [33, 41), [42, 44)))	SimpleArgument(minority interests,List([45, 63)))	Those silent stations were later sold off to minority interests.
0.7652379312762729		SimpleArgument(Drewry Communications,List([114, 135)))	Relation(had operated KAUZ - TV since,List([144, 156), [157, 166), [197, 202)))	TemporalArgument(2009,List([203, 207)))	On August 10, 2015, Hoak announced it would sell its last remaining station, KAUZ-TV (which was not included in the sale of most of Hoak's other stations to Gray Television, and of which was originally going to be sold to KAUZ Media, Inc.), to American Spirit Media (a Charlotte, North Carolina-based company headed by Thomas B. Henson) and would be operated under a shared services agreement by Raycom Media as a result of that company's acquisition of Drewry Communications (which had operated KAUZ-TV under a joint sales agreement since 2009).
0.9277724913494431		SimpleArgument(Drewry Communications,List([114, 135)))	Relation(had operated,List([144, 156)))	SimpleArgument(KAUZ - TV,List([157, 166)))	On August 10, 2015, Hoak announced it would sell its last remaining station, KAUZ-TV (which was not included in the sale of most of Hoak's other stations to Gray Television, and of which was originally going to be sold to KAUZ Media, Inc.), to American Spirit Media (a Charlotte, North Carolina-based company headed by Thomas B. Henson) and would be operated under a shared services agreement by Raycom Media as a result of that company's acquisition of Drewry Communications (which had operated KAUZ-TV under a joint sales agreement since 2009).
0.2560951955542683	Context(Hoak announced,List([22, 36)))	SimpleArgument(it,List([37, 39)))	Relation(would sell,List([40, 50)))	SimpleArgument(its last remaining station,List([51, 77)))	On August 10, 2015, Hoak announced it would sell its last remaining station, KAUZ-TV (which was not included in the sale of most of Hoak's other stations to Gray Television, and of which was originally going to be sold to KAUZ Media, Inc.), to American Spirit Media (a Charlotte, North Carolina-based company headed by Thomas B. Henson) and would be operated under a shared services agreement by Raycom Media as a result of that company's acquisition of Drewry Communications (which had operated KAUZ-TV under a joint sales agreement since 2009).
0.9397170956800345		SimpleArgument(Hoak,List([22, 26)))	Relation(announced it would sell its last remaining station On,List([0, 2), [27, 69), [70, 77)))	TemporalArgument(August 10,List([3, 12)))	On August 10, 2015, Hoak announced it would sell its last remaining station, KAUZ-TV (which was not included in the sale of most of Hoak's other stations to Gray Television, and of which was originally going to be sold to KAUZ Media, Inc.), to American Spirit Media (a Charlotte, North Carolina-based company headed by Thomas B. Henson) and would be operated under a shared services agreement by Raycom Media as a result of that company's acquisition of Drewry Communications (which had operated KAUZ-TV under a joint sales agreement since 2009).
0.8273172415259126		SimpleArgument(Hoak,List([22, 26)))	Relation(announced,List([27, 36)))	SimpleArgument(it would sell its last remaining station,List([37, 77)))	On August 10, 2015, Hoak announced it would sell its last remaining station, KAUZ-TV (which was not included in the sale of most of Hoak's other stations to Gray Television, and of which was originally going to be sold to KAUZ Media, Inc.), to American Spirit Media (a Charlotte, North Carolina-based company headed by Thomas B. Henson) and would be operated under a shared services agreement by Raycom Media as a result of that company's acquisition of Drewry Communications (which had operated KAUZ-TV under a joint sales agreement since 2009).
0.9211169815454909		SimpleArgument(KAUZ - TV,List([80, 89)))	Relation(was not included in,List([98, 114), [115, 117)))	SimpleArgument(the sale of most of Hoak 's other stations to Gray Television,List([118, 179)))	On August 10, 2015, Hoak announced it would sell its last remaining station, KAUZ-TV (which was not included in the sale of most of Hoak's other stations to Gray Television, and of which was originally going to be sold to KAUZ Media, Inc.), to American Spirit Media (a Charlotte, North Carolina-based company headed by Thomas B. Henson) and would be operated under a shared services agreement by Raycom Media as a result of that company's acquisition of Drewry Communications (which had operated KAUZ-TV under a joint sales agreement since 2009).
0.9180804252893389		SimpleArgument(The sale,List([0, 8)))	Relation(was completed on,List([9, 22), [23, 25)))	TemporalArgument(December 1,List([26, 36)))	The sale was completed on December 1, completing the disestablishment of Hoak.
