0.8704999223335219		SimpleArgument(Adam Ghassemi,List([0, 13)))	Relation(serves as the Director of the Tennessee Department of State,List([24, 30), [31, 83)))	TemporalArgument(currently,List([14, 23)))	Adam Ghassemi currently serves as the Director of Communications for Tennessee Secretary of State Tre Hargett and the Tennessee Department of State.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes content management , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Fantasy Sports , Division of Publications,List([14, 253)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes interactive marketing , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Gaming , Division of Publications,List([14, 248)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes interactive marketing , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Fantasy Sports , Division of Publications,List([14, 256)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes employee communications , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Gaming , Division of Publications,List([14, 250)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes employee communications , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Fantasy Sports , Division of Publications,List([14, 258)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes media relations , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Gaming , Division of Publications,List([14, 242)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes media relations , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Fantasy Sports , Division of Publications,List([14, 250)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes public affairs , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Archives,List([14, 216)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes public affairs , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of the Tennessee State Library,List([14, 235)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.8872966301155124		SimpleArgument(all communications,List([14, 32)))	Relation(includes,List([41, 49)))	SimpleArgument(public affairs,List([50, 64)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes public affairs , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections,List([14, 193)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes issues management , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Archives,List([14, 219)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes issues management , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of the Tennessee State Library,List([14, 238)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.8872966301155124		SimpleArgument(all communications,List([14, 32)))	Relation(includes,List([41, 49)))	SimpleArgument(issues management,List([50, 67)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes issues management , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections,List([14, 196)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes crisis communications , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Archives,List([14, 223)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes crisis communications , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of the Tennessee State Library,List([14, 242)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.8872966301155124		SimpleArgument(all communications,List([14, 32)))	Relation(includes,List([41, 49)))	SimpleArgument(crisis communications,List([50, 71)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes crisis communications , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections,List([14, 200)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes content management , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Archives,List([14, 220)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes content management , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of the Tennessee State Library,List([14, 239)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.8872966301155124		SimpleArgument(all communications,List([14, 32)))	Relation(includes,List([41, 49)))	SimpleArgument(content management,List([50, 68)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes content management , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections,List([14, 197)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes interactive marketing , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Archives,List([14, 223)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.8872966301155124		SimpleArgument(all communications,List([14, 32)))	Relation(includes,List([41, 49)))	SimpleArgument(interactive marketing,List([50, 71)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes interactive marketing , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of the Tennessee State Library,List([14, 242)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9382433616531214		SimpleArgument(all communications,List([14, 32)))	Relation(includes,List([41, 49)))	SimpleArgument(interactive marketing , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections,List([50, 200)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes interactive marketing , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Charitable Solicitations,List([14, 239)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes employee communications , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Archives,List([14, 225)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes employee communications , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of the Tennessee State Library,List([14, 244)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.8872966301155124		SimpleArgument(all communications,List([14, 32)))	Relation(includes,List([41, 49)))	SimpleArgument(employee communications,List([50, 73)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes employee communications , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections,List([14, 202)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes media relations , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of Archives,List([14, 217)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes media relations , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections , Division of the Tennessee State Library,List([14, 236)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.8872966301155124		SimpleArgument(all communications,List([14, 32)))	Relation(includes,List([41, 49)))	SimpleArgument(media relations,List([50, 65)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.9567562066335041		SimpleArgument(Adam,List([0, 4)))	Relation(oversees,List([5, 13)))	SimpleArgument(all communications , which includes media relations , for multiple state agencies within the Department of State including the Division of Business Services , Division of Elections,List([14, 194)))	Adam oversees all communications, which includes media relations, employee communications, interactive marketing, content management, crisis communications, issues management and public affairs, for multiple state agencies within the Department of State including the Division of Business Services, Division of Elections, Division of Charitable Solicitations, Fantasy Sports and Gaming, Division of Publications, Division of Administrative Procedures as well as the Tennessee State Library and Archives.
0.7600770989182984		SimpleArgument(His communications experience,List([0, 29)))	Relation(includes,List([35, 43)))	SimpleArgument(more than a decade in broadcast journalism as a television anchor / reporter at stations throughout the United States , including KBJR - TV in Duluth , Minnesota , WALA - TV in Mobile,List([44, 227)))	His communications experience also includes more than a decade in broadcast journalism as a television anchor/reporter at stations throughout the United States, including KBJR-TV in Duluth, Minnesota, WALA-TV in Mobile, Alabama, KATU-TV in Portland, Oregon and WTVF-TV in Nashville, Tennessee.
0.9125462839307745		SimpleArgument(work in radio,List([56, 69)))	Relation(includes,List([75, 83)))	SimpleArgument(WHO-AM in Des Moines,List([84, 104)))	His communications career roots began in the 1990s with work in radio that includes WHO-AM in Des Moines, Iowa.
0.6814400456876439		SimpleArgument(His communications career roots,List([0, 31)))	Relation(began in,List([32, 37), [38, 40)))	SpatialArgument(the 1990s with work in radio,List([41, 69)))	His communications career roots began in the 1990s with work in radio that includes WHO-AM in Des Moines, Iowa.
0.39746064682094406	Context(He continues,List([0, 12)))	SimpleArgument(He,List([0, 2)))	Relation(continues to offer voice over work for,List([3, 12), [13, 21), [22, 37), [38, 41)))	SimpleArgument(clients across the globe,List([42, 66)))	He continues to offer voice over work for clients across the globe.
0.39746064682094406	Context(He continues,List([0, 12)))	SimpleArgument(He,List([0, 2)))	Relation(continues to offer,List([3, 12), [13, 21)))	SimpleArgument(voice over work,List([22, 37)))	He continues to offer voice over work for clients across the globe.
0.39746064682094406		SimpleArgument(He,List([0, 2)))	Relation(continues to,List([3, 12), [13, 15)))	SimpleArgument(offer voice over work for clients across the globe,List([16, 66)))	He continues to offer voice over work for clients across the globe.
0.9000738595917936		SimpleArgument(Adam,List([0, 4)))	Relation(earned a Bachelor of Arts from,List([5, 11), [12, 30), [83, 87)))	SimpleArgument(Drake University in Des Moines,List([88, 118)))	Adam earned a Bachelor of Arts in journalism and mass communication and a Bachelor of Science in business administration from Drake University in Des Moines, Iowa.
0.9324144673478683		SimpleArgument(Adam,List([0, 4)))	Relation(earned a Bachelor of Arts in,List([5, 11), [12, 30), [31, 33)))	SpatialArgument(a Bachelor of Science,List([34, 55)))	Adam earned a Bachelor of Arts in journalism and mass communication and a Bachelor of Science in business administration from Drake University in Des Moines, Iowa.
0.9197759696552441		SimpleArgument(Adam,List([0, 4)))	Relation(earned a Bachelor of Arts in,List([5, 11), [12, 30), [31, 33)))	TemporalArgument(communication,List([34, 47)))	Adam earned a Bachelor of Arts in journalism and mass communication and a Bachelor of Science in business administration from Drake University in Des Moines, Iowa.
0.9197759696552441		SimpleArgument(Adam,List([0, 4)))	Relation(earned a Bachelor of Arts in,List([5, 11), [12, 30), [31, 33)))	SpatialArgument(mass,List([34, 38)))	Adam earned a Bachelor of Arts in journalism and mass communication and a Bachelor of Science in business administration from Drake University in Des Moines, Iowa.
0.9197759696552441		SimpleArgument(Adam,List([0, 4)))	Relation(earned a Bachelor of Arts in,List([5, 11), [12, 30), [31, 33)))	TemporalArgument(journalism,List([34, 44)))	Adam earned a Bachelor of Arts in journalism and mass communication and a Bachelor of Science in business administration from Drake University in Des Moines, Iowa.
0.9324144673478683		SimpleArgument(Adam,List([0, 4)))	Relation(earned,List([5, 11)))	SimpleArgument(a Bachelor of Arts,List([12, 30)))	Adam earned a Bachelor of Arts in journalism and mass communication and a Bachelor of Science in business administration from Drake University in Des Moines, Iowa.
0.2724783810037946		SimpleArgument(He,List([0, 2)))	Relation(is pursuing an MBA from the Fogelman College of Economics at the University of Memphis,List([3, 5), [16, 24), [25, 99)))	TemporalArgument(currently,List([6, 15)))	He is currently pursuing an MBA from the Fogelman College of Business and Economics at the University of Memphis.
0.50931417287027		SimpleArgument(He,List([0, 2)))	Relation(is pursuing,List([3, 5), [16, 24)))	SimpleArgument(an MBA from the Fogelman College of Economics at the University of Memphis,List([25, 99)))	He is currently pursuing an MBA from the Fogelman College of Business and Economics at the University of Memphis.
0.2724783810037946		SimpleArgument(He,List([0, 2)))	Relation(is pursuing an MBA from the Fogelman College of Business at the University of Memphis,List([3, 5), [16, 24), [25, 98)))	TemporalArgument(currently,List([6, 15)))	He is currently pursuing an MBA from the Fogelman College of Business and Economics at the University of Memphis.
0.50931417287027		SimpleArgument(He,List([0, 2)))	Relation(is pursuing,List([3, 5), [16, 24)))	SimpleArgument(an MBA from the Fogelman College of Business at the University of Memphis,List([25, 98)))	He is currently pursuing an MBA from the Fogelman College of Business and Economics at the University of Memphis.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(serves as a Hendersonville Crime Stoppers Partnership board member,List([13, 19), [20, 79)))	TemporalArgument(currently,List([3, 12)))	He is a graduate of the Leadership Middle Tennessee class of 2015 and currently serves as a Hendersonville Crime Stoppers Partnership board member.
