0.9449993708870406		SimpleArgument(Paul-René Albertini,List([0, 19)))	Relation(is,List([27, 29)))	SimpleArgument(a global music industry executive,List([30, 63)))	Paul-René Albertini (1964) is a global music industry executive.
0.3880890333449538		SimpleArgument(he,List([121, 123)))	Relation(oversaw,List([124, 131)))	SimpleArgument(numerous licensees,List([132, 150)))	In 2000, Albertini joined Warner Music Group as President of Warner Music Europe and in September 2002 was appointed President of Warner Music International where, from the London headquarters, he oversaw the company's 37 affiliates and numerous licensees throughout the world.
0.9990000128746033		SimpleArgument(he,List([0, 0)))	Relation(oversaw,List([0, 0)))	SimpleArgument(37 affiliates,List(null))	In 2000, Albertini joined Warner Music Group as President of Warner Music Europe and in September 2002 was appointed President of Warner Music International where, from the London headquarters, he oversaw the company's 37 affiliates and numerous licensees throughout the world.
0.8203663862060957	Context(he oversaw,List([121, 131)))	SimpleArgument(Albertini,List([10, 19)))	Relation(joined Warner Music Group In,List([0, 2), [20, 39), [40, 45)))	TemporalArgument(2000,List([3, 7)))	In 2000, Albertini joined Warner Music Group as President of Warner Music Europe and in September 2002 was appointed President of Warner Music International where, from the London headquarters, he oversaw the company's 37 affiliates and numerous licensees throughout the world.
0.9139478779591064	Context(he oversaw,List([121, 131)))	SimpleArgument(Albertini,List([10, 19)))	Relation(joined Warner Music Group as,List([20, 26), [27, 45), [46, 48)))	SimpleArgument(President of Warner Music Europe,List([49, 81)))	In 2000, Albertini joined Warner Music Group as President of Warner Music Europe and in September 2002 was appointed President of Warner Music International where, from the London headquarters, he oversaw the company's 37 affiliates and numerous licensees throughout the world.
0.9139478779591064	Context(he oversaw,List([121, 131)))	SimpleArgument(Albertini,List([10, 19)))	Relation(joined,List([20, 26)))	SimpleArgument(Warner Music Group,List([27, 45)))	In 2000, Albertini joined Warner Music Group as President of Warner Music Europe and in September 2002 was appointed President of Warner Music International where, from the London headquarters, he oversaw the company's 37 affiliates and numerous licensees throughout the world.
0.3880890333449538		SimpleArgument(he,List([121, 123)))	Relation(oversaw,List([124, 131)))	SimpleArgument(the company 's 37 affiliates,List([132, 160)))	In 2000, Albertini joined Warner Music Group as President of Warner Music Europe and in September 2002 was appointed President of Warner Music International where, from the London headquarters, he oversaw the company's 37 affiliates and numerous licensees throughout the world.
0.4978219019954182		SimpleArgument(he,List([10, 12)))	Relation(continued in,List([13, 22), [23, 25)))	SpatialArgument(this role with the title of Warner Music International,List([26, 80)))	From 2004 he continued in this role with the title of Chairman and CEO, Warner Music International and was a Director of Warner Music Group which was listed at the NYSE in 2005.
0.45170382506656653		SimpleArgument(he,List([10, 12)))	Relation(continued in,List([13, 22), [23, 25)))	SpatialArgument(this role with the title of CEO,List([26, 57)))	From 2004 he continued in this role with the title of Chairman and CEO, Warner Music International and was a Director of Warner Music Group which was listed at the NYSE in 2005.
0.29886655727758943		SimpleArgument(he,List([10, 12)))	Relation(continued From,List([0, 4), [13, 22)))	TemporalArgument(2004,List([5, 9)))	From 2004 he continued in this role with the title of Chairman and CEO, Warner Music International and was a Director of Warner Music Group which was listed at the NYSE in 2005.
0.4978219019954182		SimpleArgument(he,List([10, 12)))	Relation(continued in,List([13, 22), [23, 25)))	SpatialArgument(this role with the title of Chairman,List([26, 62)))	From 2004 he continued in this role with the title of Chairman and CEO, Warner Music International and was a Director of Warner Music Group which was listed at the NYSE in 2005.
0.38089450366724514		SimpleArgument(he,List([10, 12)))	Relation(was a Director of,List([13, 30)))	SimpleArgument(Warner Music Group,List([31, 49)))	From 2004 he continued in this role with the title of Chairman and CEO, Warner Music International and was a Director of Warner Music Group which was listed at the NYSE in 2005.
0.8470692910769746		SimpleArgument(a Director of Warner Music Group,List([17, 49)))	Relation(was listed at the NYSE in,List([56, 66), [67, 78), [79, 81)))	TemporalArgument(2005,List([82, 86)))	From 2004 he continued in this role with the title of Chairman and CEO, Warner Music International and was a Director of Warner Music Group which was listed at the NYSE in 2005.
0.9497646913932042		SimpleArgument(a Director of Warner Music Group,List([17, 49)))	Relation(was listed at,List([56, 66), [67, 69)))	SimpleArgument(the NYSE,List([70, 78)))	From 2004 he continued in this role with the title of Chairman and CEO, Warner Music International and was a Director of Warner Music Group which was listed at the NYSE in 2005.
0.29886655727758943		SimpleArgument(he,List([10, 12)))	Relation(was a Director of Warner Music Group From,List([0, 4), [13, 43), [44, 49)))	TemporalArgument(2004,List([5, 9)))	From 2004 he continued in this role with the title of Chairman and CEO, Warner Music International and was a Director of Warner Music Group which was listed at the NYSE in 2005.
0.5680679595514976		SimpleArgument(he,List([10, 12)))	Relation(was,List([13, 16)))	SimpleArgument(a Director of Warner Music Group,List([17, 49)))	From 2004 he continued in this role with the title of Chairman and CEO, Warner Music International and was a Director of Warner Music Group which was listed at the NYSE in 2005.
0.9314904193639496		SimpleArgument(an international consulting practice,List([56, 92)))	Relation(providing services to,List([93, 102), [103, 111), [112, 114)))	SimpleArgument(music industry and private equity companies in Japan,List([115, 167)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9314904193639496		SimpleArgument(an international consulting practice,List([56, 92)))	Relation(providing services to,List([93, 102), [103, 111), [112, 114)))	SimpleArgument(music industry and private equity companies in Germany,List([115, 169)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9314904193639496		SimpleArgument(an international consulting practice,List([56, 92)))	Relation(providing services to,List([93, 102), [103, 111), [112, 114)))	SimpleArgument(music industry and private equity companies in the UK,List([115, 168)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.8780037064600699		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up an international consulting practice providing services in,List([29, 52), [53, 102), [103, 111)))	TemporalArgument(2007,List([32, 36)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9302377314598891		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up an international consulting practice providing services After,List([0, 52), [53, 102), [103, 111)))	TemporalArgument(he left Warner Music,List([6, 26)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9329286852051247		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up,List([49, 55)))	SimpleArgument(an international consulting practice providing services,List([56, 111)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9314904193639496		SimpleArgument(an international consulting practice,List([56, 92)))	Relation(providing services to,List([93, 102), [103, 111), [112, 114)))	SimpleArgument(the and private equity companies in Japan,List([115, 156)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.8780037064600699		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up an international consulting practice providing services to the and private equity companies in Japan in,List([29, 52), [53, 150), [151, 156)))	TemporalArgument(2007,List([32, 36)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9302377314598891		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up an international consulting practice providing services to the and private equity companies in Japan After,List([0, 52), [53, 150), [151, 156)))	TemporalArgument(he left Warner Music,List([6, 26)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9640827750857294		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up,List([49, 55)))	SimpleArgument(an international consulting practice providing services to the and private equity companies in Japan,List([56, 156)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9314904193639496		SimpleArgument(an international consulting practice,List([56, 92)))	Relation(providing services to,List([93, 102), [103, 111), [112, 114)))	SimpleArgument(the and private equity companies in Germany,List([115, 158)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.8780037064600699		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up an international consulting practice providing services to the and private equity companies in Germany in,List([29, 52), [53, 150), [151, 158)))	TemporalArgument(2007,List([32, 36)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9302377314598891		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up an international consulting practice providing services to the and private equity companies in Germany After,List([0, 52), [53, 150), [151, 158)))	TemporalArgument(he left Warner Music,List([6, 26)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9640827750857294		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up,List([49, 55)))	SimpleArgument(an international consulting practice providing services to the and private equity companies in Germany,List([56, 158)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9314904193639496		SimpleArgument(an international consulting practice,List([56, 92)))	Relation(providing services to,List([93, 102), [103, 111), [112, 114)))	SimpleArgument(the and private equity companies in the UK,List([115, 157)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9186941924198344		SimpleArgument(an international consulting practice,List([56, 92)))	Relation(providing,List([93, 102)))	SimpleArgument(services,List([103, 111)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.8780037064600699		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up an international consulting practice providing services to the and private equity companies in the UK in,List([29, 52), [53, 154), [155, 157)))	TemporalArgument(2007,List([32, 36)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9302377314598891		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up an international consulting practice providing services to the and private equity companies in the UK After,List([0, 52), [53, 154), [155, 157)))	TemporalArgument(he left Warner Music,List([6, 26)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.9640827750857294		SimpleArgument(Paul - Rene,List([37, 48)))	Relation(set up,List([49, 55)))	SimpleArgument(an international consulting practice providing services to the and private equity companies in the UK,List([56, 157)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.5680679595514976		SimpleArgument(he,List([6, 8)))	Relation(left,List([9, 13)))	SimpleArgument(Warner Music,List([14, 26)))	After he left Warner Music, in 2007 Paul-Rene set up an international consulting practice providing services to the music industry and private equity companies in the UK, Germany and Japan.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(oversaw,List([8, 15)))	SimpleArgument(the development of several digital platforms in the UK,List([16, 70)))	He also oversaw the development of several digital platforms in Japan and the UK via Square Media International and Sushi Venture Partners which launched StartupBootcamp Israel in 2012.
0.8056360478309452		SimpleArgument(Sushi Venture Partners,List([74, 96)))	Relation(launched StartupBootcamp Israel in,List([103, 111), [112, 134), [135, 137)))	TemporalArgument(2012,List([138, 142)))	He also oversaw the development of several digital platforms in Japan and the UK via Square Media International and Sushi Venture Partners which launched StartupBootcamp Israel in 2012.
0.9339862216393666		SimpleArgument(Sushi Venture Partners,List([74, 96)))	Relation(launched,List([103, 111)))	SimpleArgument(StartupBootcamp Israel,List([112, 134)))	He also oversaw the development of several digital platforms in Japan and the UK via Square Media International and Sushi Venture Partners which launched StartupBootcamp Israel in 2012.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(oversaw,List([8, 15)))	SimpleArgument(the development of several digital platforms in Japan,List([16, 69)))	He also oversaw the development of several digital platforms in Japan and the UK via Square Media International and Sushi Venture Partners which launched StartupBootcamp Israel in 2012.
0.5733539311623552		SimpleArgument(He,List([0, 2)))	Relation(oversaw,List([8, 15)))	SimpleArgument(the development of several digital platforms in Japan via Square Media International,List([16, 100)))	He also oversaw the development of several digital platforms in Japan and the UK via Square Media International and Sushi Venture Partners which launched StartupBootcamp Israel in 2012.
