0.9324144673478683		SimpleArgument(Maria,List([4, 9)))	Relation(was born in,List([10, 18), [19, 21)))	SpatialArgument(Stellenbosch,List([22, 34)))	CV: Maria was born in Stellenbosch, South Africa (1993).
0.3880890333449538	Context(she continued,List([52, 65)))	SimpleArgument(she,List([52, 55)))	Relation(continued studying,List([56, 65), [66, 74)))	SimpleArgument(the piano,List([75, 84)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.4328394458044063	Context(she continued,List([45, 58)))	SimpleArgument(she,List([45, 48)))	Relation(continued studying the piano under,List([49, 58), [59, 67), [68, 77), [78, 83)))	SpatialArgument(Henk Ekkel,List([84, 94)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.5318826144464953		SimpleArgument(she,List([45, 48)))	Relation(continued studying the piano under Henk Ekkel,List([49, 58), [59, 94)))	SpatialArgument(The Netherlands,List([21, 36)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.4328394458044063		SimpleArgument(she,List([45, 48)))	Relation(continued,List([49, 58)))	SimpleArgument(studying the piano under Henk Ekkel,List([59, 94)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.4328394458044063	Context(she continued,List([45, 58)))	SimpleArgument(she,List([45, 48)))	Relation(continued studying the piano under,List([49, 58), [59, 67), [68, 77), [78, 83)))	SpatialArgument(Ksenia Kouzmenko,List([84, 100)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.3880890333449538	Context(she continued,List([45, 58)))	SimpleArgument(she,List([45, 48)))	Relation(continued studying,List([49, 58), [59, 67)))	SimpleArgument(the piano,List([68, 77)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.5318826144464953		SimpleArgument(she,List([45, 48)))	Relation(continued studying the piano under Ksenia Kouzmenko,List([49, 58), [59, 100)))	SpatialArgument(The Netherlands,List([21, 36)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.4328394458044063		SimpleArgument(she,List([45, 48)))	Relation(continued,List([49, 58)))	SimpleArgument(studying the piano under Ksenia Kouzmenko,List([59, 100)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.4770711278220272		SimpleArgument(her family,List([8, 18)))	Relation(moved to The Netherlands In,List([0, 2), [19, 31), [32, 43)))	TemporalArgument(2008,List([3, 7)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.6796597830231682		SimpleArgument(her family,List([8, 18)))	Relation(moved to,List([19, 24), [25, 27)))	SimpleArgument(The Netherlands,List([28, 43)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.5961061943937731		SimpleArgument(she,List([45, 48)))	Relation(acquired a VWO ( A - levels ) diploma,List([49, 57), [58, 86)))	SpatialArgument(The Netherlands,List([21, 36)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.4978219019954182		SimpleArgument(she,List([45, 48)))	Relation(acquired,List([49, 57)))	SimpleArgument(a VWO ( A - levels ) diploma,List([58, 86)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.29886655727758943		SimpleArgument(she,List([8, 11)))	Relation(moved to The Netherlands In,List([0, 2), [12, 24), [25, 36)))	TemporalArgument(2008,List([3, 7)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.4978219019954182		SimpleArgument(she,List([8, 11)))	Relation(moved to,List([12, 17), [18, 20)))	SimpleArgument(The Netherlands,List([21, 36)))	In 2008 she and her family moved to The Netherlands, where she acquired a VWO (A-levels) diploma and continued studying the piano under Ksenia Kouzmenko and Henk Ekkel.
0.9644566551015289		SimpleArgument(an academy for young talents in The Netherlands,List([68, 115)))	Relation(founded by,List([116, 123), [124, 126)))	SimpleArgument(Erika Waardenburg,List([127, 144)))	In 2010 she was accepted at the Academy Muzikaal Talent in Utrecht, an academy for young talents in The Netherlands founded by Erika Waardenburg.
0.29886655727758943		SimpleArgument(she,List([8, 11)))	Relation(was accepted In,List([0, 15), [16, 24)))	TemporalArgument(2010,List([3, 7)))	In 2010 she was accepted at the Academy Muzikaal Talent in Utrecht, an academy for young talents in The Netherlands founded by Erika Waardenburg.
0.4978219019954182		SimpleArgument(she,List([8, 11)))	Relation(was accepted at,List([12, 24), [25, 27)))	SpatialArgument(the Academy Muzikaal Talent in Utrecht,List([28, 66)))	In 2010 she was accepted at the Academy Muzikaal Talent in Utrecht, an academy for young talents in The Netherlands founded by Erika Waardenburg.
0.8739651883033833	Context(Maria has played,List([25, 41)))	SimpleArgument(Maria,List([25, 30)))	Relation(has played the piano performing in,List([31, 41), [42, 45), [46, 51)))	SpatialArgument(De Doelen,List([124, 133)))	Besides her solo career, Maria has played the piano as orchestra instrument with the Amersfoort Jeugd Orkest, performing in De Doelen, Rotterdam.
0.8982330273114404		SimpleArgument(Maria,List([25, 30)))	Relation(has played,List([31, 41)))	SimpleArgument(the piano,List([42, 51)))	Besides her solo career, Maria has played the piano as orchestra instrument with the Amersfoort Jeugd Orkest, performing in De Doelen, Rotterdam.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(participated in,List([4, 16), [17, 19)))	SimpleArgument(piano masterclasses in The Netherlands,List([20, 58)))	She participated in chamber music festivals and piano masterclasses in South Africa, Austria, England and The Netherlands.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(participated in piano masterclasses in,List([4, 16), [17, 39), [40, 42)))	SpatialArgument(England,List([43, 50)))	She participated in chamber music festivals and piano masterclasses in South Africa, Austria, England and The Netherlands.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(participated in,List([4, 16), [17, 19)))	SimpleArgument(piano masterclasses,List([20, 39)))	She participated in chamber music festivals and piano masterclasses in South Africa, Austria, England and The Netherlands.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(participated in,List([4, 16), [17, 19)))	SimpleArgument(piano masterclasses in Austria,List([20, 50)))	She participated in chamber music festivals and piano masterclasses in South Africa, Austria, England and The Netherlands.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(participated in,List([4, 16), [17, 19)))	SimpleArgument(piano masterclasses in South Africa,List([20, 55)))	She participated in chamber music festivals and piano masterclasses in South Africa, Austria, England and The Netherlands.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(participated in,List([4, 16), [17, 19)))	SimpleArgument(chamber music festivals,List([20, 43)))	She participated in chamber music festivals and piano masterclasses in South Africa, Austria, England and The Netherlands.
0.9670538616899376		SimpleArgument(Maria,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(a Bachelor classical piano student of Martyn van den Hoek at the Conservatory of Utrecht,List([9, 97)))	Maria is a Bachelor classical piano student of Martyn van den Hoek at the Conservatory of Utrecht.
0.3018651855507195		SimpleArgument(she,List([10, 13)))	Relation(is studying,List([14, 25)))	TemporalArgument(Currently,List([0, 9)))	Currently she is studying at the Konservatorium Wien Privatuniversität as an Erasmus exchange student with Johannes Kropfitsch.
0.4978219019954182		SimpleArgument(she,List([10, 13)))	Relation(is studying at,List([14, 25), [26, 28)))	SpatialArgument(the Konservatorium Wien Privatuniversität,List([29, 70)))	Currently she is studying at the Konservatorium Wien Privatuniversität as an Erasmus exchange student with Johannes Kropfitsch.
0.29636580641816884	Context(She also started,List([0, 25)))	SimpleArgument(She,List([0, 3)))	Relation(also started taking lessons at,List([13, 25), [26, 32), [33, 40), [50, 52)))	TemporalArgument(the Konservatorium Wien,List([53, 76)))	She recently also started taking lessons in harpsichord, fortepiano and organ at the Konservatorium Wien.
0.25239008486941794		SimpleArgument(She,List([0, 3)))	Relation(also started taking lessons in organ at the Konservatorium Wien,List([13, 25), [26, 76)))	TemporalArgument(recently,List([4, 12)))	She recently also started taking lessons in harpsichord, fortepiano and organ at the Konservatorium Wien.
0.39213989408341976		SimpleArgument(She,List([0, 3)))	Relation(also started,List([13, 25)))	SimpleArgument(taking lessons in organ at the Konservatorium Wien,List([26, 76)))	She recently also started taking lessons in harpsichord, fortepiano and organ at the Konservatorium Wien.
0.25239008486941794		SimpleArgument(She,List([0, 3)))	Relation(also started taking lessons in fortepiano at the Konservatorium Wien,List([13, 25), [26, 81)))	TemporalArgument(recently,List([4, 12)))	She recently also started taking lessons in harpsichord, fortepiano and organ at the Konservatorium Wien.
0.39213989408341976		SimpleArgument(She,List([0, 3)))	Relation(also started,List([13, 25)))	SimpleArgument(taking lessons in fortepiano at the Konservatorium Wien,List([26, 81)))	She recently also started taking lessons in harpsichord, fortepiano and organ at the Konservatorium Wien.
0.3490079869984017	Context(She also started,List([0, 25)))	SimpleArgument(She,List([0, 3)))	Relation(also started taking,List([13, 25), [26, 32)))	SimpleArgument(lessons,List([33, 40)))	She recently also started taking lessons in harpsichord, fortepiano and organ at the Konservatorium Wien.
0.25239008486941794		SimpleArgument(She,List([0, 3)))	Relation(also started taking lessons in harpsichord at the Konservatorium Wien,List([13, 25), [26, 82)))	TemporalArgument(recently,List([4, 12)))	She recently also started taking lessons in harpsichord, fortepiano and organ at the Konservatorium Wien.
0.39213989408341976		SimpleArgument(She,List([0, 3)))	Relation(also started,List([13, 25)))	SimpleArgument(taking lessons in harpsichord at the Konservatorium Wien,List([26, 82)))	She recently also started taking lessons in harpsichord, fortepiano and organ at the Konservatorium Wien.
