0.9397554176335701		SimpleArgument(Gary Stanley Becker,List([0, 19)))	Relation(was,List([53, 56)))	SimpleArgument(an American economist,List([57, 78)))	Gary Stanley Becker (December 2, 1930 – May 3, 2014) was an American economist.
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a Rose - Marie senior fellow at the free - market - oriented Hoover Institution,List([7, 86)))	He was a Rose-Marie and Jack R. Anderson senior fellow at the free-market-oriented Hoover Institution, located at Stanford University.
0.8942434158739456		SimpleArgument(topics,List([89, 95)))	Relation(belonging to,List([96, 105), [106, 108)))	SimpleArgument(sociology,List([109, 118)))	Becker was one of the first economists to branch into what were traditionally considered topics belonging to sociology, including racial discrimination, crime, family organization, and drug addiction (see rational addiction).
0.9383119524695255		SimpleArgument(Becker,List([0, 6)))	Relation(was,List([7, 10)))	SimpleArgument(one of the first economists,List([11, 38)))	Becker was one of the first economists to branch into what were traditionally considered topics belonging to sociology, including racial discrimination, crime, family organization, and drug addiction (see rational addiction).
0.7946377519401668	Context(He for arguing,List([0, 24)))	SimpleArgument(many different types of human behavior,List([30, 68)))	Relation(can be seen as,List([69, 80), [81, 83)))	SimpleArgument(maximizing,List([84, 94)))	He was known for arguing that many different types of human behavior can be seen as rational and utility maximizing.
0.4720800262305499		SimpleArgument(He,List([0, 2)))	Relation(for arguing that,List([13, 24), [25, 29)))	SimpleArgument(many different types of human behavior can be seen as maximizing,List([30, 94)))	He was known for arguing that many different types of human behavior can be seen as rational and utility maximizing.
0.3255094774798389		SimpleArgument(He,List([0, 2)))	Relation(was known for,List([3, 12), [13, 16)))	SimpleArgument(arguing that many different types of human behavior can be seen as maximizing,List([17, 94)))	He was known for arguing that many different types of human behavior can be seen as rational and utility maximizing.
0.916501342689998	Context(He for arguing,List([0, 24)))	SimpleArgument(many different types of human behavior,List([30, 68)))	Relation(can be seen as,List([69, 80), [81, 83)))	SimpleArgument(utility,List([84, 91)))	He was known for arguing that many different types of human behavior can be seen as rational and utility maximizing.
0.4720800262305499		SimpleArgument(He,List([0, 2)))	Relation(for arguing that,List([13, 24), [25, 29)))	SimpleArgument(many different types of human behavior can be seen as utility,List([30, 91)))	He was known for arguing that many different types of human behavior can be seen as rational and utility maximizing.
0.3255094774798389		SimpleArgument(He,List([0, 2)))	Relation(was known for,List([3, 12), [13, 16)))	SimpleArgument(arguing that many different types of human behavior can be seen as utility,List([17, 91)))	He was known for arguing that many different types of human behavior can be seen as rational and utility maximizing.
0.7946377519401668	Context(He for arguing,List([0, 24)))	SimpleArgument(many different types of human behavior,List([30, 68)))	Relation(can be seen as,List([69, 80), [81, 83)))	SimpleArgument(rational,List([84, 92)))	He was known for arguing that many different types of human behavior can be seen as rational and utility maximizing.
0.4720800262305499		SimpleArgument(He,List([0, 2)))	Relation(for arguing that,List([13, 24), [25, 29)))	SimpleArgument(many different types of human behavior can be seen as rational,List([30, 92)))	He was known for arguing that many different types of human behavior can be seen as rational and utility maximizing.
0.3255094774798389		SimpleArgument(He,List([0, 2)))	Relation(was known for,List([3, 12), [13, 16)))	SimpleArgument(arguing that many different types of human behavior can be seen as rational,List([17, 92)))	He was known for arguing that many different types of human behavior can be seen as rational and utility maximizing.
0.6381012045821894		SimpleArgument(His approach,List([0, 12)))	Relation(included,List([13, 21)))	SimpleArgument(altruistic behavior of human behavior,List([22, 59)))	His approach included altruistic behavior of human behavior by defining individuals' utility appropriately.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(was also among,List([3, 11), [12, 17)))	SimpleArgument(the foremost exponents of the study of human capital,List([18, 70)))	He was also among the foremost exponents of the study of human capital.
0.8821520356066511		SimpleArgument(Becker,List([0, 6)))	Relation(was credited with,List([7, 10), [16, 24), [25, 29)))	SimpleArgument(the "rotten kid theorem,List([30, 53)))	Becker was also credited with the "rotten kid theorem."
