0.9614799711875458		SimpleArgument(Randi Andersdatter Solem (1775 - 27 February 1859) née Randi Lauvaas,List([0, 68)))	Relation(was,List([69, 72)))	SimpleArgument(a religious organiser,List([73, 94)))	Randi Andersdatter Solem (1775 – 27 February 1859) née Randi Lauvaas was a religious organiser.
0.8757405380863358		SimpleArgument(book,List([20, 24)))	Relation(binding,List([25, 32)))	TemporalArgument(the following year,List([43, 61)))	She was influenced by his engaging speeches, and travelled with him across the country and helped him with book binding in Bergen the following year.
0.9105129651916236		SimpleArgument(book,List([20, 24)))	Relation(binding in,List([25, 32), [33, 35)))	SpatialArgument(Bergen,List([36, 42)))	She was influenced by his engaging speeches, and travelled with him across the country and helped him with book binding in Bergen the following year.
0.3497525988439521		SimpleArgument(She,List([0, 3)))	Relation(helped with,List([4, 10), [15, 19)))	SimpleArgument(book,List([20, 24)))	She was influenced by his engaging speeches, and travelled with him across the country and helped him with book binding in Bergen the following year.
0.3497525988439521		SimpleArgument(She,List([0, 3)))	Relation(travelled across,List([4, 13), [23, 29)))	SpatialArgument(the country,List([30, 41)))	She was influenced by his engaging speeches, and travelled with him across the country and helped him with book binding in Bergen the following year.
0.30899953469486874		SimpleArgument(She,List([0, 3)))	Relation(travelled with,List([4, 13), [14, 18)))	SimpleArgument(him,List([19, 22)))	She was influenced by his engaging speeches, and travelled with him across the country and helped him with book binding in Bergen the following year.
0.30899953469486874		SimpleArgument(She,List([0, 3)))	Relation(was influenced by,List([4, 18), [19, 21)))	SimpleArgument(his engaging speeches,List([22, 43)))	She was influenced by his engaging speeches, and travelled with him across the country and helped him with book binding in Bergen the following year.
0.8615585111461579		SimpleArgument(Hauge,List([0, 5)))	Relation(became,List([6, 12)))	SimpleArgument(quickly aware of her leading abilities,List([13, 51)))	Hauge became quickly aware of her leading abilities.
0.22506131975927415		SimpleArgument(he,List([89, 91)))	Relation(gave status as,List([92, 96), [97, 103), [104, 106)))	SimpleArgument(one of the most respected,List([107, 132)))	In 1802, Solem was mentioned in a small publication as one of five out of thirty people he gave status as one of the "oldest" or most respected.
0.45170382506656653		SimpleArgument(he,List([89, 91)))	Relation(gave,List([92, 96)))	SimpleArgument(status,List([97, 103)))	In 1802, Solem was mentioned in a small publication as one of five out of thirty people he gave status as one of the "oldest" or most respected.
0.8557456177405949		SimpleArgument(Solem,List([10, 15)))	Relation(was mentioned In,List([0, 19), [20, 29)))	TemporalArgument(1802,List([3, 7)))	In 1802, Solem was mentioned in a small publication as one of five out of thirty people he gave status as one of the "oldest" or most respected.
0.9484177987969541		SimpleArgument(Solem,List([10, 15)))	Relation(was mentioned in,List([16, 29), [30, 32)))	SpatialArgument(a small publication as one of five out of thirty people,List([33, 88)))	In 1802, Solem was mentioned in a small publication as one of five out of thirty people he gave status as one of the "oldest" or most respected.
0.23131915735944072		SimpleArgument(She,List([0, 3)))	Relation(was at,List([4, 7), [8, 10)))	SimpleArgument(that time only 26 years old,List([11, 38)))	She was at that time only 26 years old.
0.8557456177405949		SimpleArgument(Solem,List([23, 28)))	Relation(was Before,List([0, 6), [29, 32)))	TemporalArgument(being married,List([7, 20)))	Before being married, Solem skied across the Dovre Mountains to preach in the eastern regions, and was, according to Inger Furseth, a "courageuos and fearless woman".
0.852130044887511	Context(Solem skied,List([23, 34)))	SimpleArgument(Solem,List([23, 28)))	Relation(skied to preach in,List([29, 34), [62, 71), [72, 74)))	SpatialArgument(the eastern regions,List([75, 94)))	Before being married, Solem skied across the Dovre Mountains to preach in the eastern regions, and was, according to Inger Furseth, a "courageuos and fearless woman".
0.8203663862060957		SimpleArgument(Solem,List([23, 28)))	Relation(skied Before,List([0, 6), [29, 34)))	TemporalArgument(being married,List([7, 20)))	Before being married, Solem skied across the Dovre Mountains to preach in the eastern regions, and was, according to Inger Furseth, a "courageuos and fearless woman".
0.852130044887511		SimpleArgument(Solem,List([23, 28)))	Relation(skied to,List([29, 34), [62, 64)))	SimpleArgument(preach in the eastern regions,List([65, 94)))	Before being married, Solem skied across the Dovre Mountains to preach in the eastern regions, and was, according to Inger Furseth, a "courageuos and fearless woman".
0.9139478779591064		SimpleArgument(Solem,List([23, 28)))	Relation(skied across,List([29, 34), [35, 41)))	SimpleArgument(the Dovre Mountains,List([42, 61)))	Before being married, Solem skied across the Dovre Mountains to preach in the eastern regions, and was, according to Inger Furseth, a "courageuos and fearless woman".
0.9127949631705273	Context(she married,List([25, 36)))	SimpleArgument(the one year younger,List([37, 57)))	Relation(Are nt,List([58, 63)))	SimpleArgument(Solem,List([64, 69)))	At some point after 1800 she married the one year younger Arent Solem, who was a successful businessman in Trondheim.
0.24707677063501074		SimpleArgument(she,List([25, 28)))	Relation(married after,List([14, 19), [29, 36)))	TemporalArgument(1800,List([20, 24)))	At some point after 1800 she married the one year younger Arent Solem, who was a successful businessman in Trondheim.
0.4820971422465561		SimpleArgument(she,List([25, 28)))	Relation(married At,List([0, 2), [29, 36)))	TemporalArgument(some point,List([3, 13)))	At some point after 1800 she married the one year younger Arent Solem, who was a successful businessman in Trondheim.
0.9392901325936276		SimpleArgument(Solem,List([64, 69)))	Relation(was,List([75, 78)))	SimpleArgument(a successful businessman in Trondheim,List([79, 116)))	At some point after 1800 she married the one year younger Arent Solem, who was a successful businessman in Trondheim.
0.9025842810621526		SimpleArgument(Solem,List([55, 60)))	Relation(developed her religious beliefs,List([61, 70), [71, 92)))	SpatialArgument(their house,List([36, 47)))	They often held Haugean meetings in their house, where Solem developed her religious beliefs.
0.8615585111461579		SimpleArgument(Solem,List([55, 60)))	Relation(developed,List([61, 70)))	SimpleArgument(her religious beliefs,List([71, 92)))	They often held Haugean meetings in their house, where Solem developed her religious beliefs.
0.46007174547335916		SimpleArgument(They,List([0, 4)))	Relation(held Haugean meetings,List([11, 15), [16, 32)))	TemporalArgument(often,List([5, 10)))	They often held Haugean meetings in their house, where Solem developed her religious beliefs.
0.42346559934638933		SimpleArgument(They,List([0, 4)))	Relation(held Haugean meetings in,List([11, 15), [16, 32), [33, 35)))	SpatialArgument(their house,List([36, 47)))	They often held Haugean meetings in their house, where Solem developed her religious beliefs.
0.6835664910686621		SimpleArgument(They,List([0, 4)))	Relation(held,List([11, 15)))	SimpleArgument(Haugean meetings,List([16, 32)))	They often held Haugean meetings in their house, where Solem developed her religious beliefs.
0.30111532022820664	Context(She wanted,List([0, 10)))	SimpleArgument(She,List([0, 3)))	Relation(wanted to popularise,List([4, 10), [11, 24)))	SimpleArgument(his thoughts in Norway,List([25, 47)))	She became interested in the works of N. F. S. Grundtvig and wanted to popularise his thoughts in Norway.
0.30111532022820664		SimpleArgument(She,List([0, 3)))	Relation(wanted to,List([4, 10), [11, 13)))	SimpleArgument(popularise his thoughts in Norway,List([14, 47)))	She became interested in the works of N. F. S. Grundtvig and wanted to popularise his thoughts in Norway.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(became,List([4, 10)))	SimpleArgument(interested in the works of N. F. S. Grundtvig,List([11, 56)))	She became interested in the works of N. F. S. Grundtvig and wanted to popularise his thoughts in Norway.
0.9529384246512104		SimpleArgument(Solem,List([21, 26)))	Relation(moved to Christiania After,List([0, 5), [27, 52), [53, 64)))	TemporalArgument(Hauge's death,List([6, 19)))	After Hauge's death, Solem moved with her husband to Christiania in 1824.
0.7251886467849957		SimpleArgument(Solem,List([21, 26)))	Relation(moved to Christiania in,List([27, 32), [50, 64), [65, 67)))	TemporalArgument(1824,List([68, 72)))	After Hauge's death, Solem moved with her husband to Christiania in 1824.
0.9000738595917936		SimpleArgument(Solem,List([21, 26)))	Relation(moved to,List([27, 32), [50, 52)))	SimpleArgument(Christiania,List([53, 64)))	After Hauge's death, Solem moved with her husband to Christiania in 1824.
0.9324144673478683		SimpleArgument(Solem,List([0, 5)))	Relation(became,List([6, 12)))	SimpleArgument(increasingly interested in Grundtvig 's thoughts,List([13, 61)))	Here, Arent established more successful enterprises, and Solem became increasingly interested in Grundtvig's thoughts.
0.8856213652192657		SimpleArgument(all the Haugeans in Norway,List([97, 123)))	Relation(to read,List([132, 139)))	SimpleArgument(his works,List([140, 149)))	Beyond having frequent written correspondence with him, she also served as a "commissionary" for all the Haugeans in Norway wanting to read his works.
0.4217817445622922		SimpleArgument(she,List([56, 59)))	Relation(served as,List([65, 71), [72, 74)))	SimpleArgument(a "commissionary" for all the Haugeans in Norway wanting to read his works,List([75, 149)))	Beyond having frequent written correspondence with him, she also served as a "commissionary" for all the Haugeans in Norway wanting to read his works.
0.6639151797428681		SimpleArgument(their wealthy home,List([61, 79)))	Relation(to be,List([90, 95)))	SimpleArgument(a centre for the Haugean movement in the area,List([96, 141)))	In 1840, Solem returned with her husband to Trøndelag, where their wealthy home continued to be a centre for the Haugean movement in the area.
0.7767490197170204		SimpleArgument(their wealthy home,List([61, 79)))	Relation(continued,List([80, 89)))	SpatialArgument(Trøndelag,List([44, 53)))	In 1840, Solem returned with her husband to Trøndelag, where their wealthy home continued to be a centre for the Haugean movement in the area.
0.8557456177405949		SimpleArgument(Solem,List([9, 14)))	Relation(returned In,List([0, 2), [15, 23)))	TemporalArgument(1840,List([3, 7)))	In 1840, Solem returned with her husband to Trøndelag, where their wealthy home continued to be a centre for the Haugean movement in the area.
0.9000738595917936		SimpleArgument(Solem,List([9, 14)))	Relation(returned to,List([15, 23), [41, 43)))	SimpleArgument(Trøndelag,List([44, 53)))	In 1840, Solem returned with her husband to Trøndelag, where their wealthy home continued to be a centre for the Haugean movement in the area.
