0.9498112450143501		SimpleArgument(Robert Beavers (born 1949,List([0, 25)))	Relation(is,List([27, 29)))	SimpleArgument(an American experimental filmmaker,List([30, 64)))	Robert Beavers (born 1949) is an American experimental filmmaker.
0.9180804252893389		SimpleArgument(Both filmmakers,List([0, 15)))	Relation(restricted the Beavers ' work from,List([16, 26), [27, 45), [46, 50)))	SimpleArgument(1980-1986 at the Temenos,List([51, 75)))	Both filmmakers restricted the screenings of their films after leaving America, and instead held yearly screenings of Markopoulos' and Beavers' work from 1980-1986 at the Temenos, a site near Lyssaraia in Arcadia, Greece.
0.9180804252893389		SimpleArgument(Both filmmakers,List([0, 15)))	Relation(restricted,List([16, 26)))	SimpleArgument(the Beavers ' work,List([27, 45)))	Both filmmakers restricted the screenings of their films after leaving America, and instead held yearly screenings of Markopoulos' and Beavers' work from 1980-1986 at the Temenos, a site near Lyssaraia in Arcadia, Greece.
0.9180804252893389		SimpleArgument(Both filmmakers,List([0, 15)))	Relation(instead held,List([16, 28)))	SimpleArgument(yearly screenings of Markopoulos,List([29, 61)))	Both filmmakers restricted the screenings of their films after leaving America, and instead held yearly screenings of Markopoulos' and Beavers' work from 1980-1986 at the Temenos, a site near Lyssaraia in Arcadia, Greece.
0.8961335868436368	Context(Both filmmakers restricted,List([0, 26)))	SimpleArgument(Both filmmakers,List([0, 15)))	Relation(restricted the screenings of their films after leaving,List([16, 26), [27, 41)))	SimpleArgument(America,List([71, 78)))	Both filmmakers restricted the screenings of their films after leaving America, and instead held yearly screenings of Markopoulos' and Beavers' work from 1980-1986 at the Temenos, a site near Lyssaraia in Arcadia, Greece.
0.8961335868436368		SimpleArgument(Both filmmakers,List([0, 15)))	Relation(restricted the screenings of their films after,List([16, 26), [27, 56), [57, 62)))	TemporalArgument(leaving America,List([63, 78)))	Both filmmakers restricted the screenings of their films after leaving America, and instead held yearly screenings of Markopoulos' and Beavers' work from 1980-1986 at the Temenos, a site near Lyssaraia in Arcadia, Greece.
0.7955801501517452		SimpleArgument(Both filmmakers,List([0, 15)))	Relation(restricted,List([16, 26)))	SimpleArgument(the screenings of their films,List([27, 56)))	Both filmmakers restricted the screenings of their films after leaving America, and instead held yearly screenings of Markopoulos' and Beavers' work from 1980-1986 at the Temenos, a site near Lyssaraia in Arcadia, Greece.
0.6129699864385257		SimpleArgument(a non-profit,List([62, 74)))	Relation(devoted to,List([75, 82), [83, 85)))	SimpleArgument(the Beavers ' work,List([86, 104)))	After Markopoulos' death, Beavers founded Temenos, Inc., a non-profit devoted to the preservation of Markopoulos' and Beavers' work.
0.9199923855291322		SimpleArgument(Beavers,List([28, 35)))	Relation(founded Temenos,List([36, 43), [44, 51)))	SimpleArgument(a non-profit devoted to the Beavers ' work,List([62, 104)))	After Markopoulos' death, Beavers founded Temenos, Inc., a non-profit devoted to the preservation of Markopoulos' and Beavers' work.
0.6129699864385257		SimpleArgument(a non-profit,List([62, 74)))	Relation(devoted to,List([75, 82), [83, 85)))	SimpleArgument(the preservation of Markopoulos,List([86, 117)))	After Markopoulos' death, Beavers founded Temenos, Inc., a non-profit devoted to the preservation of Markopoulos' and Beavers' work.
0.9529384246512104		SimpleArgument(Beavers,List([28, 35)))	Relation(founded Temenos After,List([0, 5), [36, 43), [44, 51)))	TemporalArgument(Markopoulos ' death,List([6, 25)))	After Markopoulos' death, Beavers founded Temenos, Inc., a non-profit devoted to the preservation of Markopoulos' and Beavers' work.
0.9199923855291322		SimpleArgument(Beavers,List([28, 35)))	Relation(founded Temenos,List([36, 43), [44, 51)))	SimpleArgument(a non-profit devoted to the preservation of Markopoulos,List([62, 117)))	After Markopoulos' death, Beavers founded Temenos, Inc., a non-profit devoted to the preservation of Markopoulos' and Beavers' work.
0.9324144673478683		SimpleArgument(Beavers,List([28, 35)))	Relation(founded,List([36, 43)))	SimpleArgument(Temenos,List([44, 51)))	After Markopoulos' death, Beavers founded Temenos, Inc., a non-profit devoted to the preservation of Markopoulos' and Beavers' work.
0.3853208301752743		SimpleArgument(Outstretched,List([97, 109)))	Relation([is] Hand [of],List([92, 96)))	SimpleArgument(Mine,List([89, 91)))	Beavers has worked extensively on re-editing his films to create the larger film cycle "My Hand Outstretched to the Winged Distance and Sightless Measure."
0.8668367470739037	Context(Beavers has worked extensively,List([0, 30)))	SimpleArgument(Beavers,List([0, 7)))	Relation(has worked extensively on re-editing his films to,List([8, 30), [31, 44), [45, 54), [55, 57)))	SimpleArgument(create the larger film cycle,List([58, 86)))	Beavers has worked extensively on re-editing his films to create the larger film cycle "My Hand Outstretched to the Winged Distance and Sightless Measure."
0.7794154230651349	Context(Beavers has worked extensively,List([0, 30)))	SimpleArgument(Beavers,List([0, 7)))	Relation(has worked extensively on re-editing,List([8, 30), [31, 44)))	SimpleArgument(his films,List([45, 54)))	Beavers has worked extensively on re-editing his films to create the larger film cycle "My Hand Outstretched to the Winged Distance and Sightless Measure."
0.7794154230651349		SimpleArgument(Beavers,List([0, 7)))	Relation(has worked extensively on,List([8, 30), [31, 33)))	SimpleArgument(re-editing his films,List([34, 54)))	Beavers has worked extensively on re-editing his films to create the larger film cycle "My Hand Outstretched to the Winged Distance and Sightless Measure."
