0.9445721975409912		SimpleArgument(Neil Nightingale,List([0, 16)))	Relation(is,List([40, 42)))	SimpleArgument(the creative director of BBC Earth,List([43, 77)))	Neil Nightingale (born 6 February 1960) is the creative director of BBC Earth, BBC Worldwide's global brand for all BBC natural history content.
0.9484177987969541		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the development of new forms of commercial content including Giant Screen films,List([31, 110)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the development of new forms of commercial content including interactive visitor attractions In,List([0, 2), [25, 111), [112, 123)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9484177987969541		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the development of new forms of commercial content including interactive visitor attractions,List([31, 123)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the development of new forms of commercial content including live events In,List([0, 2), [25, 96), [97, 103)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9484177987969541		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the development of new forms of commercial content including live events,List([31, 103)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the development of new forms of commercial content including 4 D experiences In,List([0, 2), [25, 95), [96, 107)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9484177987969541		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the development of new forms of commercial content including 4 D experiences,List([31, 107)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the development of new forms of commercial content including feature films In,List([0, 2), [25, 99), [100, 105)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9484177987969541		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the development of new forms of commercial content including feature films,List([31, 105)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.4112251698053916		SimpleArgument(He,List([0, 2)))	Relation(Walking,List([49, 56)))	SimpleArgument(D ( Enchanted Kingdom 3 D,List([74, 99)))	He is the co-director of two 3D feature films, Walking with Dinosaurs 3D (2013) and Enchanted Kingdom 3D (2014).
0.44889862861795693		SimpleArgument(He,List([0, 2)))	Relation(Walking D ( Enchanted Kingdom 3 D with,List([49, 56), [57, 97), {98}))	SimpleArgument(Dinosaurs 3,List([62, 73)))	He is the co-director of two 3D feature films, Walking with Dinosaurs 3D (2013) and Enchanted Kingdom 3D (2014).
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(Walking with,List([49, 56), [57, 61)))	SimpleArgument(Dinosaurs 3 D ( 2013,List([62, 82)))	He is the co-director of two 3D feature films, Walking with Dinosaurs 3D (2013) and Enchanted Kingdom 3D (2014).
0.5222094630377523		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the co-director of two 3 D feature films,List([6, 46)))	He is the co-director of two 3D feature films, Walking with Dinosaurs 3D (2013) and Enchanted Kingdom 3D (2014).
