0.9582631324958855		SimpleArgument(Sandrine Piau (born 5 June 1965,List([0, 31)))	Relation(is,List([33, 35)))	SimpleArgument(a French opera soprano,List([36, 58)))	Sandrine Piau (born 5 June 1965) is a French opera soprano.
0.6138676038426771		SimpleArgument(She,List([0, 3)))	Relation(collaborated with,List([4, 16), [17, 21)))	SimpleArgument(many of the leading European conductors of the Baroque revival , including Paul McCreesh,List([22, 110)))	She collaborated with many of the leading European conductors of the Baroque revival, including Marc Minkowski, Philippe Herreweghe, Paul McCreesh, Alan Curtis, Christophe Rousset, René Jacobs, and Fabio Biondi.
0.6138676038426771		SimpleArgument(She,List([0, 3)))	Relation(collaborated with,List([4, 16), [17, 21)))	SimpleArgument(many of the leading European conductors of the Baroque revival , including Philippe Herreweghe,List([22, 116)))	She collaborated with many of the leading European conductors of the Baroque revival, including Marc Minkowski, Philippe Herreweghe, Paul McCreesh, Alan Curtis, Christophe Rousset, René Jacobs, and Fabio Biondi.
0.6138676038426771		SimpleArgument(She,List([0, 3)))	Relation(collaborated with,List([4, 16), [17, 21)))	SimpleArgument(many of the leading European conductors of the Baroque revival , including Marc Minkowski,List([22, 111)))	She collaborated with many of the leading European conductors of the Baroque revival, including Marc Minkowski, Philippe Herreweghe, Paul McCreesh, Alan Curtis, Christophe Rousset, René Jacobs, and Fabio Biondi.
0.4328394458044063		SimpleArgument(She,List([0, 3)))	Relation(took part in,List([4, 8), [9, 13), [14, 16)))	SimpleArgument(the project of Choir,List([17, 37)))	She took part in the project of Ton Koopman and the Amsterdam Baroque Orchestra & Choir to record the complete vocal works of Johann Sebastian Bach.
0.4328394458044063		SimpleArgument(She,List([0, 3)))	Relation(took part in,List([4, 8), [9, 13), [14, 16)))	SimpleArgument(the project of the Amsterdam Baroque Orchestra,List([17, 63)))	She took part in the project of Ton Koopman and the Amsterdam Baroque Orchestra & Choir to record the complete vocal works of Johann Sebastian Bach.
0.332563478582812	Context(She took,List([0, 8)))	SimpleArgument(She,List([0, 3)))	Relation(took part to record,List([4, 8), [9, 46)))	SimpleArgument(the complete vocal works of Johann Sebastian Bach,List([54, 103)))	She took part in the project of Ton Koopman and the Amsterdam Baroque Orchestra & Choir to record the complete vocal works of Johann Sebastian Bach.
0.332563478582812		SimpleArgument(She,List([0, 3)))	Relation(took part to,List([4, 8), [9, 13), [44, 46)))	SimpleArgument(record the complete vocal works of Johann Sebastian Bach,List([47, 103)))	She took part in the project of Ton Koopman and the Amsterdam Baroque Orchestra & Choir to record the complete vocal works of Johann Sebastian Bach.
0.4328394458044063		SimpleArgument(She,List([0, 3)))	Relation(took part in,List([4, 8), [9, 13), [14, 16)))	SimpleArgument(the project of Ton Koopman,List([17, 43)))	She took part in the project of Ton Koopman and the Amsterdam Baroque Orchestra & Choir to record the complete vocal works of Johann Sebastian Bach.
0.3880890333449538		SimpleArgument(She,List([0, 3)))	Relation(took,List([4, 8)))	SimpleArgument(part,List([9, 13)))	She took part in the project of Ton Koopman and the Amsterdam Baroque Orchestra & Choir to record the complete vocal works of Johann Sebastian Bach.
0.3497525988439521		SimpleArgument(She,List([0, 3)))	Relation(was named a Chevalier de l'Ordre des Arts et des Lettres by,List([4, 13), [14, 60), [69, 71)))	SimpleArgument(the French government,List([72, 93)))	She was named a Chevalier de l'Ordre des Arts et des Lettres in 2006 by the French government.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(was named,List([4, 13)))	SimpleArgument(a Chevalier de l'Ordre des Arts et des Lettres,List([14, 60)))	She was named a Chevalier de l'Ordre des Arts et des Lettres in 2006 by the French government.
