0.9397554176335701		SimpleArgument(Ada Lois James,List([0, 14)))	Relation(was,List([57, 60)))	SimpleArgument(reformer,List([61, 69)))	Ada Lois James (March 23, 1876 – September 29, 1952) was a suffragist, social worker, and reformer.
0.9230599563719548	Context(Robert M. La Follette insisted,List([27, 66)))	SimpleArgument(Robert M. La Follette,List([27, 48)))	Relation(insisted on supporting,List([58, 66), [67, 80)))	SimpleArgument(Governor John J. Blaine,List([81, 104)))	In 1922 she was vice-chairman of the Republican state central committee, and in 1923 was president of the Wisconsin Woman's Progressive Association, but left the organization when Robert M. La Follette, Sr., insisted on supporting Governor John J. Blaine.
0.9230599563719548		SimpleArgument(Robert M. La Follette,List([27, 48)))	Relation(insisted on,List([58, 66), [67, 69)))	SimpleArgument(supporting Governor John J. Blaine,List([70, 104)))	In 1922 she was vice-chairman of the Republican state central committee, and in 1923 was president of the Wisconsin Woman's Progressive Association, but left the organization when Robert M. La Follette, Sr., insisted on supporting Governor John J. Blaine.
0.4953178616921359		SimpleArgument(1923,List([3, 7)))	Relation(was president of,List([8, 24)))	SimpleArgument(the Wisconsin Woman,List([25, 44)))	In 1922 she was vice-chairman of the Republican state central committee, and in 1923 was president of the Wisconsin Woman's Progressive Association, but left the organization when Robert M. La Follette, Sr., insisted on supporting Governor John J. Blaine.
0.29886655727758943		SimpleArgument(she,List([8, 11)))	Relation(was vice-chairman of the Republican state central committee In,List([0, 2), [12, 61), [62, 71)))	TemporalArgument(1922,List([3, 7)))	In 1922 she was vice-chairman of the Republican state central committee, and in 1923 was president of the Wisconsin Woman's Progressive Association, but left the organization when Robert M. La Follette, Sr., insisted on supporting Governor John J. Blaine.
0.5222094630377523		SimpleArgument(she,List([8, 11)))	Relation(was,List([12, 15)))	SimpleArgument(vice-chairman of the Republican state central committee,List([16, 71)))	In 1922 she was vice-chairman of the Republican state central committee, and in 1923 was president of the Wisconsin Woman's Progressive Association, but left the organization when Robert M. La Follette, Sr., insisted on supporting Governor John J. Blaine.
0.9249022730163128		SimpleArgument(Levi H. Bancroft,List([74, 90)))	Relation(growing out,List([98, 105), [106, 109)))	SimpleArgument(of her support of S. E. Smalley for the Republican nomination for a Wisconsin circuit judgeship,List([110, 205)))	During the 1920s James was also engaged in a series of slander suits with Levi H. Bancroft (q.v.) growing out of her support of S. E. Smalley for the Republican nomination for a Wisconsin circuit judgeship.
0.9313446556162928		SimpleArgument(the 1920s James,List([7, 22)))	Relation(engaged in,List([32, 39), [40, 42)))	SimpleArgument(a series of slander suits with Levi H. Bancroft (q.v.) growing out of her support of S. E. Smalley for the Republican nomination for a Wisconsin circuit judgeship,List([43, 205)))	During the 1920s James was also engaged in a series of slander suits with Levi H. Bancroft (q.v.) growing out of her support of S. E. Smalley for the Republican nomination for a Wisconsin circuit judgeship.
0.9183131628711343	Context(she administered,List([23, 39)))	SimpleArgument(the David G. James Memorial Fund,List([40, 72)))	Relation(established for,List([73, 84), [93, 96)))	TemporalArgument(the relief of needy families in Richland County,List([97, 144)))	Active in social work, she administered the David G. James Memorial Fund established in 1922 for the relief of needy families in Richland County, Wisconsin.
0.834558474599071	Context(she administered,List([23, 39)))	SimpleArgument(the David G. James Memorial Fund,List([40, 72)))	Relation(established in,List([73, 84), [85, 87)))	TemporalArgument(1922,List([88, 92)))	Active in social work, she administered the David G. James Memorial Fund established in 1922 for the relief of needy families in Richland County, Wisconsin.
0.5503378535116643		SimpleArgument(she,List([23, 26)))	Relation(administered,List([27, 39)))	SimpleArgument(the David G. James Memorial Fund established in 1922 for the relief of needy families in Richland County,List([40, 144)))	Active in social work, she administered the David G. James Memorial Fund established in 1922 for the relief of needy families in Richland County, Wisconsin.
0.886695286966665		SimpleArgument(She,List([0, 3)))	Relation(was chairman of,List([4, 19)))	SimpleArgument(the county children,List([20, 39)))	She was chairman of the county children's board for many years.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(was chairman of the county children 's board for,List([4, 7), [8, 47), [48, 51)))	TemporalArgument(many years,List([52, 62)))	She was chairman of the county children's board for many years.
0.5222094630377523		SimpleArgument(She,List([0, 3)))	Relation(was,List([4, 7)))	SimpleArgument(chairman of the county children's board,List([8, 47)))	She was chairman of the county children's board for many years.
