0.9684350924019041		SimpleArgument(Alexei Volodin (Russian: Алексей Володин; born 1977,List([0, 51)))	Relation(is,List([53, 55)))	SimpleArgument(a Russian pianist,List([56, 73)))	Alexei Volodin (Russian: Алексей Володин; born 1977) is a Russian pianist.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has worked with,List([3, 13), [14, 18)))	SimpleArgument(conductors like Gerd Albrecht , among others,List([19, 63)))	He has worked with conductors like Riccardo Chailly, Mikhail Pletnev, Eiji Oue, Gerd Albrecht, Carlo Rizzi, Zoltan Kocsis, David Zinman, Valery Gergiev and Vladimir Fedoseyev, among others.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has worked with,List([3, 13), [14, 18)))	SimpleArgument(conductors like Eiji Oue , among others,List([19, 58)))	He has worked with conductors like Riccardo Chailly, Mikhail Pletnev, Eiji Oue, Gerd Albrecht, Carlo Rizzi, Zoltan Kocsis, David Zinman, Valery Gergiev and Vladimir Fedoseyev, among others.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has worked with,List([3, 13), [14, 18)))	SimpleArgument(conductors like Mikhail Pletnev , among others,List([19, 65)))	He has worked with conductors like Riccardo Chailly, Mikhail Pletnev, Eiji Oue, Gerd Albrecht, Carlo Rizzi, Zoltan Kocsis, David Zinman, Valery Gergiev and Vladimir Fedoseyev, among others.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has worked with,List([3, 13), [14, 18)))	SimpleArgument(conductors like Riccardo Chailly , among others,List([19, 66)))	He has worked with conductors like Riccardo Chailly, Mikhail Pletnev, Eiji Oue, Gerd Albrecht, Carlo Rizzi, Zoltan Kocsis, David Zinman, Valery Gergiev and Vladimir Fedoseyev, among others.
0.5961061943937731		SimpleArgument(he,List([92, 94)))	Relation(achieved critical success,List([95, 103), [104, 120)))	SpatialArgument(the Champs - Elysées Theater,List([55, 83)))	In May 2005, Alexei Volodin gave his debut recital at the Champs-Elysées Theater, where he achieved an extraordinary public and critical success, being immediately re-invited for the next seasons.
0.45170382506656653		SimpleArgument(he,List([92, 94)))	Relation(achieved,List([95, 103)))	SimpleArgument(critical success,List([104, 120)))	In May 2005, Alexei Volodin gave his debut recital at the Champs-Elysées Theater, where he achieved an extraordinary public and critical success, being immediately re-invited for the next seasons.
0.5961061943937731		SimpleArgument(he,List([92, 94)))	Relation(achieved an extraordinary public,List([95, 103), [104, 127)))	SpatialArgument(the Champs - Elysées Theater,List([55, 83)))	In May 2005, Alexei Volodin gave his debut recital at the Champs-Elysées Theater, where he achieved an extraordinary public and critical success, being immediately re-invited for the next seasons.
0.45170382506656653		SimpleArgument(he,List([92, 94)))	Relation(achieved,List([95, 103)))	SimpleArgument(an extraordinary public,List([104, 127)))	In May 2005, Alexei Volodin gave his debut recital at the Champs-Elysées Theater, where he achieved an extraordinary public and critical success, being immediately re-invited for the next seasons.
0.9570872704623956		SimpleArgument(Alexei Volodin,List([14, 28)))	Relation(gave his debut recital In,List([0, 2), [29, 43), [44, 51)))	TemporalArgument(May 2005,List([3, 11)))	In May 2005, Alexei Volodin gave his debut recital at the Champs-Elysées Theater, where he achieved an extraordinary public and critical success, being immediately re-invited for the next seasons.
0.9382554258342916		SimpleArgument(Alexei Volodin,List([14, 28)))	Relation(gave his debut recital at,List([29, 33), [34, 51), [52, 54)))	SpatialArgument(the Champs - Elysées Theater,List([55, 83)))	In May 2005, Alexei Volodin gave his debut recital at the Champs-Elysées Theater, where he achieved an extraordinary public and critical success, being immediately re-invited for the next seasons.
0.8726869446304376		SimpleArgument(Alexei Volodin,List([14, 28)))	Relation(gave,List([29, 33)))	SimpleArgument(his debut recital,List([34, 51)))	In May 2005, Alexei Volodin gave his debut recital at the Champs-Elysées Theater, where he achieved an extraordinary public and critical success, being immediately re-invited for the next seasons.
