0.8056360478309452		SimpleArgument(Exhibitions India Group,List([0, 23)))	Relation(was founded in,List([30, 41), [42, 44)))	TemporalArgument(1987,List([45, 49)))	Exhibitions India Group (EIG) was founded in 1987.
0.9054929777663506		SimpleArgument(The group 's core business,List([0, 26)))	Relation(comprises of,List([27, 36), [37, 39)))	SimpleArgument(trade promotion,List([40, 55)))	The group's core business comprises of trade promotion, encouraging investments, joint ventures, technology transfers, etc. EIG is an organiser of trade fairs in India and overseas with allied businesses in sales representation, publishing, travel and hospitality, advertising, consulting, conferences, and display design.
0.3497525988439521		SimpleArgument(We,List([0, 2)))	Relation(are also certified for,List([3, 21), [56, 59)))	SimpleArgument(transparency in international commercial transactions,List([60, 113)))	We are also certified by Trace International Inc. (USA) for transparency in international commercial transactions.
0.4907332801074571		SimpleArgument(We,List([0, 2)))	Relation(are also certified for transparency in international commercial transactions by,List([3, 21), [22, 100), [101, 113)))	SimpleArgument(Trace International Inc,List([25, 48)))	We are also certified by Trace International Inc. (USA) for transparency in international commercial transactions.
0.9527410621066101		SimpleArgument(Exhibitions India,List([28, 45)))	Relation(is,List([46, 48)))	SimpleArgument(a leading organiser of trade fairs in India,List([49, 92)))	Strategic Business Units: · Exhibitions India is a leading organiser of trade fairs in India having successfully established some of the most influential exhibitions in the country.
0.9572029669433457		SimpleArgument(South Asia's biggest trade expo,List([21, 52)))	Relation(focused on,List([53, 60), [61, 63)))	SimpleArgument(ICT, Broadcast & Digital Media industry,List([64, 103)))	Convergence India is South Asia's biggest trade expo focused on ICT, Broadcast & Digital Media industry.
0.9527410621066101		SimpleArgument(Convergence India,List([0, 17)))	Relation(is,List([18, 20)))	SimpleArgument(South Asia's biggest trade expo,List([21, 52)))	Convergence India is South Asia's biggest trade expo focused on ICT, Broadcast & Digital Media industry.
0.9180804252893389		SimpleArgument(Other expos,List([0, 11)))	Relation(are,List([12, 15)))	SimpleArgument(Krackerjack Karnival,List([16, 36)))	Other expos are Convergence Africa World; Smart Cities India; and Krackerjack Karnival.
0.9180804252893389		SimpleArgument(Other expos,List([0, 11)))	Relation(are,List([12, 15)))	SimpleArgument(Smart Cities India,List([16, 34)))	Other expos are Convergence Africa World; Smart Cities India; and Krackerjack Karnival.
0.9180804252893389		SimpleArgument(Other expos,List([0, 11)))	Relation(are,List([12, 15)))	SimpleArgument(Convergence Africa World,List([16, 40)))	Other expos are Convergence Africa World; Smart Cities India; and Krackerjack Karnival.
0.9030401971054747		SimpleArgument(47 countries,List([90, 102)))	Relation(covering over,List([103, 111), [112, 116)))	SimpleArgument(180 trade fairs in over 40 different industry verticals,List([117, 172)))	· Comnet Exhibitions is a sales representative for international trade fair organizers in 47 countries covering over 180 trade fairs in over 40 different industry verticals.
0.9641165612900223		SimpleArgument(Comnet Exhibitions,List([2, 20)))	Relation(is,List([21, 23)))	SimpleArgument(a sales representative for international trade fair organizers in 47 countries,List([24, 102)))	· Comnet Exhibitions is a sales representative for international trade fair organizers in 47 countries covering over 180 trade fairs in over 40 different industry verticals.
0.9382554258342916		SimpleArgument(Comnet Publishers,List([2, 19)))	Relation(produce,List([20, 27)))	SimpleArgument(ICT online news portal,List([28, 50)))	· Comnet Publishers produce ‘autoX magazine' (India's leading automotive monthly magazine); and the weekly ‘convergence plus' newsletter and ICT online news portal.
0.9132357803109601		SimpleArgument(Comnet Publishers,List([2, 19)))	Relation(produce,List([20, 27)))	SimpleArgument(newsletter,List([30, 40)))	· Comnet Publishers produce ‘autoX magazine' (India's leading automotive monthly magazine); and the weekly ‘convergence plus' newsletter and ICT online news portal.
0.9266232318014763		SimpleArgument(Comnet Publishers,List([2, 19)))	Relation(produce,List([20, 27)))	SimpleArgument(the weekly,List([28, 38)))	· Comnet Publishers produce ‘autoX magazine' (India's leading automotive monthly magazine); and the weekly ‘convergence plus' newsletter and ICT online news portal.
0.926822645789899		SimpleArgument(Comnet Publishers,List([2, 19)))	Relation(produce,List([20, 27)))	SimpleArgument(autoX magazine,List([30, 44)))	· Comnet Publishers produce ‘autoX magazine' (India's leading automotive monthly magazine); and the weekly ‘convergence plus' newsletter and ICT online news portal.
0.9266232318014763		SimpleArgument(Comnet Travels,List([2, 16)))	Relation(provides hospitality services to,List([17, 25), [26, 46), [47, 49)))	SimpleArgument(outbound business travellers,List([50, 78)))	· Comnet Travels provides travel and hospitality services to inbound and outbound business travellers.
0.9266232318014763		SimpleArgument(Comnet Travels,List([2, 16)))	Relation(provides hospitality services to,List([17, 25), [26, 46), [47, 49)))	SimpleArgument(inbound business travellers,List([50, 77)))	· Comnet Travels provides travel and hospitality services to inbound and outbound business travellers.
0.9266232318014763		SimpleArgument(Comnet Travels,List([2, 16)))	Relation(provides,List([17, 25)))	SimpleArgument(hospitality services,List([26, 46)))	· Comnet Travels provides travel and hospitality services to inbound and outbound business travellers.
0.9266232318014763		SimpleArgument(Comnet Travels,List([2, 16)))	Relation(provides travel services to,List([17, 25), [26, 41), [42, 44)))	SimpleArgument(outbound business travellers,List([45, 73)))	· Comnet Travels provides travel and hospitality services to inbound and outbound business travellers.
0.9266232318014763		SimpleArgument(Comnet Travels,List([2, 16)))	Relation(provides travel services to,List([17, 25), [26, 41), [42, 44)))	SimpleArgument(inbound business travellers,List([45, 72)))	· Comnet Travels provides travel and hospitality services to inbound and outbound business travellers.
0.9266232318014763		SimpleArgument(Comnet Travels,List([2, 16)))	Relation(provides,List([17, 25)))	SimpleArgument(travel services,List([26, 41)))	· Comnet Travels provides travel and hospitality services to inbound and outbound business travellers.
0.952945494449658		SimpleArgument(Comnet Advertising,List([2, 20)))	Relation(offers,List([21, 27)))	SimpleArgument(a wide range of services , from the development of communications strategy , through implementation,List([28, 127)))	· Comnet Advertising offers a wide range of services, from the development of communications strategy, through executional planning, negotiation and implementation.
0.952945494449658		SimpleArgument(Comnet Advertising,List([2, 20)))	Relation(offers,List([21, 27)))	SimpleArgument(a wide range of services , from the development of communications strategy , through negotiation,List([28, 124)))	· Comnet Advertising offers a wide range of services, from the development of communications strategy, through executional planning, negotiation and implementation.
0.952945494449658		SimpleArgument(Comnet Advertising,List([2, 20)))	Relation(offers,List([21, 27)))	SimpleArgument(a wide range of services , from the development of communications strategy , through executional planning,List([28, 133)))	· Comnet Advertising offers a wide range of services, from the development of communications strategy, through executional planning, negotiation and implementation.
0.952945494449658		SimpleArgument(Comnet Consultants,List([2, 20)))	Relation(provide,List([21, 28)))	SimpleArgument(market research, market entry strategies, joint ventures, locational analysis, regulatory framework, executive search, etc.,List([29, 152)))	· Comnet Consultants provide market research, market entry strategies, joint ventures, locational analysis, regulatory framework, executive search, etc.
0.8726869446304376		SimpleArgument(Comnet Conferences,List([2, 20)))	Relation(organises,List([21, 30)))	SimpleArgument(its third party knowledge,List([31, 56)))	· Comnet Conferences organises its own and third party knowledge based conferences and seminars across India.
0.926822645789899		SimpleArgument(Comnet Conferences,List([2, 20)))	Relation(organises,List([21, 30)))	SimpleArgument(based seminars across India,List([55, 82)))	· Comnet Conferences organises its own and third party knowledge based conferences and seminars across India.
0.9266232318014763		SimpleArgument(Comnet Conferences,List([2, 20)))	Relation(organises its own party knowledge,List([21, 30), [31, 54)))	TemporalArgument(based conferences,List([55, 72)))	· Comnet Conferences organises its own and third party knowledge based conferences and seminars across India.
0.8726869446304376		SimpleArgument(Comnet Conferences,List([2, 20)))	Relation(organises,List([21, 30)))	SimpleArgument(its own party knowledge,List([31, 54)))	· Comnet Conferences organises its own and third party knowledge based conferences and seminars across India.
0.9266232318014763		SimpleArgument(Comnet Design,List([2, 15)))	Relation(provides,List([16, 24)))	SimpleArgument(special construction for retail,List([25, 56)))	· Comnet Design provides special design solutions and construction for exhibitions and retail.
0.9266232318014763		SimpleArgument(Comnet Design,List([2, 15)))	Relation(provides,List([16, 24)))	SimpleArgument(special construction for exhibitions,List([25, 61)))	· Comnet Design provides special design solutions and construction for exhibitions and retail.
0.9266232318014763		SimpleArgument(Comnet Design,List([2, 15)))	Relation(provides,List([16, 24)))	SimpleArgument(special design solutions,List([25, 49)))	· Comnet Design provides special design solutions and construction for exhibitions and retail.
