0.8847999636040884		SimpleArgument(Margaret Cavendish,List([0, 18)))	Relation([is] Duchess of,List([20, 30)))	SimpleArgument(Newcastle -,List([31, 41)))	Margaret Cavendish, Duchess of Newcastle-upon-Tyne
0.9383119524695255		SimpleArgument(Cavendish,List([0, 9)))	Relation(was,List([10, 13)))	SimpleArgument(a poet , philosopher , writer of prose playwright,List([14, 63)))	Cavendish was a poet, philosopher, writer of prose romances, essayist, and playwright who published under her own name at a time when most women writers published anonymously.
0.9383119524695255		SimpleArgument(Cavendish,List([0, 9)))	Relation(was,List([10, 13)))	SimpleArgument(a poet , philosopher , writer of prose essayist,List([14, 61)))	Cavendish was a poet, philosopher, writer of prose romances, essayist, and playwright who published under her own name at a time when most women writers published anonymously.
0.9383119524695255		SimpleArgument(Cavendish,List([0, 9)))	Relation(was,List([10, 13)))	SimpleArgument(a poet , philosopher , writer of prose romances,List([14, 61)))	Cavendish was a poet, philosopher, writer of prose romances, essayist, and playwright who published under her own name at a time when most women writers published anonymously.
0.6381012045821894		SimpleArgument(Her writing,List([0, 11)))	Relation(addressed,List([12, 21)))	SimpleArgument(a number of topics , including philosophy,List([22, 63)))	Her writing addressed a number of topics, including gender, power, manners, scientific method, and philosophy.
0.6381012045821894		SimpleArgument(Her writing,List([0, 11)))	Relation(addressed,List([12, 21)))	SimpleArgument(a number of topics , including scientific method,List([22, 70)))	Her writing addressed a number of topics, including gender, power, manners, scientific method, and philosophy.
0.6381012045821894		SimpleArgument(Her writing,List([0, 11)))	Relation(addressed,List([12, 21)))	SimpleArgument(a number of topics , including manners,List([22, 60)))	Her writing addressed a number of topics, including gender, power, manners, scientific method, and philosophy.
0.6381012045821894		SimpleArgument(Her writing,List([0, 11)))	Relation(addressed,List([12, 21)))	SimpleArgument(a number of topics , including power,List([22, 58)))	Her writing addressed a number of topics, including gender, power, manners, scientific method, and philosophy.
0.6381012045821894		SimpleArgument(Her writing,List([0, 11)))	Relation(addressed,List([12, 21)))	SimpleArgument(a number of topics , including gender,List([22, 59)))	Her writing addressed a number of topics, including gender, power, manners, scientific method, and philosophy.
0.6853350942641365		SimpleArgument(Her utopian romance,List([0, 19)))	Relation(is,List([40, 42)))	SimpleArgument(one of the earliest examples of science fiction,List([43, 90)))	Her utopian romance, The Blazing World, is one of the earliest examples of science fiction.
0.5222094630377523		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(singular in having published extensively in early modern science,List([7, 71)))	She is singular in having published extensively in natural philosophy and early modern science.
0.5222094630377523		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(singular in having published extensively in natural philosophy,List([7, 69)))	She is singular in having published extensively in natural philosophy and early modern science.
0.3880890333449538	Context(inclusion of her revised works brings,List([43, 80)))	SimpleArgument(She,List([0, 3)))	Relation(published over,List([4, 13), [14, 18)))	SimpleArgument(a dozen original works,List([19, 41)))	She published over a dozen original works; inclusion of her revised works brings her total number of publications to twenty one.
0.3900374000625819		SimpleArgument(inclusion of her revised works,List([43, 73)))	Relation(brings her total number of publications to,List([74, 80), [81, 113), [114, 116)))	SimpleArgument(twenty one,List([117, 127)))	She published over a dozen original works; inclusion of her revised works brings her total number of publications to twenty one.
0.5663907707590128		SimpleArgument(inclusion of her revised works,List([43, 73)))	Relation(brings,List([74, 80)))	SimpleArgument(her total number of publications,List([81, 113)))	She published over a dozen original works; inclusion of her revised works brings her total number of publications to twenty one.
0.9197759696552441		SimpleArgument(Cavendish,List([0, 9)))	Relation(has been criticised as,List([10, 29), [30, 32)))	SimpleArgument(a groundbreaking woman writer,List([33, 62)))	Cavendish has been championed and criticised as a unique and groundbreaking woman writer.
0.9197759696552441		SimpleArgument(Cavendish,List([0, 9)))	Relation(has been criticised as,List([10, 29), [30, 32)))	SimpleArgument(a unique woman writer,List([33, 54)))	Cavendish has been championed and criticised as a unique and groundbreaking woman writer.
0.7711002770011991		SimpleArgument(Cavendish,List([0, 9)))	Relation(has been championed,List([10, 29)))		Cavendish has been championed and criticised as a unique and groundbreaking woman writer.
0.3813762836812193	Context(She rejected,List([0, 12)))	SimpleArgument(She,List([0, 3)))	Relation(rejected the mechanical philosophy of the seventeenth century preferring instead,List([4, 12), [13, 16), [17, 27)))	SimpleArgument(a vitalist model,List([79, 95)))	She rejected the Aristotelianism and mechanical philosophy of the seventeenth century, preferring a vitalist model instead.
0.3458137171542221		SimpleArgument(She,List([0, 3)))	Relation(rejected the mechanical philosophy of the seventeenth century,List([4, 12), [13, 65)))	SimpleArgument(preferring a vitalist model instead,List([68, 103)))	She rejected the Aristotelianism and mechanical philosophy of the seventeenth century, preferring a vitalist model instead.
0.3880890333449538		SimpleArgument(She,List([0, 3)))	Relation(rejected,List([4, 12)))	SimpleArgument(the mechanical philosophy of the seventeenth century,List([13, 65)))	She rejected the Aristotelianism and mechanical philosophy of the seventeenth century, preferring a vitalist model instead.
0.3813762836812193	Context(She rejected,List([0, 12)))	SimpleArgument(She,List([0, 3)))	Relation(rejected the Aristotelianism of the seventeenth century preferring instead,List([4, 12), [13, 16), [17, 32)))	SimpleArgument(a vitalist model,List([73, 89)))	She rejected the Aristotelianism and mechanical philosophy of the seventeenth century, preferring a vitalist model instead.
0.3458137171542221		SimpleArgument(She,List([0, 3)))	Relation(rejected the Aristotelianism of the seventeenth century,List([4, 12), [13, 59)))	SimpleArgument(preferring a vitalist model instead,List([62, 97)))	She rejected the Aristotelianism and mechanical philosophy of the seventeenth century, preferring a vitalist model instead.
0.4328394458044063		SimpleArgument(She,List([0, 3)))	Relation(rejected,List([4, 12)))	SimpleArgument(the Aristotelianism of the seventeenth century,List([13, 59)))	She rejected the Aristotelianism and mechanical philosophy of the seventeenth century, preferring a vitalist model instead.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(engaged with,List([4, 11), [12, 16)))	SimpleArgument(members Robert Boyle,List([17, 37)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(engaged with,List([4, 11), [12, 16)))	SimpleArgument(philosophers,List([17, 29)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(engaged with,List([4, 11), [12, 16)))	SimpleArgument(members,List([17, 24)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.4978219019954182		SimpleArgument(she,List([0, 3)))	Relation(criticised,List([4, 14)))	SimpleArgument(Robert Boyle,List([15, 27)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.4978219019954182		SimpleArgument(she,List([0, 3)))	Relation(criticised,List([4, 14)))	SimpleArgument(René Descartes,List([15, 29)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.4978219019954182		SimpleArgument(she,List([0, 3)))	Relation(criticised,List([4, 14)))	SimpleArgument(Thomas Hobbes,List([15, 28)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.6138676038426771		SimpleArgument(She,List([0, 3)))	Relation(was the first woman to,List([4, 7), [8, 23), [24, 26)))	SimpleArgument(attend a meeting at Royal Society of London in 1667 Robert Boyle,List([27, 91)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.9250606141558615		SimpleArgument(the first woman,List([8, 23)))	Relation(to attend,List([24, 33)))	SimpleArgument(a meeting at Royal Society of London,List([34, 70)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.6138676038426771		SimpleArgument(She,List([0, 3)))	Relation(was the first woman to,List([4, 7), [8, 23), [24, 26)))	SimpleArgument(attend a meeting at Royal Society of London in 1667 René Descartes,List([27, 93)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.9519143416197944		SimpleArgument(the first woman,List([8, 23)))	Relation(to attend,List([24, 33)))	SimpleArgument(a meeting at Royal Society of London in 1667 Thomas Hobbes,List([34, 92)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.6138676038426771		SimpleArgument(She,List([0, 3)))	Relation(was the first woman to,List([4, 7), [8, 23), [24, 26)))	SimpleArgument(attend a meeting at Royal Society of London in 1667 Thomas Hobbes,List([27, 92)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.5222094630377523		SimpleArgument(She,List([0, 3)))	Relation(was,List([4, 7)))	SimpleArgument(the first woman,List([8, 23)))	She was the first woman to attend a meeting at Royal Society of London in 1667 and she criticised and engaged with members and philosophers Thomas Hobbes, René Descartes, and Robert Boyle.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(has been claimed as,List([4, 20), [21, 23)))	SimpleArgument(an advocate as an early opponent of animal testing,List([24, 74)))	She has been claimed as an advocate for animals and as an early opponent of animal testing.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(has been claimed as,List([4, 20), [21, 23)))	SimpleArgument(an advocate for animals,List([24, 47)))	She has been claimed as an advocate for animals and as an early opponent of animal testing.
