0.9105129651916236		SimpleArgument(Brandywine,List([0, 10)))	Relation(Living at,List([11, 17), [18, 20)))	SpatialArgument(Toms River,List([21, 31)))	Brandywine Living at Toms River
0.8847999636040884		SimpleArgument(Brenda J. Bacon,List([0, 15)))	Relation(is the President of,List([16, 35)))	SimpleArgument(Brandywine Living,List([36, 53)))	Brenda J. Bacon is the President and CEO of Brandywine Living, a privately held company with 27 senior living communities in five states.
0.9569065201547587		SimpleArgument(Brenda J. Bacon,List([0, 15)))	Relation(is,List([16, 18)))	SimpleArgument(the President of Brandywine Living,List([19, 53)))	Brenda J. Bacon is the President and CEO of Brandywine Living, a privately held company with 27 senior living communities in five states.
0.8672693270989391		SimpleArgument(Ms. Bacon,List([13, 22)))	Relation(was on loan in,List([0, 2), [23, 29), [30, 34)))	TemporalArgument(1992-1993,List([3, 12)))	Ms. Bacon served as Chief of Management and Planning, a cabinet-level position under NJ Governor James Florio from 1989-1993, and in 1992-1993 Ms. Bacon was on loan to the Presidential Transition Team as co-chair for the transition of the Department of Health and Human Services.
0.9266232318014763		SimpleArgument(Ms. Bacon,List([13, 22)))	Relation(was on,List([23, 26), [27, 29)))	SimpleArgument(loan,List([30, 34)))	Ms. Bacon served as Chief of Management and Planning, a cabinet-level position under NJ Governor James Florio from 1989-1993, and in 1992-1993 Ms. Bacon was on loan to the Presidential Transition Team as co-chair for the transition of the Department of Health and Human Services.
0.9382554258342916		SimpleArgument(Ms. Bacon,List([0, 9)))	Relation(served as,List([10, 16), [17, 19)))	SimpleArgument(Chief of Planning,List([20, 37)))	Ms. Bacon served as Chief of Management and Planning, a cabinet-level position under NJ Governor James Florio from 1989-1993, and in 1992-1993 Ms. Bacon was on loan to the Presidential Transition Team as co-chair for the transition of the Department of Health and Human Services.
0.38089450366724514		SimpleArgument(James Florio,List([87, 99)))	Relation([is] Governor [of],List([78, 86)))	SimpleArgument(NJ,List([75, 77)))	Ms. Bacon served as Chief of Management and Planning, a cabinet-level position under NJ Governor James Florio from 1989-1993, and in 1992-1993 Ms. Bacon was on loan to the Presidential Transition Team as co-chair for the transition of the Department of Health and Human Services.
0.9382554258342916		SimpleArgument(Ms. Bacon,List([0, 9)))	Relation(served as,List([10, 16), [17, 19)))	SimpleArgument(Chief of Management,List([20, 39)))	Ms. Bacon served as Chief of Management and Planning, a cabinet-level position under NJ Governor James Florio from 1989-1993, and in 1992-1993 Ms. Bacon was on loan to the Presidential Transition Team as co-chair for the transition of the Department of Health and Human Services.
0.9699974998635915		SimpleArgument(Ms. Bacon,List([0, 9)))	Relation(is,List([10, 12)))	SimpleArgument(the Immediate Past Chairman of the Board of Directors of Argentum,List([13, 78)))	Ms. Bacon is the Immediate Past Chairman of the Board of Directors of Argentum (formerly the Assisted Living Federation of America).
0.9297147399762508		SimpleArgument(Ms. Bacon,List([0, 9)))	Relation(received her undergraduate degree from,List([10, 18), [19, 43), [44, 48)))	SimpleArgument(her Masters of Business Administration degree from The Wharton School of the University of Pennsylvania,List([49, 152)))	Ms. Bacon received her undergraduate degree from Hampton University and her Masters of Business Administration degree from The Wharton School of the University of Pennsylvania.
0.9382554258342916		SimpleArgument(Ms. Bacon,List([0, 9)))	Relation(received her undergraduate degree from,List([10, 18), [19, 43), [44, 48)))	SimpleArgument(Hampton University,List([49, 67)))	Ms. Bacon received her undergraduate degree from Hampton University and her Masters of Business Administration degree from The Wharton School of the University of Pennsylvania.
0.8726869446304376		SimpleArgument(Ms. Bacon,List([0, 9)))	Relation(received,List([10, 18)))	SimpleArgument(her undergraduate degree,List([19, 43)))	Ms. Bacon received her undergraduate degree from Hampton University and her Masters of Business Administration degree from The Wharton School of the University of Pennsylvania.
