0.787629570513835		SimpleArgument(an American technical science magazine,List([32, 70)))	Relation(was published,List([76, 89)))	TemporalArgument(monthly,List([90, 97)))	The Electrical Experimenter was an American technical science magazine that was published monthly.
0.9489461080096143		SimpleArgument(the Experimenter Publishing empire of Sidney,List([66, 110)))	Relation(was forced into,List([111, 121), [122, 126)))	SimpleArgument(bankruptcy,List([127, 137)))	The magazine was edited by Hugo Gernsback until March 1929, when the Experimenter Publishing empire of Sidney and Hugo Gernsback was forced into bankruptcy; after that date it was edited by Arthur H. Lynch.
0.8797652531099371		SimpleArgument(The magazine,List([0, 12)))	Relation(was edited until,List([13, 23), [42, 47)))	TemporalArgument(March 1929,List([48, 58)))	The magazine was edited by Hugo Gernsback until March 1929, when the Experimenter Publishing empire of Sidney and Hugo Gernsback was forced into bankruptcy; after that date it was edited by Arthur H. Lynch.
0.9180804252893389		SimpleArgument(The magazine,List([0, 12)))	Relation(was edited by,List([13, 23), [24, 26)))	SimpleArgument(Hugo Gernsback,List([27, 41)))	The magazine was edited by Hugo Gernsback until March 1929, when the Experimenter Publishing empire of Sidney and Hugo Gernsback was forced into bankruptcy; after that date it was edited by Arthur H. Lynch.
0.9317707205419198	Context(a 1916 editorial arguing,List([26, 50)))	SimpleArgument(a " real electrical experimenter , worthy of the name,List([56, 109)))	Relation(must have,List([112, 121)))	SimpleArgument(a vision for the future,List([122, 145)))	Under the editorship of Gernsback, it also published some early science fiction; he published several of his own stories in the magazine starting in 1915, and encouraged others through a 1916 editorial arguing that a "real electrical experimenter, worthy of the name" must have imagination and a vision for the future.
0.9294418123652924		SimpleArgument(a 1916 editorial,List([26, 42)))	Relation(arguing that,List([43, 50), [51, 55)))	SimpleArgument(a " real electrical experimenter , worthy of the name " must have a vision for the future,List([56, 145)))	Under the editorship of Gernsback, it also published some early science fiction; he published several of his own stories in the magazine starting in 1915, and encouraged others through a 1916 editorial arguing that a "real electrical experimenter, worthy of the name" must have imagination and a vision for the future.
0.9317707205419198	Context(a 1916 editorial arguing,List([26, 50)))	SimpleArgument(a " real electrical experimenter , worthy of the name,List([56, 109)))	Relation(must have,List([112, 121)))	SimpleArgument(imagination,List([122, 133)))	Under the editorship of Gernsback, it also published some early science fiction; he published several of his own stories in the magazine starting in 1915, and encouraged others through a 1916 editorial arguing that a "real electrical experimenter, worthy of the name" must have imagination and a vision for the future.
0.9294418123652924		SimpleArgument(a 1916 editorial,List([26, 42)))	Relation(arguing that,List([43, 50), [51, 55)))	SimpleArgument(a " real electrical experimenter , worthy of the name " must have imagination,List([56, 133)))	Under the editorship of Gernsback, it also published some early science fiction; he published several of his own stories in the magazine starting in 1915, and encouraged others through a 1916 editorial arguing that a "real electrical experimenter, worthy of the name" must have imagination and a vision for the future.
0.5381082893716442	Context(he published,List([83, 95)))	SimpleArgument(it,List([36, 38)))	Relation(published some early science fiction Under,List([0, 5), [44, 72), [73, 80)))	SpatialArgument(the editorship of Gernsback,List([6, 33)))	Under the editorship of Gernsback, it also published some early science fiction; he published several of his own stories in the magazine starting in 1915, and encouraged others through a 1916 editorial arguing that a "real electrical experimenter, worthy of the name" must have imagination and a vision for the future.
0.35798798219252614	Context(he published,List([83, 95)))	SimpleArgument(it,List([36, 38)))	Relation(published,List([44, 53)))	SimpleArgument(some early science fiction,List([54, 80)))	Under the editorship of Gernsback, it also published some early science fiction; he published several of his own stories in the magazine starting in 1915, and encouraged others through a 1916 editorial arguing that a "real electrical experimenter, worthy of the name" must have imagination and a vision for the future.
0.263652756827333		SimpleArgument(he,List([83, 85)))	Relation(published,List([86, 95)))	SimpleArgument(several of his own stories in the magazine,List([96, 138)))	Under the editorship of Gernsback, it also published some early science fiction; he published several of his own stories in the magazine starting in 1915, and encouraged others through a 1916 editorial arguing that a "real electrical experimenter, worthy of the name" must have imagination and a vision for the future.
0.9570872704623956		SimpleArgument(Nikola Tesla,List([36, 48)))	Relation(published parts of his autobiography in segments in several issues in 1919 Between,List([0, 7), [54, 123), [124, 128)))	TemporalArgument(August 1917 and July 1919,List([8, 33)))	Between August 1917 and July 1919, Nikola Tesla wrote five articles in the magazine, and also published parts of his autobiography in segments in several issues in 1919.
0.9028402153347668		SimpleArgument(Nikola Tesla,List([36, 48)))	Relation(published,List([54, 63)))	SimpleArgument(parts of his autobiography in segments in several issues in 1919,List([64, 128)))	Between August 1917 and July 1919, Nikola Tesla wrote five articles in the magazine, and also published parts of his autobiography in segments in several issues in 1919.
0.9570872704623956		SimpleArgument(Nikola Tesla,List([36, 48)))	Relation(wrote five articles in the magazine Between,List([0, 7), [49, 75), [76, 84)))	TemporalArgument(August 1917 and July 1919,List([8, 33)))	Between August 1917 and July 1919, Nikola Tesla wrote five articles in the magazine, and also published parts of his autobiography in segments in several issues in 1919.
0.9266232318014763		SimpleArgument(Nikola Tesla,List([36, 48)))	Relation(wrote,List([49, 54)))	SimpleArgument(five articles in the magazine,List([55, 84)))	Between August 1917 and July 1919, Nikola Tesla wrote five articles in the magazine, and also published parts of his autobiography in segments in several issues in 1919.
