0.38089450366724514		SimpleArgument(April 10 , 1997 ),List([35, 50)))	Relation(was a teacher of,List([51, 67)))	SimpleArgument(Filipino martial arts,List([68, 89)))	Edgar Sulite (September 25, 1957 – April 10, 1997) was a teacher of Filipino martial arts.
0.8847641879927497		SimpleArgument(He,List([0, 2)))	Relation(was the creator of,List([3, 21)))	SimpleArgument(Lameco Eskrima,List([22, 36)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the creator of Lameco Eskrima,List([7, 36)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
0.6138676038426771		SimpleArgument(he,List([47, 49)))	Relation(trained with,List([50, 57), [58, 62)))	SimpleArgument(several martial arts masters including Jesus Abella of Modern Largos,List([63, 131)))	needed]Born in Tacloban City, Philippines, he trained with several martial arts masters including Leo Gaje ofPekiti-Tirsia Kali, Antonio "Tatang" Ilustrisimo of Kali Illustrisimo, Jose D. Caballero of De Campo Uno-Dos-Tres Orihinal, and Jesus Abella of Modern Largos.
0.6138676038426771		SimpleArgument(he,List([47, 49)))	Relation(trained with,List([50, 57), [58, 62)))	SimpleArgument(several martial arts masters including Jose D. Caballero of De Campo Uno - Dos - Tres Orihinal,List([63, 157)))	needed]Born in Tacloban City, Philippines, he trained with several martial arts masters including Leo Gaje ofPekiti-Tirsia Kali, Antonio "Tatang" Ilustrisimo of Kali Illustrisimo, Jose D. Caballero of De Campo Uno-Dos-Tres Orihinal, and Jesus Abella of Modern Largos.
0.6138676038426771		SimpleArgument(he,List([47, 49)))	Relation(trained with,List([50, 57), [58, 62)))	SimpleArgument(several martial arts masters including Antonio " Tatang " Ilustrisimo of Kali Illustrisimo,List([63, 153)))	needed]Born in Tacloban City, Philippines, he trained with several martial arts masters including Leo Gaje ofPekiti-Tirsia Kali, Antonio "Tatang" Ilustrisimo of Kali Illustrisimo, Jose D. Caballero of De Campo Uno-Dos-Tres Orihinal, and Jesus Abella of Modern Largos.
0.6138676038426771		SimpleArgument(he,List([47, 49)))	Relation(trained with,List([50, 57), [58, 62)))	SimpleArgument(several martial arts masters including Leo Gaje ofPekiti - Tirsia Kali,List([63, 133)))	needed]Born in Tacloban City, Philippines, he trained with several martial arts masters including Leo Gaje ofPekiti-Tirsia Kali, Antonio "Tatang" Ilustrisimo of Kali Illustrisimo, Jose D. Caballero of De Campo Uno-Dos-Tres Orihinal, and Jesus Abella of Modern Largos.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(called it,List([3, 9), [10, 12)))	SimpleArgument(Lameco Eskrima,List([13, 27)))	He created a new style and called it Lameco Eskrima.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(called,List([3, 9)))	SimpleArgument(it,List([10, 12)))	He created a new style and called it Lameco Eskrima.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(created,List([3, 10)))	SimpleArgument(a new style,List([11, 22)))	He created a new style and called it Lameco Eskrima.
0.9187226522567168		SimpleArgument(the Corto ( close quarter ) techniques,List([30, 68)))	Relation(learned during,List([77, 84), [85, 91)))	TemporalArgument(his studies of the Filipino martial arts,List([92, 132)))	The name was a combination of the Largo (long), Medio (Medium), and Corto (close quarter) techniques that he learned during his studies of the Filipino martial arts.
0.9597492605074653		SimpleArgument(The name,List([0, 8)))	Relation(was,List([9, 12)))	SimpleArgument(a combination of the Corto ( close quarter ) techniques,List([13, 68)))	The name was a combination of the Largo (long), Medio (Medium), and Corto (close quarter) techniques that he learned during his studies of the Filipino martial arts.
0.911208781235596		SimpleArgument(the Medio ( Medium ) techniques,List([30, 61)))	Relation(learned during,List([70, 77), [78, 84)))	TemporalArgument(his studies of the Filipino martial arts,List([85, 125)))	The name was a combination of the Largo (long), Medio (Medium), and Corto (close quarter) techniques that he learned during his studies of the Filipino martial arts.
0.9369813267476892		SimpleArgument(The name,List([0, 8)))	Relation(was,List([9, 12)))	SimpleArgument(a combination of the Medio ( Medium ) techniques,List([13, 61)))	The name was a combination of the Largo (long), Medio (Medium), and Corto (close quarter) techniques that he learned during his studies of the Filipino martial arts.
0.911208781235596		SimpleArgument(the Largo ( long ) techniques,List([30, 59)))	Relation(learned during,List([68, 75), [76, 82)))	TemporalArgument(his studies of the Filipino martial arts,List([83, 123)))	The name was a combination of the Largo (long), Medio (Medium), and Corto (close quarter) techniques that he learned during his studies of the Filipino martial arts.
0.9369813267476892		SimpleArgument(The name,List([0, 8)))	Relation(was,List([9, 12)))	SimpleArgument(a combination of the Largo ( long ) techniques,List([13, 59)))	The name was a combination of the Largo (long), Medio (Medium), and Corto (close quarter) techniques that he learned during his studies of the Filipino martial arts.
