0.8574392832114158		SimpleArgument(an experienced business owner,List([9, 38)))	Relation(returned,List([48, 56)))	TemporalArgument(recently,List([39, 47)))	Sarah is an experienced business owner recently returned to study to pursue a career in academia.
0.7577519913650632		SimpleArgument(Sarah,List([28, 33)))	Relation(worked to,List([34, 40), [76, 78)))	SimpleArgument(manage various aspects of their messaging,List([79, 120)))	As a certified translator, Sarah worked with businesses all over the world to manage various aspects of their brands, reputations, and messaging.
0.8956113154445509		SimpleArgument(Sarah,List([28, 33)))	Relation(worked to manage various aspects of their messaging with,List([34, 40), [41, 110), [111, 120)))	SimpleArgument(businesses,List([46, 56)))	As a certified translator, Sarah worked with businesses all over the world to manage various aspects of their brands, reputations, and messaging.
0.7577519913650632	Context(Sarah worked,List([28, 40)))	SimpleArgument(Sarah,List([28, 33)))	Relation(worked to manage,List([34, 40), [76, 85)))	SimpleArgument(various aspects of their reputations,List([86, 122)))	As a certified translator, Sarah worked with businesses all over the world to manage various aspects of their brands, reputations, and messaging.
0.7577519913650632		SimpleArgument(Sarah,List([28, 33)))	Relation(worked to,List([34, 40), [76, 78)))	SimpleArgument(manage various aspects of their reputations,List([79, 122)))	As a certified translator, Sarah worked with businesses all over the world to manage various aspects of their brands, reputations, and messaging.
0.8956113154445509		SimpleArgument(Sarah,List([28, 33)))	Relation(worked to manage various aspects of their reputations with,List([34, 40), [41, 110), [111, 122)))	SimpleArgument(businesses,List([46, 56)))	As a certified translator, Sarah worked with businesses all over the world to manage various aspects of their brands, reputations, and messaging.
0.7577519913650632	Context(Sarah worked,List([28, 40)))	SimpleArgument(Sarah,List([28, 33)))	Relation(worked to manage,List([34, 40), [76, 85)))	SimpleArgument(various aspects of their brands,List([86, 117)))	As a certified translator, Sarah worked with businesses all over the world to manage various aspects of their brands, reputations, and messaging.
0.7577519913650632		SimpleArgument(Sarah,List([28, 33)))	Relation(worked to,List([34, 40), [76, 78)))	SimpleArgument(manage various aspects of their brands,List([79, 117)))	As a certified translator, Sarah worked with businesses all over the world to manage various aspects of their brands, reputations, and messaging.
0.8956113154445509		SimpleArgument(Sarah,List([28, 33)))	Relation(worked to manage various aspects of their brands with,List([34, 40), [41, 110), [111, 117)))	SimpleArgument(businesses,List([46, 56)))	As a certified translator, Sarah worked with businesses all over the world to manage various aspects of their brands, reputations, and messaging.
0.30899953469486874		SimpleArgument(She,List([0, 3)))	Relation(was involved in,List([4, 16), [17, 19)))	SimpleArgument(the start - up phases of her client list,List([20, 60)))	She was involved in the start-up phases of a number of small businesses and her client list included SMEs and NGOs across the Americas, Asia-Pacific and Europe.
0.9180804252893389		SimpleArgument(small businesses,List([57, 73)))	Relation(included,List([74, 82)))	SimpleArgument(NGOs across the Americas , Asia - Europe,List([83, 123)))	She was involved in the start-up phases of a number of small businesses and her client list included SMEs and NGOs across the Americas, Asia-Pacific and Europe.
0.9180804252893389		SimpleArgument(small businesses,List([57, 73)))	Relation(included,List([74, 82)))	SimpleArgument(NGOs across the Americas , Asia - Pacific,List([83, 124)))	She was involved in the start-up phases of a number of small businesses and her client list included SMEs and NGOs across the Americas, Asia-Pacific and Europe.
0.5691839633287576		SimpleArgument(She,List([0, 3)))	Relation(was involved in,List([4, 16), [17, 19)))	SimpleArgument(the start - up phases of a number of small businesses,List([20, 73)))	She was involved in the start-up phases of a number of small businesses and her client list included SMEs and NGOs across the Americas, Asia-Pacific and Europe.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(has also worked for,List([4, 19), [20, 23)))	SimpleArgument(multinationals such as Apple Company,List([24, 60)))	She has also worked for multinationals such as Apple Computers, Audi AG and Bain and Company.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(has also worked for,List([4, 19), [20, 23)))	SimpleArgument(multinationals such as Bain,List([24, 51)))	She has also worked for multinationals such as Apple Computers, Audi AG and Bain and Company.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(has also worked for,List([4, 19), [20, 23)))	SimpleArgument(multinationals such as Audi AG,List([24, 54)))	She has also worked for multinationals such as Apple Computers, Audi AG and Bain and Company.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(has also worked for,List([4, 19), [20, 23)))	SimpleArgument(multinationals such as Apple Computers,List([24, 62)))	She has also worked for multinationals such as Apple Computers, Audi AG and Bain and Company.
0.9567562066335041		SimpleArgument(Sarah,List([0, 5)))	Relation(holds an MA in,List([6, 11), [12, 17), [18, 20)))	SpatialArgument(Specialised Translation from the University of Westminster , London , and a BA ( Hons ) in Applied Languages ( German , French & Spanish ) from the University of Limerick,List([21, 191)))	Sarah holds an MA in Technical and Specialised Translation from the University of Westminster, London, and a BA (Hons) in Applied Languages (German, French & Spanish) from the University of Limerick, Ireland.
0.9383119524695255		SimpleArgument(Sarah,List([0, 5)))	Relation(holds,List([6, 11)))	SimpleArgument(an MA,List([12, 17)))	Sarah holds an MA in Technical and Specialised Translation from the University of Westminster, London, and a BA (Hons) in Applied Languages (German, French & Spanish) from the University of Limerick, Ireland.
0.9670538616899376		SimpleArgument(Sarah,List([0, 5)))	Relation(holds,List([6, 11)))	SimpleArgument(an MA in Technical Translation from the University of Westminster , London , and a BA ( Hons ) in Applied Languages ( German , French & Spanish ) from the University of Limerick,List([12, 189)))	Sarah holds an MA in Technical and Specialised Translation from the University of Westminster, London, and a BA (Hons) in Applied Languages (German, French & Spanish) from the University of Limerick, Ireland.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(has studied for,List([4, 15), [16, 19)))	TemporalArgument(extended periods in Ireland,List([20, 47)))	She has lived, worked and studied for extended periods in France, Germany, Spain, the UK and Ireland.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(has studied for,List([4, 15), [16, 19)))	TemporalArgument(extended periods in the UK,List([20, 46)))	She has lived, worked and studied for extended periods in France, Germany, Spain, the UK and Ireland.
0.3929209860966329		SimpleArgument(She,List([0, 3)))	Relation(has studied in,List([4, 15), [37, 39)))	SpatialArgument(Spain,List([40, 45)))	She has lived, worked and studied for extended periods in France, Germany, Spain, the UK and Ireland.
0.3929209860966329		SimpleArgument(She,List([0, 3)))	Relation(has studied in,List([4, 15), [37, 39)))	SpatialArgument(Germany,List([40, 47)))	She has lived, worked and studied for extended periods in France, Germany, Spain, the UK and Ireland.
0.3929209860966329		SimpleArgument(She,List([0, 3)))	Relation(has studied in,List([4, 15), [37, 39)))	SpatialArgument(France,List([40, 46)))	She has lived, worked and studied for extended periods in France, Germany, Spain, the UK and Ireland.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(has studied for,List([4, 15), [16, 19)))	TemporalArgument(extended periods,List([20, 36)))	She has lived, worked and studied for extended periods in France, Germany, Spain, the UK and Ireland.
0.1948871917044894		SimpleArgument(She,List([0, 3)))	Relation(has worked,List([4, 14)))		She has lived, worked and studied for extended periods in France, Germany, Spain, the UK and Ireland.
0.1948871917044894		SimpleArgument(She,List([0, 3)))	Relation(has lived,List([4, 13)))		She has lived, worked and studied for extended periods in France, Germany, Spain, the UK and Ireland.
0.6138676038426771		SimpleArgument(she,List([86, 89)))	Relation(is pursuing,List([90, 101)))	SimpleArgument(a Masters of Business (Research) in International Business,List([102, 160)))	She is now based at Queensland University of Technology in Brisbane, Australia, where she is pursuing a Masters of Business (Research) in International Business.
0.22015391053105568		SimpleArgument(She,List([0, 3)))	Relation(is based,List([4, 6), [11, 16)))	TemporalArgument(now,List([7, 10)))	She is now based at Queensland University of Technology in Brisbane, Australia, where she is pursuing a Masters of Business (Research) in International Business.
0.3929209860966329		SimpleArgument(She,List([0, 3)))	Relation(is based at,List([4, 6), [11, 16), [17, 19)))	SpatialArgument(Queensland University of Technology in Brisbane,List([20, 67)))	She is now based at Queensland University of Technology in Brisbane, Australia, where she is pursuing a Masters of Business (Research) in International Business.
0.6601056213946704		SimpleArgument(Her research interests,List([0, 22)))	Relation(include,List([23, 30)))	SimpleArgument(the nature of international experience today,List([31, 75)))	Her research interests include international entrepreneurship, next-generation entrepreneurs, and the nature of international experience today.
0.6601056213946704		SimpleArgument(Her research interests,List([0, 22)))	Relation(include,List([23, 30)))	SimpleArgument(next - generation entrepreneurs,List([31, 62)))	Her research interests include international entrepreneurship, next-generation entrepreneurs, and the nature of international experience today.
0.6601056213946704		SimpleArgument(Her research interests,List([0, 22)))	Relation(include,List([23, 30)))	SimpleArgument(international entrepreneurship,List([31, 61)))	Her research interests include international entrepreneurship, next-generation entrepreneurs, and the nature of international experience today.
