0.9817360032124585		SimpleArgument(Jerold Don Ottley (born April 7, 1934,List([0, 37)))	Relation(was,List([39, 42)))	SimpleArgument(the music director of the Mormon Tabernacle Choir from 1974 to 1999,List([43, 110)))	Jerold Don Ottley (born April 7, 1934) was the music director of the Mormon Tabernacle Choir from 1974 to 1999.
0.6138676038426771		SimpleArgument(he,List([23, 25)))	Relation(has been involved in volunteer work for,List([26, 43), [44, 61), [62, 65)))	TemporalArgument(four years as teacher for the Mormon Tabernacle Choir Training School at Temple Square,List([66, 152)))	Since his retirement, he has been involved in volunteer work for four years as administrator and teacher for the Mormon Tabernacle Choir Training School at Temple Square, as a Tabernacle Choir staff volunteer revising the choral library computer database, as artistic advisor to the Salt Lake Interfaith Roundtable, and as bishop of his ward (congregation) in The Church of Jesus Christ of Latter-day Saints (LDS Church).
0.944056173886228		SimpleArgument(a Tabernacle Choir staff volunteer,List([164, 198)))	Relation(revising,List([199, 207)))	SimpleArgument(the choral library computer database,List([208, 244)))	Since his retirement, he has been involved in volunteer work for four years as administrator and teacher for the Mormon Tabernacle Choir Training School at Temple Square, as a Tabernacle Choir staff volunteer revising the choral library computer database, as artistic advisor to the Salt Lake Interfaith Roundtable, and as bishop of his ward (congregation) in The Church of Jesus Christ of Latter-day Saints (LDS Church).
0.39625576749130315		SimpleArgument(he,List([23, 25)))	Relation(has been involved in volunteer work Since,List([0, 34), [35, 56), [57, 61)))	TemporalArgument(his retirement,List([6, 20)))	Since his retirement, he has been involved in volunteer work for four years as administrator and teacher for the Mormon Tabernacle Choir Training School at Temple Square, as a Tabernacle Choir staff volunteer revising the choral library computer database, as artistic advisor to the Salt Lake Interfaith Roundtable, and as bishop of his ward (congregation) in The Church of Jesus Christ of Latter-day Saints (LDS Church).
0.6138676038426771		SimpleArgument(he,List([23, 25)))	Relation(has been involved in volunteer work for,List([26, 43), [44, 61), [62, 65)))	TemporalArgument(four years as administrator for the Mormon Tabernacle Choir Training School at Temple Square,List([66, 158)))	Since his retirement, he has been involved in volunteer work for four years as administrator and teacher for the Mormon Tabernacle Choir Training School at Temple Square, as a Tabernacle Choir staff volunteer revising the choral library computer database, as artistic advisor to the Salt Lake Interfaith Roundtable, and as bishop of his ward (congregation) in The Church of Jesus Christ of Latter-day Saints (LDS Church).
0.45170382506656653		SimpleArgument(he,List([23, 25)))	Relation(has been involved in,List([26, 43), [44, 46)))	SimpleArgument(volunteer work,List([47, 61)))	Since his retirement, he has been involved in volunteer work for four years as administrator and teacher for the Mormon Tabernacle Choir Training School at Temple Square, as a Tabernacle Choir staff volunteer revising the choral library computer database, as artistic advisor to the Salt Lake Interfaith Roundtable, and as bishop of his ward (congregation) in The Church of Jesus Christ of Latter-day Saints (LDS Church).
0.29886655727758943		SimpleArgument(he,List([19, 21)))	Relation(directed the University Chorale From,List([0, 4), [22, 45), [46, 53)))	TemporalArgument(2005 to 2008,List([5, 17)))	From 2005 to 2008, he directed the University Chorale at Brigham Young University–Hawaii, an LDS Church-owned university in the town of Laie on Oahu's north shore.
0.4978219019954182		SimpleArgument(he,List([19, 21)))	Relation(directed the University Chorale at,List([22, 30), [31, 53), [54, 56)))	SimpleArgument(Brigham Young University-Hawaii,List([57, 88)))	From 2005 to 2008, he directed the University Chorale at Brigham Young University–Hawaii, an LDS Church-owned university in the town of Laie on Oahu's north shore.
0.4978219019954182		SimpleArgument(he,List([19, 21)))	Relation(directed,List([22, 30)))	SimpleArgument(the University Chorale,List([31, 53)))	From 2005 to 2008, he directed the University Chorale at Brigham Young University–Hawaii, an LDS Church-owned university in the town of Laie on Oahu's north shore.
0.6155020116081594		SimpleArgument(they,List([0, 4)))	Relation(are,List([5, 8)))	SimpleArgument(the parents of two children,List([9, 36)))	Ottley is married to JoAnn Ottley, an accomplished soprano herself, and they are the parents of two children.
0.9481947648689547		SimpleArgument(Ottley,List([0, 6)))	Relation(is,List([7, 9)))	SimpleArgument(married to JoAnn Ottley,List([10, 33)))	Ottley is married to JoAnn Ottley, an accomplished soprano herself, and they are the parents of two children.
