0.9397554176335701		SimpleArgument(Hans Huitfeldt Riddervold,List([0, 25)))	Relation(was,List([59, 62)))	SimpleArgument(a Norwegian media executive,List([63, 90)))	Hans Huitfeldt Riddervold (16 October 1927 – 26 July 1980) was a Norwegian media executive.
0.44469037867649003		SimpleArgument(He,List([0, 2)))	Relation(was hired as a civil engineer in,List([3, 12), [13, 73), [74, 82)))	SpatialArgument(the family-owned newspaper,List([16, 42)))	He was hired in the family-owned newspaper Aftenposten in 1953 as a civil engineer.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(advanced in,List([3, 11), [33, 35)))	TemporalArgument(1957,List([36, 40)))	He advanced to technical manager in 1957, technical director in 1966 and chief executive officer in 1970.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(advanced to,List([3, 11), [12, 14)))	SimpleArgument(technical manager,List([15, 32)))	He advanced to technical manager in 1957, technical director in 1966 and chief executive officer in 1970.
0.39625576749130315		SimpleArgument(he,List([31, 33)))	Relation(was the chief executive officer of Schibsted From,List([0, 4), [34, 68), [69, 78)))	TemporalArgument(1975 to his death in 1980,List([5, 30)))	From 1975 to his death in 1980 he was the chief executive officer of Schibsted.
0.5680679595514976		SimpleArgument(he,List([31, 33)))	Relation(was,List([34, 37)))	SimpleArgument(the chief executive officer of Schibsted,List([38, 78)))	From 1975 to his death in 1980 he was the chief executive officer of Schibsted.
0.631527084225319		SimpleArgument(his wife,List([0, 8)))	Relation(became there as well,List([9, 15), [31, 44)))	SimpleArgument(a board member,List([16, 30)))	He was a board member of Aftenposten from 1966, and his wife became a board member there as well.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a board member of Aftenposten from 1966,List([7, 46)))	He was a board member of Aftenposten from 1966, and his wife became a board member there as well.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was also,List([3, 11)))	SimpleArgument(a board member of Lydbåndservice,List([12, 44)))	He was also a board member of Verdens Gang, the Norwegian News Agency and Lydbåndservice.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was also,List([3, 11)))	SimpleArgument(a board member of the Norwegian News Agency,List([12, 55)))	He was also a board member of Verdens Gang, the Norwegian News Agency and Lydbåndservice.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was also,List([3, 11)))	SimpleArgument(a board member of Verdens Gang,List([12, 42)))	He was also a board member of Verdens Gang, the Norwegian News Agency and Lydbåndservice.
0.5222094630377523		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a board member of the employers ' organization,List([7, 53)))	He was a board member of the employers' organization Norske Avisers Landsforbund from 1967 and the Norwegian Press Association from 1971.
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a board member of the employers ' organization Norske Avisers Landsforbund from 1967 from 1971,List([7, 101)))	He was a board member of the employers' organization Norske Avisers Landsforbund from 1967 and the Norwegian Press Association from 1971.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was buried in,List([3, 13), [14, 16)))	SimpleArgument(Ullern,List([17, 23)))	He died in July 1980 and was buried in Ullern.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(died in,List([3, 7), [8, 10)))	TemporalArgument(July 1980,List([11, 20)))	He died in July 1980 and was buried in Ullern.
