0.9990000128746033		SimpleArgument(We,List([0, 0)))	Relation(stock,List([0, 0)))	SimpleArgument(over 18 varieties,List(null))	We stock over 18 varieties of 3 lb packages of frozen cookie dough.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(deliver custom designed wedding cakes throughout,List([3, 10), [11, 40), [41, 51)))	SpatialArgument(S. Orange County,List([52, 68)))	We deliver custom designed wedding cakes and desserts throughout S. Orange County.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(deliver,List([3, 10)))	SimpleArgument(custom designed wedding cakes,List([11, 40)))	We deliver custom designed wedding cakes and desserts throughout S. Orange County.
0.15939332484157967		SimpleArgument(We,List([0, 2)))	Relation(have been baking since,List([3, 19), [47, 52)))	TemporalArgument(1993,List([53, 57)))	We have been baking in our convenient location since 1993.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(have been baking in,List([3, 19), [20, 22)))	SpatialArgument(our convenient location,List([23, 46)))	We have been baking in our convenient location since 1993.
0.5351405518802811		SimpleArgument(Our business,List([0, 12)))	Relation(was founded on,List([13, 24), [42, 44)))	TemporalArgument(a foundation of cupcakes,List([45, 69)))	Our business was founded by Donna Billman on a foundation of quality cookies, cookie gifts, cakes and cupcakes.
0.5351405518802811		SimpleArgument(Our business,List([0, 12)))	Relation(was founded on,List([13, 24), [42, 44)))	TemporalArgument(a foundation of cakes,List([45, 66)))	Our business was founded by Donna Billman on a foundation of quality cookies, cookie gifts, cakes and cupcakes.
0.5351405518802811		SimpleArgument(Our business,List([0, 12)))	Relation(was founded on,List([13, 24), [42, 44)))	TemporalArgument(a foundation of cookie gifts,List([45, 73)))	Our business was founded by Donna Billman on a foundation of quality cookies, cookie gifts, cakes and cupcakes.
0.5351405518802811		SimpleArgument(Our business,List([0, 12)))	Relation(was founded on,List([13, 24), [42, 44)))	TemporalArgument(a foundation of quality cookies,List([45, 76)))	Our business was founded by Donna Billman on a foundation of quality cookies, cookie gifts, cakes and cupcakes.
0.6796597830231682		SimpleArgument(Our business,List([0, 12)))	Relation(was founded by,List([13, 24), [25, 27)))	SimpleArgument(Donna Billman,List([28, 41)))	Our business was founded by Donna Billman on a foundation of quality cookies, cookie gifts, cakes and cupcakes.
0.5950766429976285		SimpleArgument(Our business,List([0, 12)))	Relation(has grown,List([13, 22)))	SimpleArgument(thanks to loyal customers,List([34, 59)))	Our business has grown every year thanks to loyal customers!
0.6381012045821894		SimpleArgument(Our business,List([0, 12)))	Relation(has grown,List([13, 22)))	TemporalArgument(every year,List([23, 33)))	Our business has grown every year thanks to loyal customers!
0.7608636007533889	Context(the doors worked,List([17, 39)))	SimpleArgument(Donna,List([27, 32)))	Relation(supplying batches of cookie dough at,List([74, 83), [84, 107), [122, 124)))	SpatialArgument(her workplace in Long Beach,List([125, 152)))	Prior to opening the doors Donna worked from her home in Huntington Beach supplying batches of cookie dough to co-workers at her workplace in Long Beach.
0.8818110676393391	Context(the doors worked,List([17, 39)))	SimpleArgument(Donna,List([27, 32)))	Relation(supplying batches of cookie dough to,List([74, 83), [84, 107), [108, 110)))	SimpleArgument(co-workers,List([111, 121)))	Prior to opening the doors Donna worked from her home in Huntington Beach supplying batches of cookie dough to co-workers at her workplace in Long Beach.
0.8818110676393391	Context(the doors worked,List([17, 39)))	SimpleArgument(Donna,List([27, 32)))	Relation(supplying,List([74, 83)))	SimpleArgument(batches of cookie dough,List([84, 107)))	Prior to opening the doors Donna worked from her home in Huntington Beach supplying batches of cookie dough to co-workers at her workplace in Long Beach.
0.7983351804674925		SimpleArgument(the doors,List([17, 26)))	Relation(worked from,List([33, 39), [40, 44)))	SimpleArgument(her home in Huntington Beach,List([45, 73)))	Prior to opening the doors Donna worked from her home in Huntington Beach supplying batches of cookie dough to co-workers at her workplace in Long Beach.
0.7735794665865495		SimpleArgument(Donna,List([0, 5)))	Relation(before relocating to Southern California in,List([27, 44), [45, 67), [68, 70)))	TemporalArgument(1984,List([71, 75)))	Donna grew up in Minnesota before relocating to Southern California in 1984.
0.9210233335200773		SimpleArgument(Donna,List([0, 5)))	Relation(before relocating to,List([27, 44), [45, 47)))	SimpleArgument(Southern California,List([48, 67)))	Donna grew up in Minnesota before relocating to Southern California in 1984.
0.9000738595917936		SimpleArgument(Donna,List([0, 5)))	Relation(grew up before,List([6, 13), [27, 33)))	TemporalArgument(relocating to Southern California in 1984,List([34, 75)))	Donna grew up in Minnesota before relocating to Southern California in 1984.
0.9324144673478683		SimpleArgument(Donna,List([0, 5)))	Relation(grew up in,List([6, 13), [14, 16)))	SpatialArgument(Minnesota,List([17, 26)))	Donna grew up in Minnesota before relocating to Southern California in 1984.
0.5222094630377523		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(the proud mother of a daughter,List([7, 37)))	She is the proud mother of a son Michael and daughter Delanie.
0.5222094630377523		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(the proud mother of a son,List([7, 32)))	She is the proud mother of a son Michael and daughter Delanie.
0.6582659227599074		SimpleArgument(they,List([0, 4)))	Relation(reside locally in,List([5, 19), [20, 22)))	SimpleArgument(Laguna Niguel,List([23, 36)))	She is married to Jeff and they reside locally in Laguna Niguel.
0.5680679595514976		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(married to Jeff,List([7, 22)))	She is married to Jeff and they reside locally in Laguna Niguel.
