0.9339862216393666		SimpleArgument(a career Banker,List([5, 20)))	Relation(spans over,List([38, 43), [44, 48)))	SimpleArgument(22 years in Retail Banking,List([49, 75)))	I am a career Banker whose experience spans over 22 years in Retail Banking.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(started my banking career with,List([2, 9), [10, 27), [28, 32)))	SimpleArgument(Zimbank,List([33, 40)))	I started my banking career with Zimbank (now ZB bank) in 1990 as an entry level clerk and grew within the organization to supervisor level.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(started,List([2, 9)))	SimpleArgument(my banking career,List([10, 27)))	I started my banking career with Zimbank (now ZB bank) in 1990 as an entry level clerk and grew within the organization to supervisor level.
0.29886655727758943		SimpleArgument(I,List({8}))	Relation(joined FBC Bank In,List([0, 2), [10, 20), [21, 25)))	TemporalArgument(1996,List([3, 7)))	In 1996 I joined FBC Bank at its launch as Operations Manager for Batanai Gardens branch, its second Harare branch then.
0.3929209860966329		SimpleArgument(I,List({8}))	Relation(joined FBC Bank for,List([10, 16), [17, 25), [62, 65)))	SimpleArgument(Batanai Gardens branch,List([66, 88)))	In 1996 I joined FBC Bank at its launch as Operations Manager for Batanai Gardens branch, its second Harare branch then.
0.3498441627223176		SimpleArgument(I,List({8}))	Relation(joined FBC Bank at,List([10, 16), [17, 25), [26, 28)))	SpatialArgument(its launch as Operations Manager,List([29, 61)))	In 1996 I joined FBC Bank at its launch as Operations Manager for Batanai Gardens branch, its second Harare branch then.
0.4978219019954182		SimpleArgument(I,List({8}))	Relation(joined,List([10, 16)))	SimpleArgument(FBC Bank,List([17, 25)))	In 1996 I joined FBC Bank at its launch as Operations Manager for Batanai Gardens branch, its second Harare branch then.
0.38089450366724514		SimpleArgument(Rusape Branch,List([151, 164)))	Relation([is] Manager [of],List([143, 150)))	SimpleArgument(Branch,List([136, 142)))	In 2002 I joined Royal Bank at its start up as Operations Manager at its Heritage house flagship branch, I was subsequently promoted to Branch Manager Rusape Branch in 2003.At Rusape branch I grew the branch portfolio as we engaged customers in our branch strategies.
0.183516546672029	Context(I was promoted,List([105, 132)))	SimpleArgument(I,List({190}))	Relation(grew as,List([192, 196), [218, 220)))	TemporalArgument(we engaged customers in our branch strategies,List([221, 266)))	In 2002 I joined Royal Bank at its start up as Operations Manager at its Heritage house flagship branch, I was subsequently promoted to Branch Manager Rusape Branch in 2003.At Rusape branch I grew the branch portfolio as we engaged customers in our branch strategies.
0.24707677063501074	Context(I was promoted,List([105, 132)))	SimpleArgument(I,List({8}))	Relation(joined Royal Bank In,List([0, 2), [10, 22), [23, 27)))	TemporalArgument(2002,List([3, 7)))	In 2002 I joined Royal Bank at its start up as Operations Manager at its Heritage house flagship branch, I was subsequently promoted to Branch Manager Rusape Branch in 2003.At Rusape branch I grew the branch portfolio as we engaged customers in our branch strategies.
0.3991576880142734	Context(I was promoted,List([105, 132)))	SimpleArgument(I,List({8}))	Relation(joined Royal Bank at,List([10, 16), [17, 27), [28, 30)))	SpatialArgument(its start up as Operations Manager at its Heritage house flagship branch,List([31, 103)))	In 2002 I joined Royal Bank at its start up as Operations Manager at its Heritage house flagship branch, I was subsequently promoted to Branch Manager Rusape Branch in 2003.At Rusape branch I grew the branch portfolio as we engaged customers in our branch strategies.
0.4328394458044063	Context(I was promoted,List([105, 132)))	SimpleArgument(I,List({8}))	Relation(joined,List([10, 16)))	SimpleArgument(Royal Bank,List([17, 27)))	In 2002 I joined Royal Bank at its start up as Operations Manager at its Heritage house flagship branch, I was subsequently promoted to Branch Manager Rusape Branch in 2003.At Rusape branch I grew the branch portfolio as we engaged customers in our branch strategies.
0.22380171390789455		SimpleArgument(I,List({105}))	Relation(was promoted to Branch Manager Rusape Branch in 2003.At Rusape branch,List([107, 110), [124, 132), [133, 189)))	TemporalArgument(subsequently,List([111, 123)))	In 2002 I joined Royal Bank at its start up as Operations Manager at its Heritage house flagship branch, I was subsequently promoted to Branch Manager Rusape Branch in 2003.At Rusape branch I grew the branch portfolio as we engaged customers in our branch strategies.
0.332563478582812		SimpleArgument(I,List({105}))	Relation(was promoted to,List([107, 110), [124, 132), [133, 135)))	SimpleArgument(Branch Manager Rusape Branch in 2003.At Rusape branch,List([136, 189)))	In 2002 I joined Royal Bank at its start up as Operations Manager at its Heritage house flagship branch, I was subsequently promoted to Branch Manager Rusape Branch in 2003.At Rusape branch I grew the branch portfolio as we engaged customers in our branch strategies.
0.30899953469486874		SimpleArgument(we,List([221, 223)))	Relation(engaged customers in,List([224, 231), [232, 241), [242, 244)))	SimpleArgument(our branch strategies,List([245, 266)))	In 2002 I joined Royal Bank at its start up as Operations Manager at its Heritage house flagship branch, I was subsequently promoted to Branch Manager Rusape Branch in 2003.At Rusape branch I grew the branch portfolio as we engaged customers in our branch strategies.
0.45170382506656653		SimpleArgument(we,List([221, 223)))	Relation(engaged,List([224, 231)))	SimpleArgument(customers,List([232, 241)))	In 2002 I joined Royal Bank at its start up as Operations Manager at its Heritage house flagship branch, I was subsequently promoted to Branch Manager Rusape Branch in 2003.At Rusape branch I grew the branch portfolio as we engaged customers in our branch strategies.
0.45170382506656653		SimpleArgument(I,List({87}))	Relation(acquired vast experience in the Credit granting process from,List([89, 97), [98, 144), [145, 149)))	SimpleArgument(approval to recovery,List([150, 170)))	In 2005 when Royal bank was amalgamated into ZABG I joined the Advances Division where I acquired vast experience in the Credit granting process from analysis and approval to monitoring and recovery.
0.45170382506656653		SimpleArgument(I,List({87}))	Relation(acquired vast experience in the Credit granting process from,List([89, 97), [98, 144), [145, 149)))	SimpleArgument(approval to monitoring,List([150, 172)))	In 2005 when Royal bank was amalgamated into ZABG I joined the Advances Division where I acquired vast experience in the Credit granting process from analysis and approval to monitoring and recovery.
0.45170382506656653		SimpleArgument(I,List({87}))	Relation(acquired vast experience in the Credit granting process from,List([89, 97), [98, 144), [145, 149)))	SimpleArgument(analysis,List([150, 158)))	In 2005 when Royal bank was amalgamated into ZABG I joined the Advances Division where I acquired vast experience in the Credit granting process from analysis and approval to monitoring and recovery.
0.4978219019954182		SimpleArgument(I,List({87}))	Relation(acquired,List([89, 97)))	SimpleArgument(vast experience in the Credit granting process,List([98, 144)))	In 2005 when Royal bank was amalgamated into ZABG I joined the Advances Division where I acquired vast experience in the Credit granting process from analysis and approval to monitoring and recovery.
0.5961061943937731		SimpleArgument(I,List({50}))	Relation(joined the Advances Division,List([52, 58), [59, 80)))	TemporalArgument(when Royal bank was amalgamated into ZABG,List([8, 49)))	In 2005 when Royal bank was amalgamated into ZABG I joined the Advances Division where I acquired vast experience in the Credit granting process from analysis and approval to monitoring and recovery.
0.29886655727758943		SimpleArgument(I,List({50}))	Relation(joined the Advances Division In,List([0, 2), [52, 71), [72, 80)))	TemporalArgument(2005,List([3, 7)))	In 2005 when Royal bank was amalgamated into ZABG I joined the Advances Division where I acquired vast experience in the Credit granting process from analysis and approval to monitoring and recovery.
0.4978219019954182		SimpleArgument(I,List({50}))	Relation(joined,List([52, 58)))	SimpleArgument(the Advances Division,List([59, 80)))	In 2005 when Royal bank was amalgamated into ZABG I joined the Advances Division where I acquired vast experience in the Credit granting process from analysis and approval to monitoring and recovery.
0.9382554258342916		SimpleArgument(Royal bank,List([13, 23)))	Relation(was amalgamated into,List([24, 39), [40, 44)))	SimpleArgument(ZABG,List([45, 49)))	In 2005 when Royal bank was amalgamated into ZABG I joined the Advances Division where I acquired vast experience in the Credit granting process from analysis and approval to monitoring and recovery.
0.6783685094789625		SimpleArgument(I,List({0}))	Relation(was,List([2, 5)))	SimpleArgument(the project team leader responsible for getting the Bank in a state of preparedness,List([6, 89)))	In 2010 I was invited to rejoin Royal Bank when it was unbundled from ZABG and I was the project team leader responsible for getting the Bank in a state of preparedness to pass the RBZ pre-opening inspection.
0.4978219019954182		SimpleArgument(it,List([5, 7)))	Relation(was unbundled from,List([8, 21), [22, 26)))	SimpleArgument(ZABG,List([27, 31)))	In 2010 I was invited to rejoin Royal Bank when it was unbundled from ZABG and I was the project team leader responsible for getting the Bank in a state of preparedness to pass the RBZ pre-opening inspection.
0.45592395356914683		SimpleArgument(I,List({8}))	Relation(to rejoin,List([22, 31)))	SimpleArgument(Royal Bank,List([32, 42)))	In 2010 I was invited to rejoin Royal Bank when it was unbundled from ZABG and I was the project team leader responsible for getting the Bank in a state of preparedness to pass the RBZ pre-opening inspection.
0.29886655727758943		SimpleArgument(I,List({8}))	Relation(was invited to rejoin Royal Bank In,List([0, 13), [14, 37), [38, 42)))	TemporalArgument(2010,List([3, 7)))	In 2010 I was invited to rejoin Royal Bank when it was unbundled from ZABG and I was the project team leader responsible for getting the Bank in a state of preparedness to pass the RBZ pre-opening inspection.
0.4978219019954182		SimpleArgument(I,List({8}))	Relation(was invited to,List([10, 21), [22, 24)))	SimpleArgument(rejoin Royal Bank,List([25, 42)))	In 2010 I was invited to rejoin Royal Bank when it was unbundled from ZABG and I was the project team leader responsible for getting the Bank in a state of preparedness to pass the RBZ pre-opening inspection.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(got,List([3, 6)))	SimpleArgument(approval,List([7, 15)))	We successfully got re-licensed and got approval to commence operations on 17 February 2011 and the Bank subsequently opened its doors to the public on 21 February 2011.
0.3048426724432105		SimpleArgument(We,List([0, 2)))	Relation(opened its doors,List([16, 22), [23, 32)))	TemporalArgument(subsequently,List([3, 15)))	We successfully got re-licensed and got approval to commence operations on 17 February 2011 and the Bank subsequently opened its doors to the public on 21 February 2011.
0.3536345617184334		SimpleArgument(We,List([0, 2)))	Relation(opened its doors on,List([16, 22), [23, 32), [47, 49)))	TemporalArgument(21 February 2011,List([50, 66)))	We successfully got re-licensed and got approval to commence operations on 17 February 2011 and the Bank subsequently opened its doors to the public on 21 February 2011.
0.41051436014453063		SimpleArgument(We,List([0, 2)))	Relation(opened its doors to,List([16, 22), [23, 32), [33, 35)))	SimpleArgument(the public,List([36, 46)))	We successfully got re-licensed and got approval to commence operations on 17 February 2011 and the Bank subsequently opened its doors to the public on 21 February 2011.
0.2743125465364158		SimpleArgument(We,List([0, 2)))	Relation(opened,List([16, 22)))	SimpleArgument(its doors,List([23, 32)))	We successfully got re-licensed and got approval to commence operations on 17 February 2011 and the Bank subsequently opened its doors to the public on 21 February 2011.
0.16986108911692605		SimpleArgument(We,List([0, 2)))	Relation(re-licensed,List([20, 31)))		We successfully got re-licensed and got approval to commence operations on 17 February 2011 and the Bank subsequently opened its doors to the public on 21 February 2011.
0.22506131975927415		SimpleArgument(We,List([0, 2)))	Relation(successfully got,List([3, 19)))	SimpleArgument(re-licensed,List([20, 31)))	We successfully got re-licensed and got approval to commence operations on 17 February 2011 and the Bank subsequently opened its doors to the public on 21 February 2011.
